1,22,7,100
2,22,5,
3,22,9,
4,22,18,
5,22,20,
6,22,5,
7,22,23,
8,22,14,
9,22,2,
10,22,28,
11,22,8,
12,22,29,
13,22,12,
14,22,19,
15,22,23,
16,22,3,
17,22,24,
18,22,19,
19,22,17,
20,22,32,
21,38,39,
22,38,32,
23,38,56,
24,38,29,
25,38,36,
26,38,10,
27,38,5,
28,38,50,
29,38,3,
30,38,18,
31,38,40,
32,38,8,
33,38,1,
34,38,36,
35,38,5,
36,38,11,
37,38,43,
38,38,21,
39,38,22,
40,38,48,
41,38,31,
42,38,24,
43,38,1,
44,38,3,
45,38,48,
46,38,30,
47,38,47,
48,38,50,
49,38,3,
50,38,36,
51,38,27,
52,38,18,
53,38,1,
54,38,11,
55,38,28,
56,38,38,
57,38,16,
58,38,59,
59,38,35,
60,38,14,
61,38,37,
62,38,17,
63,38,40,
64,38,18,
65,38,57,
66,38,40,
67,38,4,
68,38,23,
69,38,60,
70,38,57,
71,38,48,
72,38,37,
73,38,45,
74,38,49,
75,38,37,
76,38,50,
77,38,38,
78,38,35,
79,38,36,
80,38,10,
81,38,3,
82,38,52,
83,38,51,
84,38,37,
85,38,26,
86,38,41,
87,38,6,
88,38,28,
89,38,44,
90,38,38,
91,38,46,
92,38,48,
93,38,42,
94,38,35,
95,38,51,
96,38,41,
97,38,59,
98,38,2,
99,38,51,
100,38,44,
