CP, 01, 1951032100,   , BEST,   0, 234N, 1650W,  26
CP, 01, 1951032106,   , BEST,   0, 234N, 1639W,  26
CP, 01, 1951032112,   , BEST,   0, 235N, 1629W,  26
CP, 01, 1951032118,   , BEST,   0, 235N, 1619W,  26
CP, 01, 1951032200,   , BEST,   0, 236N, 1610W,  26
CP, 01, 1951032206,   , BEST,   0, 236N, 1594W,  26
CP, 01, 1951032212,   , BEST,   0, 240N, 1579W,  26
CP, 01, 1951032218,   , BEST,   0, 254N, 1572W,  26
CP, 01, 1951032300,   , BEST,   0, 272N, 1565W,  26
CP, 01, 1951032306,   , BEST,   0, 288N, 1556W,  26
CP, 01, 1951032312,   , BEST,   0, 300N, 1549W,  26
CP, 01, 1951032318,   , BEST,   0, 294N, 1547W,  26
CP, 01, 1951032400,   , BEST,   0, 281N, 1546W,  26
CP, 01, 1951032406,   , BEST,   0, 276N, 1543W,  26
CP, 01, 1951032412,   , BEST,   0, 271N, 1540W,  26
CP, 01, 1951032418,   , BEST,   0, 256N, 1537W,  26
CP, 01, 1951032500,   , BEST,   0, 242N, 1535W,  26
CP, 01, 1951032506,   , BEST,   0, 235N, 1536W,  26
CP, 01, 1951032512,   , BEST,   0, 230N, 1542W,  26
CP, 01, 1951032518,   , BEST,   0, 228N, 1549W,  26
CP, 01, 1951032600,   , BEST,   0, 225N, 1558W,  26
CP, 01, 1951032606,   , BEST,   0, 221N, 1569W,  26
CP, 01, 1951032612,   , BEST,   0, 216N, 1579W,  26
CP, 01, 1951032618,   , BEST,   0, 211N, 1583W,  26
CP, 01, 1951032700,   , BEST,   0, 208N, 1584W,  26
CP, 01, 1951032706,   , BEST,   0, 208N, 1585W,  26
CP, 01, 1951032712,   , BEST,   0, 210N, 1586W,  26
CP, 01, 1951032718,   , BEST,   0, 212N, 1585W,  26
CP, 01, 1951032800,   , BEST,   0, 214N, 1583W,  26
CP, 01, 1951032806,   , BEST,   0, 217N, 1580W,  26
CP, 01, 1951032812,   , BEST,   0, 220N, 1578W,  26
CP, 01, 1951032818,   , BEST,   0, 221N, 1584W,  26
CP, 01, 1951032900,   , BEST,   0, 221N, 1592W,  26
CP, 01, 1951032906,   , BEST,   0, 222N, 1598W,  26
CP, 01, 1951032912,   , BEST,   0, 224N, 1604W,  26
CP, 01, 1951032918,   , BEST,   0, 227N, 1610W,  26
CP, 01, 1951033000,   , BEST,   0, 231N, 1617W,  26
