1,1.94E+01,1.41E+01,100,
2,1.94E+01,1.19E+01,,
3,1.92E+01,1.18E+01,,
4,1.29E+01,1.65E+01,,
5,7.46E+00,2.55E+01,,
6,1.00E+01,1.70E+01,,
7,1.00E+01,1.58E+01,,
8,1.25E+01,1.25E+01,,
9,9.28E+00,1.63E+01,,
10,1.94E+01,7.65E+00,,
11,1.12E+01,1.30E+01,,
12,1.48E+01,9.78E+00,,
13,1.81E+01,7.94E+00,,
14,6.45E+00,2.18E+01,,
15,1.53E+01,9.19E+00,,
16,2.21E+01,6.32E+00,,
17,1.15E+01,1.18E+01,,
18,1.34E+01,1.00E+01,,
19,1.31E+01,1.02E+01,,
20,8.85E+00,1.51E+01,,
21,1.81E+01,7.37E+00,,
22,1.05E+01,1.25E+01,,
23,5.94E+00,2.18E+01,,
24,1.09E+01,1.16E+01,,
25,1.07E+01,1.16E+01,,
26,7.62E+00,1.63E+01,,
27,9.41E+00,1.31E+01,,
28,7.44E+00,1.65E+01,,
29,1.91E+01,6.36E+00,,
30,1.04E+01,1.16E+01,,
31,6.00E+00,2.01E+01,,
32,1.31E+01,9.16E+00,,
33,9.19E+00,1.30E+01,,
34,5.99E+00,1.99E+01,,
35,9.41E+00,1.24E+01,,
36,1.91E+01,6.10E+00,,
37,7.66E+00,1.48E+01,,
38,1.31E+01,7.84E+00,,
39,1.19E+01,8.58E+00,,
40,7.76E+00,1.30E+01,,
41,1.54E+01,6.27E+00,,
42,1.54E+01,6.23E+00,,
43,5.59E+00,1.71E+01,,
44,1.81E+01,5.29E+00,,
45,9.87E+00,9.16E+00,,
46,7.90E+00,1.13E+01,,
47,8.39E+00,1.05E+01,,
48,1.02E+01,8.58E+00,,
49,4.72E+00,1.84E+01,,
50,6.61E+00,1.30E+01,,
51,1.54E+01,5.56E+00,,
52,9.63E+00,8.70E+00,,
53,1.03E+01,8.02E+00,,
54,9.46E+00,8.67E+00,,
55,5.49E+00,1.48E+01,,
56,7.74E+00,1.05E+01,,
57,8.80E+00,9.19E+00,,
58,8.39E+00,9.63E+00,,
59,8.25E+00,9.78E+00,,
60,6.88E+00,1.16E+01,,
61,4.43E+00,1.77E+01,,
62,4.42E+00,1.77E+01,,
63,9.96E+00,7.85E+00,,
64,9.96E+00,7.80E+00,,
65,1.34E+01,5.78E+00,,
66,4.62E+00,1.65E+01,,
67,1.14E+01,6.71E+00,,
68,8.02E+00,9.45E+00,,
69,6.54E+00,1.16E+01,,
70,6.51E+00,1.16E+01,,
71,4.38E+00,1.71E+01,,
72,1.02E+01,7.29E+00,,
73,9.46E+00,7.87E+00,,
74,7.74E+00,9.62E+00,,
75,1.50E+01,4.87E+00,,
76,1.02E+01,7.14E+00,,
77,9.53E+00,7.65E+00,,
78,1.34E+01,5.44E+00,,
79,9.63E+00,7.55E+00,,
80,9.07E+00,8.02E+00,,
81,1.08E+01,6.71E+00,,
82,7.71E+00,9.16E+00,,
83,6.39E+00,1.10E+01,,
84,1.50E+01,4.58E+00,,
85,5.50E+00,1.08E+01,,
86,6.32E+00,9.19E+00,,
87,9.53E+00,6.01E+00,,
88,6.39E+00,8.88E+00,,
89,6.16E+00,9.19E+00,,
90,5.83E+00,9.16E+00,,
91,7.32E+00,7.13E+00,,
92,7.63E+00,6.27E+00,,
93,9.53E+00,4.69E+00,,
94,7.49E+00,5.94E+00,,
95,9.05E+00,4.91E+00,,
96,9.00E+00,4.91E+00,,
97,7.32E+00,5.91E+00,,
98,7.49E+00,5.62E+00,,
99,5.50E+00,7.60E+00,,
100,7.90E+00,4.99E+00,,
