1,5.04E+01,2.75E+01,100,,,,,,,
2,3.26E+01,1.76E+01,,,,,,,,
3,3.26E+01,1.69E+01,,,,,,,,
4,2.74E+01,1.90E+01,,,,,,,,
5,2.91E+01,1.56E+01,,,,,,,,
6,2.27E+01,1.83E+01,,,,,,,,
7,2.18E+01,1.89E+01,,,,,,,,
8,1.08E+01,3.79E+01,,,,,,,,
9,2.36E+01,1.68E+01,,,,,,,,
10,2.27E+01,1.63E+01,,,,,,,,
11,2.05E+01,1.77E+01,,,,,,,,
12,2.11E+01,1.68E+01,,,,,,,,
13,2.91E+01,1.19E+01,,,,,,,,
14,3.53E+01,9.54E+00,,,,,,,,
15,3.53E+01,9.31E+00,,,,,,,,
16,1.63E+01,1.99E+01,,,,,,,,
17,1.63E+01,1.90E+01,,,,,,,,
18,2.05E+01,1.49E+01,,,,,,,,
19,1.58E+01,1.89E+01,,,,,,,,
20,2.92E+01,1.00E+01,,,,,,,,
21,1.63E+01,1.80E+01,,,,,,,,
22,2.92E+01,8.99E+00,,,,,,,,
23,2.05E+01,1.26E+01,,,,,,,,
24,2.43E+01,9.15E+00,,,,,,,,
25,2.43E+01,8.59E+00,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
