1,7.18E+01,1.93E+01,100,,,,,,,
2,4.81E+01,1.96E+01,,,,,,,,
3,1.76E+01,4.08E+01,,,,,,,,
4,3.77E+01,1.67E+01,,,,,,,,
5,1.68E+01,2.65E+01,,,,,,,,
6,3.16E+01,1.38E+01,,,,,,,,
7,3.45E+01,1.23E+01,,,,,,,,
8,3.16E+01,1.27E+01,,,,,,,,
9,3.02E+01,1.32E+01,,,,,,,,
10,2.42E+01,1.60E+01,,,,,,,,
11,1.50E+01,2.14E+01,,,,,,,,
12,3.45E+01,9.15E+00,,,,,,,,
13,2.20E+01,1.33E+01,,,,,,,,
14,2.20E+01,1.32E+01,,,,,,,,
15,2.96E+01,9.37E+00,,,,,,,,
16,1.55E+01,1.71E+01,,,,,,,,
17,1.15E+01,2.14E+01,,,,,,,,
18,1.42E+01,1.71E+01,,,,,,,,
19,1.42E+01,1.67E+01,,,,,,,,
20,1.80E+01,1.32E+01,,,,,,,,
21,1.08E+01,2.14E+01,,,,,,,,
22,1.06E+01,2.14E+01,,,,,,,,
23,2.77E+01,8.07E+00,,,,,,,,
24,2.77E+01,7.97E+00,,,,,,,,
25,1.06E+01,1.93E+01,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
