1,1.18E+01,2.55E+01,100,,,,,,
2,7.11E+00,2.55E+01,,,,,,,
3,1.16E+01,1.33E+01,,,,,,,
4,7.92E+00,1.92E+01,,,,,,,
5,1.89E+01,7.87E+00,,,,,,,
6,1.14E+01,1.26E+01,,,,,,,
7,7.04E+00,1.98E+01,,,,,,,
8,9.19E+00,1.51E+01,,,,,,,
9,8.95E+00,1.51E+01,,,,,,,
10,1.25E+01,1.07E+01,,,,,,,
11,9.19E+00,1.46E+01,,,,,,,
12,1.58E+01,8.42E+00,,,,,,,
13,9.08E+00,1.44E+01,,,,,,,
14,8.95E+00,1.46E+01,,,,,,,
15,1.58E+01,8.22E+00,,,,,,,
16,5.74E+00,2.26E+01,,,,,,,
17,2.05E+01,6.31E+00,,,,,,,
18,9.13E+00,1.41E+01,,,,,,,
19,7.98E+00,1.60E+01,,,,,,,
20,6.54E+00,1.86E+01,,,,,,,
21,1.89E+01,6.32E+00,,,,,,,
22,1.17E+01,1.01E+01,,,,,,,
23,6.83E+00,1.72E+01,,,,,,,
24,1.10E+01,1.04E+01,,,,,,,
25,1.04E+01,1.09E+01,,,,,,,
26,1.14E+01,9.99E+00,,,,,,,
27,2.05E+01,5.54E+00,,,,,,,
28,1.51E+01,7.34E+00,,,,,,,
29,7.98E+00,1.39E+01,,,,,,,
30,1.01E+01,1.09E+01,,,,,,,
31,5.29E+00,2.07E+01,,,,,,,
32,5.47E+00,1.98E+01,,,,,,,
33,5.24E+00,2.07E+01,,,,,,,
34,1.51E+01,7.16E+00,,,,,,,
35,1.16E+01,9.23E+00,,,,,,,
36,6.38E+00,1.65E+01,,,,,,,
37,7.91E+00,1.32E+01,,,,,,,
38,1.17E+01,8.77E+00,,,,,,,
39,9.37E+00,1.09E+01,,,,,,,
40,5.45E+00,1.86E+01,,,,,,,
41,8.91E+00,1.13E+01,,,,,,,
42,8.58E+00,1.17E+01,,,,,,,
43,8.91E+00,1.12E+01,,,,,,,
44,1.04E+01,9.58E+00,,,,,,,
45,1.19E+01,8.34E+00,,,,,,,
46,5.69E+00,1.72E+01,,,,,,,
47,1.04E+01,9.37E+00,,,,,,,
48,8.73E+00,1.09E+01,,,,,,,
49,7.92E+00,1.19E+01,,,,,,,
50,1.51E+01,6.21E+00,,,,,,,
51,8.73E+00,1.07E+01,,,,,,,
52,8.58E+00,1.09E+01,,,,,,,
53,1.10E+01,8.41E+00,,,,,,,
54,8.94E+00,1.03E+01,,,,,,,
55,1.51E+01,6.05E+00,,,,,,,
56,1.03E+01,8.87E+00,,,,,,,
57,8.55E+00,1.06E+01,,,,,,,
58,8.55E+00,1.05E+01,,,,,,,
59,1.10E+01,8.08E+00,,,,,,,
60,1.04E+01,8.48E+00,,,,,,,
61,7.12E+00,1.24E+01,,,,,,,
62,7.89E+00,1.11E+01,,,,,,,
63,9.14E+00,9.28E+00,,,,,,,
64,7.23E+00,1.14E+01,,,,,,,
65,1.00E+01,8.08E+00,,,,,,,
66,1.11E+01,7.18E+00,,,,,,,
67,1.04E+01,7.61E+00,,,,,,,
68,7.89E+00,9.89E+00,,,,,,,
69,9.65E+00,8.07E+00,,,,,,,
70,1.03E+01,7.59E+00,,,,,,,
71,5.34E+00,1.45E+01,,,,,,,
72,1.33E+01,5.68E+00,,,,,,,
73,5.19E+00,1.45E+01,,,,,,,
74,6.65E+00,1.13E+01,,,,,,,
75,6.45E+00,1.16E+01,,,,,,,
76,9.24E+00,8.07E+00,,,,,,,
77,6.40E+00,1.16E+01,,,,,,,
78,6.65E+00,1.12E+01,,,,,,,
79,8.94E+00,8.30E+00,,,,,,,
80,1.04E+01,7.13E+00,,,,,,,
81,8.55E+00,8.61E+00,,,,,,,
82,1.19E+01,6.10E+00,,,,,,,
83,9.13E+00,7.96E+00,,,,,,,
84,7.12E+00,1.02E+01,,,,,,,
85,1.67E+01,4.33E+00,,,,,,,
86,8.73E+00,8.27E+00,,,,,,,
87,7.91E+00,9.08E+00,,,,,,,
88,1.67E+01,4.29E+00,,,,,,,
89,9.90E+00,7.18E+00,,,,,,,
90,4.28E+00,1.65E+01,,,,,,,
91,6.45E+00,1.09E+01,,,,,,,
92,7.56E+00,9.28E+00,,,,,,,
93,6.19E+00,1.13E+01,,,,,,,
94,7.91E+00,8.84E+00,,,,,,,
95,1.01E+01,6.93E+00,,,,,,,
96,6.40E+00,1.09E+01,,,,,,,
97,6.19E+00,1.13E+01,,,,,,,
98,7.23E+00,9.61E+00,,,,,,,
99,9.13E+00,7.59E+00,,,,,,,
100,1.33E+01,5.17E+00,,,,,,,
,,,,,,,,,
,,,,,,,,,
