1,5.04E+01,1.47E+01,100,,,,,,,
2,5.04E+01,1.30E+01,,,,,,,,
3,1.59E+01,3.83E+01,,,,,,,,
4,1.50E+01,3.98E+01,,,,,,,,
5,1.90E+01,2.77E+01,,,,,,,,
6,1.86E+01,2.77E+01,,,,,,,,
7,2.93E+01,1.57E+01,,,,,,,,
8,1.91E+01,2.37E+01,,,,,,,,
9,1.91E+01,2.36E+01,,,,,,,,
10,1.03E+01,3.98E+01,,,,,,,,
11,1.04E+01,3.83E+01,,,,,,,,
12,1.14E+01,3.40E+01,,,,,,,,
13,2.93E+01,1.30E+01,,,,,,,,
14,2.53E+01,1.43E+01,,,,,,,,
15,2.93E+01,1.16E+01,,,,,,,,
16,1.20E+01,2.77E+01,,,,,,,,
17,1.47E+01,2.15E+01,,,,,,,,
18,1.46E+01,2.15E+01,,,,,,,,
19,2.93E+01,1.05E+01,,,,,,,,
20,1.48E+01,1.96E+01,,,,,,,,
21,1.91E+01,1.35E+01,,,,,,,,
22,2.53E+01,9.64E+00,,,,,,,,
23,1.91E+01,1.15E+01,,,,,,,,
24,2.53E+01,8.51E+00,,,,,,,,
25,1.48E+01,1.43E+01,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
