Reference,Height,Width,StripHeight,
1,6.20E+01,4.64E+01,100,
2,2.85E+01,3.87E+01,,
3,4.83E+01,1.89E+01,,
4,8.67E+01,9.71E+00,,
5,2.12E+01,3.93E+01,,
6,1.67E+01,3.93E+01,,
7,4.83E+01,7.52E+00,,
8,4.83E+01,7.46E+00,,
9,8.44E+01,3.44E+00,,
10,1.41E+01,2.03E+01,,
11,2.19E+01,1.28E+01,,
12,7.76E+00,2.59E+01,,
13,2.76E+01,6.17E+00,,
14,8.67E+01,1.77E+00,,
15,1.07E+01,1.15E+01,,
16,3.30E+01,3.39E+00,,
17,1.54E+01,4.82E+00,,
18,1.03E+01,6.17E+00,,
19,1.56E+01,3.44E+00,,
20,1.25E+00,3.87E+01,,
21,3.30E+01,1.44E+00,,
22,7.52E+00,5.54E+00,,
23,6.63E+00,5.54E+00,,
24,3.80E+01,8.82E-01,,
25,2.58E+00,1.15E+01,,
