reference,height,width,stripwidth,
1,5.37E+01,2.26E+01,100,
2,8.47E+01,1.37E+01,,
3,4.80E+01,2.12E+01,,
4,4.67E+01,1.75E+01,,
5,3.60E+01,2.21E+01,,
6,3.51E+01,1.75E+01,,
7,5.91E+01,7.82E+00,,
8,1.60E+01,2.21E+01,,
9,4.57E+01,6.56E+00,,
10,2.73E+01,1.09E+01,,
11,9.74E+00,2.26E+01,,
12,3.29E+01,6.42E+00,,
13,1.53E+01,1.37E+01,,
14,6.29E+01,3.19E+00,,
15,8.18E+01,2.26E+00,,
16,4.54E+01,4.00E+00,,
17,2.10E+01,7.82E+00,,
18,8.05E+01,1.64E+00,,
19,8.18E+01,1.59E+00,,
20,3.29E+01,3.14E+00,,
21,1.54E+01,5.81E+00,,
22,4.06E+00,2.14E+01,,
23,3.74E+00,2.14E+01,,
24,7.65E+01,1.04E+00,,
25,4.97E+00,1.31E+01,,
26,5.61E+00,1.09E+01,,
27,1.90E+01,3.19E+00,,
28,4.54E+01,1.28E+00,,
29,1.81E+01,3.19E+00,,
30,3.68E+00,1.34E+01,,
31,2.25E+00,2.14E+01,,
32,5.43E+00,8.29E+00,,
33,4.80E+01,8.90E-01,,
34,3.29E+01,1.09E+00,,
35,4.50E+00,7.82E+00,,
36,3.29E+01,1.02E+00,,
37,4.54E+01,7.28E-01,,
38,1.54E+01,2.01E+00,,
39,4.54E+01,5.51E-01,,
40,1.91E+00,1.31E+01,,
41,2.35E+01,1.04E+00,,
42,8.90E+00,2.59E+00,,
43,2.74E+00,8.29E+00,,
44,8.90E+00,2.29E+00,,
45,2.10E+00,9.15E+00,,
46,1.04E+01,1.64E+00,,
47,1.29E+00,1.31E+01,,
48,8.90E+00,1.68E+00,,
49,9.08E+00,1.64E+00,,
50,1.58E+00,9.15E+00,,
