Reference,Height,Width,Stripwidth,,,,,,
1,4.08E+01,3.53E+01,100,,,,,,
2,3.78E+01,2.94E+01,,,,,,,
3,3.29E+01,2.67E+01,,,,,,,
4,4.63E+01,1.52E+01,,,,,,,
5,4.63E+01,7.93E+00,,,,,,,
6,9.76E+00,3.05E+01,,,,,,,
7,1.52E+01,1.84E+01,,,,,,,
8,2.48E+01,1.11E+01,,,,,,,
9,1.36E+01,1.92E+01,,,,,,,
10,1.30E+01,1.59E+01,,,,,,,
11,2.48E+01,8.19E+00,,,,,,,
12,1.41E+01,1.23E+01,,,,,,,
13,8.74E+01,1.77E+00,,,,,,,
14,1.59E+01,9.28E+00,,,,,,,
15,4.63E+01,3.18E+00,,,,,,,
16,4.63E+01,3.05E+00,,,,,,,
17,3.05E+00,4.53E+01,,,,,,,
18,4.63E+01,2.98E+00,,,,,,,
19,1.75E+01,7.73E+00,,,,,,,
20,1.59E+01,8.28E+00,,,,,,,
21,1.52E+01,8.24E+00,,,,,,,
22,1.00E+02,1.24E+00,,,,,,,
23,1.00E+02,1.06E+00,,,,,,,
24,1.24E+01,8.50E+00,,,,,,,
25,1.75E+01,5.77E+00,,,,,,,
26,4.35E+00,1.92E+01,,,,,,,
27,4.54E+00,1.59E+01,,,,,,,
28,2.69E+00,2.67E+01,,,,,,,
29,4.63E+01,1.54E+00,,,,,,,
30,4.63E+01,1.36E+00,,,,,,,
31,2.30E+00,2.67E+01,,,,,,,
32,1.19E+01,4.89E+00,,,,,,,
33,1.01E+01,5.70E+00,,,,,,,
34,5.45E+00,9.01E+00,,,,,,,
35,2.48E+01,1.86E+00,,,,,,,
36,3.92E+00,1.08E+01,,,,,,,
37,2.66E+01,1.58E+00,,,,,,,
38,2.15E+00,1.92E+01,,,,,,,
39,8.58E+00,4.82E+00,,,,,,,
40,2.22E+00,1.82E+01,,,,,,,
41,3.55E+01,1.12E+00,,,,,,,
42,9.51E+00,3.40E+00,,,,,,,
43,1.68E+00,1.92E+01,,,,,,,
44,2.48E+01,1.25E+00,,,,,,,
45,2.74E+01,1.12E+00,,,,,,,
46,8.71E-01,3.53E+01,,,,,,,
47,9.76E+00,3.01E+00,,,,,,,
48,9.61E+00,2.96E+00,,,,,,,
49,1.01E+01,2.80E+00,,,,,,,
50,5.43E+00,4.89E+00,,,,,,,
51,2.05E+01,1.27E+00,,,,,,,
52,2.48E+01,1.03E+00,,,,,,,
53,2.16E+01,1.12E+00,,,,,,,
54,8.68E-01,2.74E+01,,,,,,,
55,6.66E-01,3.53E+01,,,,,,,
56,1.24E+01,1.87E+00,,,,,,,
57,2.42E+01,9.54E-01,,,,,,,
58,1.26E+01,1.77E+00,,,,,,,
59,1.75E+00,1.23E+01,,,,,,,
60,3.11E+00,6.82E+00,,,,,,,
61,3.73E+01,5.68E-01,,,,,,,
62,1.70E+00,1.24E+01,,,,,,,
63,5.99E-01,3.53E+01,,,,,,,
64,2.00E+01,1.01E+00,,,,,,,
65,1.23E+00,1.62E+01,,,,,,,
66,2.33E+00,8.50E+00,,,,,,,
67,4.08E+00,4.82E+00,,,,,,,
68,3.20E+01,6.00E-01,,,,,,,
69,4.06E+00,4.72E+00,,,,,,,
70,5.42E-01,3.53E+01,,,,,,,
71,2.22E+00,8.58E+00,,,,,,,
72,1.17E+00,1.62E+01,,,,,,,
73,2.24E+00,8.43E+00,,,,,,,
74,1.20E+01,1.58E+00,,,,,,,
75,1.59E+01,1.18E+00,,,,,,,
76,1.00E+01,1.87E+00,,,,,,,
77,3.82E+00,4.89E+00,,,,,,,
78,6.27E+00,2.96E+00,,,,,,,
79,4.80E+00,3.84E+00,,,,,,,
80,1.43E+01,1.27E+00,,,,,,,
81,4.71E+00,3.84E+00,,,,,,,
82,3.69E+00,4.89E+00,,,,,,,
83,1.41E+00,1.24E+01,,,,,,,
84,4.06E+00,4.29E+00,,,,,,,
85,1.73E+01,1.01E+00,,,,,,,
86,1.55E+01,1.12E+00,,,,,,,
87,9.76E+00,1.77E+00,,,,,,,
88,9.17E+00,1.87E+00,,,,,,,
89,9.02E+00,1.87E+00,,,,,,,
90,4.76E-01,3.53E+01,,,,,,,
91,1.59E+01,1.04E+00,,,,,,,
92,2.73E+01,6.00E-01,,,,,,,
93,3.97E+00,4.06E+00,,,,,,,
94,1.27E+01,1.27E+00,,,,,,,
95,3.23E+00,4.82E+00,,,,,,,
96,8.68E-01,1.79E+01,,,,,,,
97,1.19E+01,1.27E+00,,,,,,,
98,2.42E+01,6.22E-01,,,,,,,
99,3.97E+00,3.76E+00,,,,,,,
100,1.72E+00,8.43E+00,,,,,,,
,,,,,,,,,
,,,,,,,,,
