Reference,Height,Width,StripHeight,,,,,,
1,1.00E+02,1.94E+01,100,,,,,,
2,7.13E+01,1.46E+01,,,,,,,
3,2.87E+01,3.26E+01,,,,,,,
4,4.08E+01,1.95E+01,,,,,,,
5,2.87E+01,2.74E+01,,,,,,,
6,7.13E+01,9.71E+00,,,,,,,
7,3.28E+01,1.62E+01,,,,,,,
8,2.29E+01,1.95E+01,,,,,,,
9,1.00E+02,4.35E+00,,,,,,,
10,6.15E+01,5.70E+00,,,,,,,
11,1.00E+02,3.34E+00,,,,,,,
12,3.84E+01,8.39E+00,,,,,,,
13,8.66E+01,3.31E+00,,,,,,,
14,2.74E+01,5.70E+00,,,,,,,
15,7.53E+00,1.95E+01,,,,,,,
16,1.00E+02,1.34E+00,,,,,,,
17,2.82E+01,4.70E+00,,,,,,,
18,1.00E+02,1.13E+00,,,,,,,
19,3.84E+01,2.46E+00,,,,,,,
20,4.41E+01,1.47E+00,,,,,,,
21,1.34E+01,4.77E+00,,,,,,,
22,1.11E+01,5.70E+00,,,,,,,
23,4.26E+01,1.47E+00,,,,,,,
24,1.03E+01,4.70E+00,,,,,,,
25,3.84E+01,5.95E-01,,,,,,,
,,,,,,,,,
,,,,,,,,,
