Reference,Height,Width,StripWidth,
1,3.38E+01,4.27E+01,100,
2,1.24E+01,2.55E+01,,
3,3.38E+01,9.13E+00,,
4,2.17E+01,1.29E+01,,
5,2.63E+01,9.83E+00,,
6,1.90E+01,1.13E+01,,
7,4.38E+00,4.33E+01,,
8,1.14E+01,1.61E+01,,
9,1.24E+01,1.42E+01,,
10,3.38E+01,5.04E+00,,
11,6.46E+00,2.54E+01,,
12,9.97E+00,1.63E+01,,
13,1.19E+01,1.30E+01,,
14,1.15E+01,1.30E+01,,
15,9.57E+00,1.55E+01,,
16,8.18E+00,1.79E+01,,
17,2.48E+01,5.61E+00,,
18,7.37E+00,1.67E+01,,
19,2.48E+01,4.02E+00,,
20,2.18E+01,4.06E+00,,
21,1.83E+01,4.57E+00,,
22,4.83E+00,1.64E+01,,
23,4.20E+01,1.81E+00,,
24,5.62E+00,1.32E+01,,
25,1.72E+01,4.28E+00,,
26,3.86E+00,1.83E+01,,
27,4.22E+00,1.64E+01,,
28,8.55E+00,7.92E+00,,
29,3.49E+01,1.87E+00,,
30,1.58E+01,4.06E+00,,
31,3.33E+01,1.87E+00,,
32,3.38E+01,1.80E+00,,
33,4.34E+00,1.37E+01,,
34,3.18E+01,1.87E+00,,
35,1.70E+00,3.41E+01,,
36,4.34E+00,1.32E+01,,
37,1.39E+01,4.08E+00,,
38,1.24E+01,4.38E+00,,
39,6.59E+00,8.20E+00,,
40,5.74E+00,9.16E+00,,
41,1.03E+01,4.77E+00,,
42,6.29E+01,7.13E-01,,
43,1.93E+01,2.30E+00,,
44,2.38E+00,1.83E+01,,
45,8.71E+00,4.97E+00,,
46,3.71E+01,1.16E+00,,
47,3.71E+01,1.13E+00,,
48,5.62E+00,7.41E+00,,
49,1.14E+00,3.61E+01,,
50,2.48E+01,1.63E+00,,
51,6.40E+00,6.00E+00,,
52,2.08E+00,1.83E+01,,
53,6.46E+00,5.82E+00,,
54,2.06E+00,1.76E+01,,
55,1.94E+01,1.84E+00,,
56,1.21E+01,2.90E+00,,
57,1.45E+00,2.39E+01,,
58,2.17E+01,1.59E+00,,
59,1.38E+00,2.40E+01,,
60,2.68E+01,1.21E+00,,
61,9.38E-01,3.41E+01,,
62,3.17E+00,1.00E+01,,
63,8.32E+00,3.78E+00,,
64,2.49E+00,1.26E+01,,
65,1.29E+00,2.40E+01,,
66,1.60E+00,1.93E+01,,
67,7.26E+00,4.21E+00,,
68,8.75E+00,3.50E+00,,
69,1.21E+00,2.40E+01,,
70,1.21E+00,2.40E+01,,
71,3.38E+01,8.57E-01,,
72,2.49E+00,1.14E+01,,
73,1.18E+00,2.40E+01,,
74,1.75E+00,1.61E+01,,
75,3.38E+01,8.35E-01,,
76,1.17E+00,2.40E+01,,
77,6.60E+00,4.21E+00,,
78,3.38E+01,8.18E-01,,
79,7.59E-01,3.61E+01,,
80,4.03E+00,6.78E+00,,
81,9.47E+00,2.88E+00,,
82,4.03E+00,6.72E+00,,
83,9.39E+00,2.86E+00,,
84,2.17E+01,1.24E+00,,
85,1.72E+00,1.53E+01,,
86,3.38E+01,7.77E-01,,
87,3.75E+00,6.98E+00,,
88,3.12E+00,8.35E+00,,
89,1.08E+00,2.40E+01,,
90,2.28E+00,1.13E+01,,
91,5.16E+00,4.97E+00,,
92,2.55E+00,1.00E+01,,
93,1.65E+00,1.55E+01,,
94,4.26E+00,6.00E+00,,
95,1.94E+01,1.30E+00,,
96,3.38E+01,7.45E-01,,
97,1.52E+00,1.64E+01,,
98,3.12E+00,7.97E+00,,
99,1.51E+00,1.64E+01,,
100,1.92E+01,1.27E+00,,
101,5.63E-01,4.33E+01,,
102,2.58E+00,9.16E+00,,
103,1.53E+01,1.53E+00,,
104,8.32E+00,2.82E+00,,
105,9.67E-01,2.40E+01,,
106,1.08E+00,2.13E+01,,
107,2.04E+00,1.13E+01,,
108,6.58E+00,3.50E+00,,
109,1.36E+00,1.68E+01,,
110,1.83E+01,1.24E+00,,
111,3.76E+01,6.02E-01,,
112,2.00E+00,1.13E+01,,
113,1.01E+01,2.23E+00,,
114,1.72E+01,1.28E+00,,
115,6.08E-01,3.61E+01,,
116,7.13E+00,3.04E+00,,
117,3.43E+01,6.30E-01,,
118,9.37E+00,2.30E+00,,
119,4.03E+00,5.32E+00,,
120,1.72E+01,1.22E+00,,
121,8.22E-01,2.55E+01,,
122,9.39E+00,2.23E+00,,
123,1.83E+01,1.14E+00,,
124,3.38E+01,6.15E-01,,
125,1.07E+01,1.94E+00,,
126,2.96E+00,6.98E+00,,
127,5.62E+00,3.67E+00,,
128,2.10E+00,9.83E+00,,
129,8.95E+00,2.30E+00,,
130,6.74E+00,3.04E+00,,
131,1.13E+01,1.81E+00,,
132,5.72E+00,3.57E+00,,
133,9.47E+00,2.15E+00,,
134,1.01E+01,2.00E+00,,
135,1.39E+01,1.46E+00,,
136,1.19E+00,1.67E+01,,
137,5.82E-01,3.41E+01,,
138,3.38E+01,5.80E-01,,
139,2.70E+00,7.23E+00,,
140,2.70E+00,7.23E+00,,
141,1.53E+01,1.27E+00,,
142,2.17E+01,8.94E-01,,
143,2.84E+00,6.78E+00,,
144,1.14E+00,1.67E+01,,
145,3.67E+00,5.19E+00,,
146,6.50E+00,2.93E+00,,
147,4.03E+00,4.70E+00,,
148,1.07E+00,1.76E+01,,
149,1.17E+01,1.60E+00,,
150,2.76E+00,6.78E+00,,
151,2.68E+00,6.98E+00,,
152,2.92E+01,6.40E-01,,
153,9.80E+00,1.90E+00,,
154,2.70E+00,6.86E+00,,
155,2.92E+01,6.33E-01,,
156,9.65E+00,1.90E+00,,
157,1.17E+00,1.55E+01,,
158,5.72E+00,3.16E+00,,
159,2.86E+01,6.30E-01,,
160,2.37E+01,7.60E-01,,
161,9.29E-01,1.93E+01,,
162,1.15E+01,1.55E+00,,
163,1.83E+01,9.69E-01,,
164,1.45E+00,1.22E+01,,
165,1.14E+01,1.55E+00,,
166,4.90E-01,3.61E+01,,
167,2.48E+01,7.09E-01,,
168,1.35E+00,1.30E+01,,
169,3.71E+01,4.70E-01,,
170,1.72E+00,1.01E+01,,
171,9.56E+00,1.81E+00,,
172,2.17E+00,7.94E+00,,
173,2.48E+01,6.92E-01,,
174,6.71E-01,2.55E+01,,
175,1.03E+01,1.65E+00,,
176,2.36E+00,7.21E+00,,
177,3.67E+00,4.64E+00,,
178,2.36E+00,7.15E+00,,
179,3.38E+01,5.01E-01,,
180,3.38E+01,5.00E-01,,
181,1.09E+01,1.55E+00,,
182,1.50E+00,1.13E+01,,
183,1.00E+00,1.68E+01,,
184,2.17E+01,7.78E-01,,
185,1.32E+01,1.27E+00,,
186,2.53E+00,6.42E+00,,
187,1.97E+00,8.20E+00,,
188,9.95E+00,1.60E+00,,
189,2.48E+01,6.40E-01,,
190,2.09E+00,7.21E+00,,
191,2.32E+01,6.49E-01,,
192,1.21E+01,1.24E+00,,
193,1.83E+01,8.17E-01,,
194,4.38E-01,3.41E+01,,
195,5.62E+00,2.65E+00,,
196,2.37E+01,6.23E-01,,
197,2.37E+01,6.20E-01,,
198,2.32E+01,6.25E-01,,
199,4.25E-01,3.41E+01,,
200,3.71E+01,3.90E-01,,
