Reference,Height,Width,StripWidth,
1,6.88E+01,1.27E+01,100,
2,3.60E+01,2.03E+01,,
3,2.54E+01,2.04E+01,,
4,1.00E+02,4.03E+00,,
5,2.87E+01,1.27E+01,,
6,7.97E+00,4.53E+01,,
7,7.85E+01,4.36E+00,,
8,3.08E+01,1.07E+01,,
9,7.85E+01,3.37E+00,,
10,4.95E+00,4.53E+01,,
11,1.06E+01,2.04E+01,,
12,5.37E+01,3.90E+00,,
13,3.08E+01,6.33E+00,,
14,1.00E+01,1.59E+01,,
15,1.43E+01,1.10E+01,,
16,1.54E+01,9.78E+00,,
17,3.43E+00,4.05E+01,,
18,1.69E+01,8.12E+00,,
19,3.95E+01,3.03E+00,,
20,1.52E+01,6.92E+00,,
21,9.31E+00,1.10E+01,,
22,2.48E+01,3.90E+00,,
23,1.68E+00,5.45E+01,,
24,2.29E+01,3.77E+00,,
25,9.69E+00,7.83E+00,,
26,1.35E+01,5.45E+00,,
27,5.82E+01,1.20E+00,,
28,1.52E+00,4.15E+01,,
29,1.23E+00,4.84E+01,,
30,6.04E+00,9.78E+00,,
31,1.54E+01,3.77E+00,,
32,2.59E+01,2.08E+00,,
33,1.69E+01,2.91E+00,,
34,5.91E+01,8.31E-01,,
35,4.15E+01,1.04E+00,,
36,9.46E+00,4.58E+00,,
37,4.49E+00,9.12E+00,,
38,1.42E+01,2.87E+00,,
39,8.36E-01,4.84E+01,,
40,1.22E+01,3.25E+00,,
41,1.79E+01,2.06E+00,,
42,2.07E+01,1.72E+00,,
43,3.84E+00,9.27E+00,,
44,9.98E-01,3.52E+01,,
45,3.43E+00,9.61E+00,,
46,1.15E+01,2.83E+00,,
47,2.39E+00,1.34E+01,,
48,2.42E+00,1.27E+01,,
49,1.31E+01,2.29E+00,,
50,1.63E+01,1.79E+00,,
51,6.10E+00,4.61E+00,,
52,3.08E+01,9.11E-01,,
53,1.42E+01,1.95E+00,,
54,1.42E+01,1.95E+00,,
55,3.00E+01,9.00E-01,,
56,1.24E+01,2.13E+00,,
57,2.13E+00,1.22E+01,,
58,1.29E+01,2.00E+00,,
59,1.80E+00,1.44E+01,,
60,1.18E+00,2.13E+01,,
61,1.63E+01,1.52E+00,,
62,1.20E+01,2.05E+00,,
63,1.65E+01,1.49E+00,,
64,1.97E+01,1.25E+00,,
65,3.48E+00,7.09E+00,,
66,2.04E+01,1.20E+00,,
67,1.53E+00,1.60E+01,,
68,3.88E+00,6.22E+00,,
69,1.78E+01,1.35E+00,,
70,1.49E+01,1.60E+00,,
71,3.41E+00,6.92E+00,,
72,2.11E+00,1.10E+01,,
73,1.02E+01,2.17E+00,,
74,1.97E+01,1.11E+00,,
75,3.84E+00,5.67E+00,,
76,3.84E+00,5.67E+00,,
77,1.49E+01,1.45E+00,,
78,8.92E+00,2.40E+00,,
79,3.46E+00,6.05E+00,,
80,2.85E+01,7.22E-01,,
81,1.94E+01,1.04E+00,,
82,4.85E-01,4.15E+01,,
83,1.29E+01,1.55E+00,,
84,2.85E+01,6.91E-01,,
85,2.81E+00,6.92E+00,,
86,8.36E+00,2.29E+00,,
87,9.15E+00,2.06E+00,,
88,7.35E+00,2.54E+00,,
89,1.79E+01,1.04E+00,,
90,1.05E+00,1.72E+01,,
91,2.04E+00,8.79E+00,,
92,2.43E+00,7.35E+00,,
93,3.08E+01,5.76E-01,,
94,8.58E+00,2.05E+00,,
95,6.19E-01,2.84E+01,,
96,1.30E+01,1.35E+00,,
97,5.36E+00,3.26E+00,,
98,4.20E-01,4.15E+01,,
99,3.84E+00,4.53E+00,,
100,1.38E+01,1.25E+00,,
101,2.71E+01,6.35E-01,,
102,4.72E+00,3.60E+00,,
103,3.08E+01,5.53E-01,,
104,2.59E+00,6.52E+00,,
105,2.07E+01,7.94E-01,,
106,2.06E+01,7.97E-01,,
107,2.01E+00,8.09E+00,,
108,1.91E+01,8.51E-01,,
109,1.53E+00,1.06E+01,,
110,9.15E+00,1.77E+00,,
111,6.19E-01,2.61E+01,,
112,1.94E+01,8.31E-01,,
113,7.03E-01,2.25E+01,,
114,3.81E+00,4.15E+00,,
115,4.81E+00,3.26E+00,,
116,3.84E+00,4.05E+00,,
117,4.39E-01,3.52E+01,,
118,5.46E+00,2.83E+00,,
119,8.37E+00,1.84E+00,,
120,6.19E-01,2.47E+01,,
121,1.63E+01,9.41E-01,,
122,3.27E+00,4.65E+00,,
123,3.27E+00,4.64E+00,,
124,1.42E+01,1.06E+00,,
125,2.71E+01,5.54E-01,,
126,8.40E+00,1.79E+00,,
127,6.61E+00,2.26E+00,,
128,3.43E+00,4.35E+00,,
129,6.20E+00,2.40E+00,,
130,3.81E+00,3.90E+00,,
131,3.08E+01,4.79E-01,,
132,2.59E+00,5.68E+00,,
133,6.19E-01,2.36E+01,,
134,2.01E+00,7.26E+00,,
135,2.39E+00,6.10E+00,,
136,2.92E+00,4.91E+00,,
137,3.08E+01,4.65E-01,,
138,1.57E+00,9.12E+00,,
139,1.45E+00,9.79E+00,,
140,1.02E+01,1.40E+00,,
141,6.66E+00,2.13E+00,,
142,9.36E+00,1.49E+00,,
143,2.01E+00,6.93E+00,,
144,3.08E+01,4.52E-01,,
145,1.29E+00,1.08E+01,,
146,9.80E+00,1.41E+00,,
147,1.63E+01,8.40E-01,,
148,2.39E+00,5.75E+00,,
149,1.02E+01,1.35E+00,,
150,1.79E+01,7.63E-01,,
151,2.43E+00,5.61E+00,,
152,1.29E+00,1.05E+01,,
153,2.06E+01,6.56E-01,,
154,1.45E+00,9.18E+00,,
155,1.12E+01,1.19E+00,,
156,7.43E+00,1.79E+00,,
157,1.02E+01,1.30E+00,,
158,5.50E+00,2.40E+00,,
159,7.03E-01,1.86E+01,,
160,4.72E+00,2.77E+00,,
161,4.72E+00,2.76E+00,,
162,1.03E+01,1.25E+00,,
163,1.37E+01,9.41E-01,,
164,4.83E-01,2.66E+01,,
165,2.07E+01,6.19E-01,,
166,6.61E+00,1.94E+00,,
167,2.92E+00,4.38E+00,,
168,2.09E+00,6.10E+00,,
169,1.22E+01,1.04E+00,,
170,3.59E-01,3.52E+01,,
171,5.49E+00,2.29E+00,,
172,1.43E+00,8.79E+00,,
173,2.70E+00,4.58E+00,,
174,6.91E+00,1.79E+00,,
175,6.61E+00,1.85E+00,,
176,3.49E+00,3.45E+00,,
177,3.88E+00,3.07E+00,,
178,1.05E+00,1.12E+01,,
179,1.05E+00,1.10E+01,,
180,9.15E+00,1.22E+00,,
181,1.65E+00,6.10E+00,,
182,1.10E+00,9.12E+00,,
183,7.59E+00,1.32E+00,,
184,9.15E+00,1.07E+00,,
185,3.43E+00,2.83E+00,,
186,7.55E+00,1.25E+00,,
187,1.05E+00,8.91E+00,,
188,8.96E+00,1.04E+00,,
189,7.03E-01,1.33E+01,,
190,7.59E+00,1.22E+00,,
191,1.45E+00,6.30E+00,,
192,7.30E+00,1.25E+00,,
193,2.62E+00,3.45E+00,,
194,9.88E-01,9.12E+00,,
195,4.63E+00,1.95E+00,,
196,3.85E+00,2.29E+00,,
197,9.63E-01,9.12E+00,,
198,9.63E-01,9.12E+00,,
199,1.80E+00,4.89E+00,,
200,4.51E+00,1.95E+00,,
