Reference,Height,Width,StripHeight,
1,1.00E+02,2.21E+01,100,
2,8.18E+01,1.75E+01,,
3,5.37E+01,2.26E+01,,
4,8.47E+01,1.37E+01,,
5,1.00E+02,7.82E+00,,
6,3.29E+01,1.62E+01,,
7,1.00E+02,3.19E+00,,
8,8.18E+01,3.85E+00,,
9,1.34E+01,2.26E+01,,
10,4.57E+01,6.56E+00,,
11,4.54E+01,5.28E+00,,
12,3.29E+01,6.42E+00,,
13,1.53E+01,1.37E+01,,
14,8.05E+01,1.64E+00,,
15,5.99E+00,2.14E+01,,
16,4.06E+00,2.14E+01,,
17,7.65E+01,1.04E+00,,
18,4.97E+00,1.31E+01,,
19,8.90E+00,6.56E+00,,
20,4.54E+01,1.28E+00,,
21,5.43E+00,8.29E+00,,
22,3.20E+00,1.31E+01,,
23,1.95E+01,1.64E+00,,
24,2.35E+01,1.04E+00,,
25,2.74E+00,8.29E+00,,
