Reference,Height,Width,StripHeight,,,,,,
1,7.89E+01,4.47E+01,100,,,,,,
2,2.74E+01,3.28E+01,,,,,,,
3,4.51E+01,1.61E+01,,,,,,,
4,2.98E+01,2.15E+01,,,,,,,
5,4.51E+01,1.30E+01,,,,,,,
6,1.18E+01,4.47E+01,,,,,,,
7,1.36E+01,3.28E+01,,,,,,,
8,3.00E+01,1.32E+01,,,,,,,
9,4.51E+01,6.20E+00,,,,,,,
10,5.21E+00,4.47E+01,,,,,,,
11,1.12E+01,1.77E+01,,,,,,,
12,4.10E+00,4.47E+01,,,,,,,
13,4.51E+01,3.71E+00,,,,,,,
14,2.51E+01,5.65E+00,,,,,,,
15,4.51E+01,3.12E+00,,,,,,,
16,1.51E+01,8.85E+00,,,,,,,
17,2.51E+01,5.24E+00,,,,,,,
18,2.51E+01,4.19E+00,,,,,,,
19,2.51E+01,4.05E+00,,,,,,,
20,6.48E+00,1.51E+01,,,,,,,
21,2.76E+00,3.28E+01,,,,,,,
22,4.70E+00,1.51E+01,,,,,,,
23,1.51E+01,4.37E+00,,,,,,,
24,2.51E+01,2.40E+00,,,,,,,
25,5.49E+01,9.32E-01,,,,,,,
,,,,,,,,,
,,,,,,,,,
