Reference,Height,Width,StripHeight,
1,5.94E+01,9.45E+01,100,
2,2.72E+01,4.10E+01,,
3,2.72E+01,2.63E+01,,
4,1.03E+01,2.68E+01,,
5,2.72E+01,8.03E+00,,
6,2.72E+01,7.24E+00,,
7,1.55E+01,1.19E+01,,
8,7.68E+00,2.36E+01,,
9,5.02E+01,3.31E+00,,
10,1.17E+01,1.19E+01,,
11,1.22E+00,9.45E+01,,
12,5.02E+01,2.19E+00,,
13,2.60E+00,3.53E+01,,
14,9.70E-01,9.45E+01,,
15,7.68E+00,1.18E+01,,
16,4.57E+00,1.96E+01,,
17,9.47E-01,9.45E+01,,
18,1.48E+01,5.51E+00,,
19,1.35E+01,5.51E+00,,
20,3.80E+00,1.73E+01,,
21,1.90E+00,3.24E+01,,
22,1.11E+01,5.51E+00,,
23,4.57E+00,1.27E+01,,
24,3.80E+00,1.50E+01,,
25,1.03E+01,5.51E+00,,
