Rererence,Height,Width,StripWidth,
1,3.49E+01,1.19E+01,100,
2,3.20E+01,1.08E+01,,
3,3.00E+01,1.04E+01,,
4,3.00E+01,7.97E+00,,
5,2.30E+01,1.01E+01,,
6,5.55E+00,4.11E+01,,
7,4.51E+01,4.12E+00,,
8,1.49E+01,1.19E+01,,
9,6.63E+00,2.42E+01,,
10,1.05E+01,1.46E+01,,
11,8.74E+00,1.63E+01,,
12,4.51E+01,2.58E+00,,
13,2.41E+00,4.11E+01,,
14,5.39E+01,1.80E+00,,
15,1.21E+01,7.31E+00,,
16,6.35E+00,1.36E+01,,
17,8.78E+00,9.63E+00,,
18,1.50E+01,4.84E+00,,
19,2.71E+01,2.64E+00,,
20,9.84E+00,7.23E+00,,
21,6.98E+00,1.01E+01,,
22,1.64E+01,4.26E+00,,
23,8.71E+00,7.82E+00,,
24,6.04E+01,1.11E+00,,
25,4.51E+01,1.44E+00,,
26,4.51E+01,1.41E+00,,
27,8.72E+00,7.17E+00,,
28,1.35E+01,4.47E+00,,
29,4.51E+01,1.33E+00,,
30,1.40E+01,4.15E+00,,
31,8.76E+00,6.56E+00,,
32,1.87E+01,3.03E+00,,
33,4.51E+01,1.25E+00,,
34,5.22E+00,1.08E+01,,
35,1.00E+01,5.39E+00,,
36,5.04E+00,1.04E+01,,
37,4.51E+01,1.12E+00,,
38,4.33E+01,1.16E+00,,
39,4.10E+00,1.19E+01,,
40,1.60E+01,3.02E+00,,
41,2.09E+00,2.20E+01,,
42,3.98E+00,1.11E+01,,
43,1.57E+01,2.79E+00,,
44,1.02E+00,4.11E+01,,
45,9.20E+00,4.50E+00,,
46,1.83E+00,2.14E+01,,
47,6.24E+00,5.71E+00,,
48,1.07E+00,3.28E+01,,
49,9.49E+00,3.62E+00,,
50,1.06E+00,3.06E+01,,
51,2.31E+00,1.37E+01,,
52,2.77E+01,1.11E+00,,
53,8.92E+00,3.41E+00,,
54,7.05E+00,4.26E+00,,
55,9.20E+00,3.17E+00,,
56,4.10E+00,6.80E+00,,
57,8.35E+00,3.32E+00,,
58,1.28E+01,2.11E+00,,
59,8.71E+00,3.09E+00,,
60,9.49E+00,2.83E+00,,
61,5.52E+00,4.86E+00,,
62,8.93E+00,2.93E+00,,
63,6.96E+00,3.74E+00,,
64,1.00E+01,2.48E+00,,
65,8.01E+00,3.02E+00,,
66,1.65E+01,1.44E+00,,
67,3.21E+01,7.20E-01,,
68,5.09E-01,4.47E+01,,
69,1.36E+01,1.66E+00,,
70,1.21E+01,1.84E+00,,
71,6.50E+00,3.43E+00,,
72,1.16E+01,1.86E+00,,
73,5.52E+00,3.87E+00,,
74,3.83E+01,5.48E-01,,
75,1.47E+00,1.41E+01,,
76,4.51E+01,4.52E-01,,
77,2.09E+00,9.71E+00,,
78,6.98E+00,2.89E+00,,
79,8.71E+00,2.31E+00,,
80,3.51E+00,5.73E+00,,
81,7.08E+00,2.83E+00,,
82,1.59E+00,1.26E+01,,
83,2.71E+00,7.35E+00,,
84,1.66E+01,1.17E+00,,
85,1.18E+00,1.63E+01,,
86,6.44E+00,2.93E+00,,
87,1.83E+00,1.02E+01,,
88,6.24E+00,2.99E+00,,
89,5.78E+00,3.15E+00,,
90,5.96E+00,3.05E+00,,
91,8.62E+00,2.10E+00,,
92,4.46E+00,4.05E+00,,
93,7.11E+00,2.54E+00,,
94,1.90E+00,9.45E+00,,
95,5.45E+00,3.25E+00,,
96,1.28E+01,1.38E+00,,
97,1.23E+01,1.44E+00,,
98,1.45E+00,1.19E+01,,
99,1.92E+00,8.85E+00,,
100,2.59E+00,6.44E+00,,
101,2.10E+01,7.90E-01,,
102,2.71E+01,6.07E-01,,
103,2.22E+01,7.40E-01,,
104,8.39E+00,1.96E+00,,
105,4.96E+00,3.27E+00,,
106,2.89E+00,5.50E+00,,
107,8.45E+00,1.86E+00,,
108,8.17E+00,1.91E+00,,
109,6.11E+00,2.55E+00,,
110,8.16E+00,1.88E+00,,
111,3.57E+00,4.26E+00,,
112,2.37E+01,6.42E-01,,
113,1.74E+00,8.64E+00,,
114,1.67E+01,8.92E-01,,
115,1.57E+00,9.45E+00,,
116,2.10E+00,7.05E+00,,
117,7.41E+00,2.00E+00,,
118,2.89E+00,5.12E+00,,
119,1.07E+00,1.37E+01,,
120,6.43E+00,2.29E+00,,
121,5.90E+00,2.50E+00,,
122,1.86E+01,7.90E-01,,
123,1.18E+00,1.25E+01,,
124,1.22E+01,1.20E+00,,
125,3.66E+00,3.99E+00,,
126,2.62E+01,5.55E-01,,
127,1.97E+01,7.40E-01,,
128,8.89E+00,1.64E+00,,
129,1.85E+00,7.83E+00,,
130,1.96E+01,7.36E-01,,
131,8.66E+00,1.66E+00,,
132,3.07E+01,4.66E-01,,
133,1.23E+01,1.16E+00,,
134,5.38E-01,2.65E+01,,
135,8.04E-01,1.76E+01,,
136,1.59E+00,8.85E+00,,
137,1.39E+01,1.02E+00,,
138,1.52E+01,9.27E-01,,
139,1.67E+01,8.42E-01,,
140,8.96E+00,1.57E+00,,
141,1.38E+01,1.02E+00,,
142,3.11E+00,4.52E+00,,
143,4.87E+00,2.87E+00,,
144,1.23E+01,1.13E+00,,
145,3.00E+01,4.63E-01,,
146,4.25E+00,3.27E+00,,
147,7.82E-01,1.76E+01,,
148,7.38E+00,1.86E+00,,
149,5.52E+00,2.48E+00,,
150,1.34E+01,1.02E+00,,
151,3.35E+00,4.05E+00,,
152,2.23E+00,6.09E+00,,
153,4.48E+00,3.02E+00,,
154,2.80E+01,4.83E-01,,
155,1.83E+00,7.40E+00,,
156,3.17E+00,4.26E+00,,
157,1.77E+01,7.64E-01,,
158,2.57E+00,5.24E+00,,
159,1.76E+00,7.64E+00,,
160,1.21E+00,1.11E+01,,
161,9.92E+00,1.35E+00,,
162,3.17E+00,4.20E+00,,
163,1.56E+00,8.49E+00,,
164,2.23E+01,5.92E-01,,
165,1.77E+00,7.38E+00,,
166,2.49E+00,5.24E+00,,
167,2.48E+01,5.17E-01,,
168,6.24E+00,2.05E+00,,
169,6.83E-01,1.87E+01,,
170,2.12E+01,6.04E-01,,
171,6.85E+00,1.86E+00,,
172,2.32E+01,5.49E-01,,
173,4.14E-01,3.06E+01,,
174,2.97E+00,4.26E+00,,
175,7.55E-01,1.67E+01,,
176,2.23E+00,5.62E+00,,
177,5.35E-01,2.34E+01,,
178,2.77E+00,4.52E+00,,
179,2.88E+00,4.35E+00,,
180,1.58E+01,7.90E-01,,
181,9.19E-01,1.36E+01,,
182,4.53E+00,2.74E+00,,
183,1.68E+00,7.38E+00,,
184,4.07E+00,3.02E+00,,
185,3.66E+00,3.32E+00,,
186,2.15E+01,5.66E-01,,
187,5.10E-01,2.38E+01,,
188,7.82E-01,1.55E+01,,
189,1.23E+01,9.88E-01,,
190,2.23E+00,5.43E+00,,
191,8.76E+00,1.38E+00,,
192,3.67E-01,3.28E+01,,
193,6.30E+00,1.91E+00,,
194,1.66E+01,7.24E-01,,
195,6.37E+00,1.88E+00,,
196,1.18E+01,1.02E+00,,
197,1.83E+00,6.48E+00,,
198,2.26E+00,5.24E+00,,
199,4.65E+00,2.54E+00,,
200,4.91E+00,2.40E+00,,
201,7.35E+00,1.60E+00,,
202,8.83E+00,1.33E+00,,
203,9.35E+00,1.26E+00,,
204,4.90E+00,2.40E+00,,
205,1.22E+01,9.60E-01,,
206,9.32E-01,1.26E+01,,
207,5.21E+00,2.24E+00,,
208,6.17E+00,1.90E+00,,
209,4.87E+00,2.40E+00,,
210,8.62E+00,1.35E+00,,
211,1.25E+01,9.32E-01,,
212,9.20E+00,1.26E+00,,
213,2.05E+01,5.63E-01,,
214,4.73E-01,2.44E+01,,
215,9.17E-01,1.26E+01,,
216,1.62E+01,7.06E-01,,
217,2.19E+00,5.24E+00,,
218,1.01E+01,1.13E+00,,
219,5.35E-01,2.13E+01,,
220,1.34E+00,8.49E+00,,
221,6.43E+00,1.76E+00,,
222,2.23E+01,5.08E-01,,
223,1.74E+00,6.48E+00,,
224,3.23E+00,3.49E+00,,
225,1.36E+01,8.26E-01,,
226,5.97E+00,1.88E+00,,
227,6.84E+00,1.64E+00,,
228,6.33E+00,1.77E+00,,
229,1.97E+01,5.66E-01,,
230,1.18E+00,9.45E+00,,
231,1.19E+00,9.38E+00,,
232,6.31E+00,1.76E+00,,
233,4.06E+00,2.74E+00,,
234,8.32E+00,1.33E+00,,
235,2.65E+00,4.19E+00,,
236,6.31E+00,1.76E+00,,
237,7.32E-01,1.51E+01,,
238,1.84E+00,5.98E+00,,
239,8.74E+00,1.26E+00,,
240,2.23E+00,4.93E+00,,
241,1.83E+00,5.98E+00,,
242,3.21E+01,3.41E-01,,
243,4.78E+00,2.29E+00,,
244,2.67E+00,4.10E+00,,
245,6.33E+00,1.72E+00,,
246,4.10E+00,2.65E+00,,
247,4.25E+00,2.54E+00,,
248,2.67E+00,4.05E+00,,
249,1.70E+01,6.35E-01,,
250,2.89E+00,3.73E+00,,
251,3.55E+00,3.03E+00,,
252,3.21E+01,3.35E-01,,
253,9.20E+00,1.16E+00,,
254,3.15E+00,3.39E+00,,
255,2.51E+00,4.25E+00,,
256,2.23E+00,4.77E+00,,
257,2.79E+01,3.81E-01,,
258,1.91E+01,5.55E-01,,
259,2.07E+01,5.11E-01,,
260,2.56E+00,4.12E+00,,
261,7.87E+00,1.33E+00,,
262,2.05E+01,5.11E-01,,
263,1.84E+00,5.69E+00,,
264,2.03E+01,5.17E-01,,
265,3.21E+01,3.25E-01,,
266,6.96E+00,1.50E+00,,
267,1.32E+01,7.90E-01,,
268,1.35E+01,7.74E-01,,
269,8.39E+00,1.24E+00,,
270,1.24E+01,8.38E-01,,
271,3.62E-01,2.88E+01,,
272,5.97E+00,1.74E+00,,
273,3.17E+00,3.25E+00,,
274,3.83E+00,2.69E+00,,
275,6.48E+00,1.59E+00,,
276,3.85E+00,2.67E+00,,
277,3.58E+00,2.87E+00,,
278,1.57E+01,6.51E-01,,
279,4.24E+00,2.40E+00,,
280,2.21E+01,4.61E-01,,
