Reference,Height,Width,StripHeight,,,,,,
1,5.76E+01,7.53E+01,100,,,,,,
2,1.46E+01,7.53E+01,,,,,,,
3,1.43E+01,7.53E+01,,,,,,,
4,2.77E+01,2.47E+01,,,,,,,
5,4.62E+01,1.46E+01,,,,,,,
6,1.92E+01,2.47E+01,,,,,,,
7,3.99E+01,5.47E+00,,,,,,,
8,2.53E+00,7.53E+01,,,,,,,
9,4.58E+00,3.52E+01,,,,,,,
10,1.39E+00,7.53E+01,,,,,,,
11,3.57E+00,2.47E+01,,,,,,,
12,2.83E+01,2.99E+00,,,,,,,
13,3.39E+00,2.47E+01,,,,,,,
14,2.67E+00,2.69E+01,,,,,,,
15,4.58E+00,1.54E+01,,,,,,,
16,2.31E+00,2.91E+01,,,,,,,
17,3.99E+01,1.65E+00,,,,,,,
18,1.36E+00,4.84E+01,,,,,,,
19,4.58E+00,1.43E+01,,,,,,,
20,1.31E+00,4.84E+01,,,,,,,
21,2.31E+00,2.34E+01,,,,,,,
22,1.79E+01,2.99E+00,,,,,,,
23,2.31E+00,2.28E+01,,,,,,,
24,4.58E+00,1.04E+01,,,,,,,
25,6.27E+00,7.12E+00,,,,,,,
,,,,,,,,,
,,,,,,,,,
