reference,height,width,stripwidth,
1,2.96E+01,3.84E+01,100,
2,2.75E+01,3.32E+01,,
3,6.65E+01,1.29E+01,,
4,2.47E+01,3.32E+01,,
5,2.63E+01,2.76E+01,,
6,4.98E+01,1.45E+01,,
7,1.82E+01,3.32E+01,,
8,5.14E+01,1.14E+01,,
9,3.08E+01,1.64E+01,,
10,6.65E+01,6.39E+00,,
11,6.65E+01,5.19E+00,,
12,4.10E+01,6.54E+00,,
13,4.64E+01,5.21E+00,,
14,1.51E+01,1.14E+01,,
15,6.65E+01,2.53E+00,,
16,4.56E+00,2.76E+01,,
17,2.63E+00,4.70E+01,,
18,2.90E+01,3.68E+00,,
19,6.65E+01,1.57E+00,,
20,9.15E+00,9.05E+00,,
21,1.21E+01,6.27E+00,,
22,2.90E+01,2.59E+00,,
23,6.65E+01,1.06E+00,,
24,1.06E+01,5.21E+00,,
25,6.65E+01,8.20E-01,,
26,6.65E+01,7.92E-01,,
27,3.71E+01,1.21E+00,,
28,3.32E+01,1.32E+00,,
29,7.68E+00,5.21E+00,,
30,2.17E+01,1.72E+00,,
31,1.93E+01,1.72E+00,,
32,3.08E+01,1.00E+00,,
33,5.77E+00,5.21E+00,,
34,3.33E+01,8.75E-01,,
35,2.27E+01,1.11E+00,,
36,3.35E+01,7.48E-01,,
37,3.30E+01,7.48E-01,,
38,3.08E+01,7.91E-01,,
39,2.13E+01,1.11E+00,,
40,9.15E+00,2.42E+00,,
41,1.51E+01,1.21E+00,,
42,1.44E+01,1.21E+00,,
43,9.15E+00,1.71E+00,,
44,3.33E+01,4.42E-01,,
45,1.21E+01,1.11E+00,,
46,3.08E+01,4.11E-01,,
47,3.08E+01,4.04E-01,,
48,9.15E+00,1.35E+00,,
49,3.08E+01,3.92E-01,,
50,1.03E+01,1.11E+00,,
