Reference,Height,Width,StripHeight,
1,9.67E+01,3.46E+01,100,
2,9.53E+01,2.85E+01,,
3,6.31E+01,1.16E+01,,
4,9.03E+01,7.89E+00,,
5,9.03E+01,5.74E+00,,
6,5.65E+01,4.39E+00,,
7,1.89E+01,1.16E+01,,
8,9.53E+01,2.20E+00,,
9,2.15E+01,5.03E+00,,
10,2.30E+00,4.56E+01,,
11,2.30E+00,4.50E+01,,
12,8.66E+00,1.16E+01,,
13,2.55E+01,3.82E+00,,
14,2.19E+01,4.39E+00,,
15,2.17E+01,4.39E+00,,
16,4.24E+01,2.13E+00,,
17,1.39E+00,5.60E+01,,
18,4.24E+01,1.69E+00,,
19,4.98E+00,1.36E+01,,
20,4.69E+00,1.16E+01,,
21,4.16E+01,1.21E+00,,
22,1.03E+00,4.79E+01,,
23,3.69E+01,1.21E+00,,
24,1.03E+00,4.26E+01,,
25,1.06E+01,3.82E+00,,
