Reference,Height,Width,StripWidth,
1,2.69E+01,2.43E+01,100,
2,7.62E+01,7.89E+00,,
3,2.44E+01,1.75E+01,,
4,1.96E+01,1.75E+01,,
5,2.90E+01,1.01E+01,,
6,6.37E+01,4.18E+00,,
7,6.37E+01,4.11E+00,,
8,2.24E+01,1.10E+01,,
9,7.62E+01,3.14E+00,,
10,1.71E+01,1.36E+01,,
11,7.62E+01,2.93E+00,,
12,6.01E+00,3.62E+01,,
13,2.82E+01,7.61E+00,,
14,3.00E+01,6.05E+00,,
15,6.03E+01,3.00E+00,,
16,2.02E+01,8.93E+00,,
17,1.84E+01,8.68E+00,,
18,1.75E+01,8.93E+00,,
19,1.93E+01,7.61E+00,,
20,2.03E+01,7.12E+00,,
21,1.29E+01,1.10E+01,,
22,7.62E+01,1.71E+00,,
23,1.45E+01,8.12E+00,,
24,2.23E+01,5.08E+00,,
25,7.14E+00,1.50E+01,,
26,1.54E+01,6.60E+00,,
27,2.79E+00,3.62E+01,,
28,8.74E+00,1.10E+01,,
29,6.27E+01,1.52E+00,,
30,6.45E+00,1.36E+01,,
31,7.25E+00,1.13E+01,,
32,6.64E+00,1.23E+01,,
33,7.28E+01,1.09E+00,,
34,1.15E+01,6.60E+00,,
35,1.84E+01,3.89E+00,,
36,5.37E+00,1.26E+01,,
37,5.46E+00,1.23E+01,,
38,8.83E+00,7.31E+00,,
39,9.77E+00,6.55E+00,,
40,1.45E+01,4.28E+00,,
41,2.97E+01,1.99E+00,,
42,1.11E+01,5.27E+00,,
43,5.41E+01,1.02E+00,,
44,4.60E+01,1.18E+00,,
45,2.28E+01,2.35E+00,,
46,4.18E+01,1.23E+00,,
47,4.74E+01,1.08E+00,,
48,2.42E+01,2.04E+00,,
49,1.14E+01,4.30E+00,,
50,3.98E+00,1.23E+01,,
51,7.79E+00,6.05E+00,,
52,4.41E+00,1.01E+01,,
53,2.23E+01,1.99E+00,,
54,1.45E+01,3.00E+00,,
55,8.90E+00,4.80E+00,,
56,2.07E+01,1.99E+00,,
