Reference,Height,Width,Stripwidth,
1,1.00E+02,2.19E+01,100,
2,5.55E+01,2.59E+01,,
3,6.52E+01,1.17E+01,,
4,6.50E+01,8.86E+00,,
5,6.89E+01,4.53E+00,,
6,5.75E+01,4.98E+00,,
7,1.31E+01,2.01E+01,,
8,5.41E+01,3.24E+00,,
9,5.41E+01,3.19E+00,,
10,1.44E+01,9.74E+00,,
11,1.00E+02,1.39E+00,,
12,1.67E+01,8.03E+00,,
13,1.21E+01,1.04E+01,,
14,5.41E+00,1.92E+01,,
15,4.18E+01,2.26E+00,,
16,4.33E+00,2.01E+01,,
17,6.16E+01,1.31E+00,,
18,3.59E+01,1.87E+00,,
19,5.70E+00,1.17E+01,,
20,5.41E+00,1.13E+01,,
21,3.91E+00,1.47E+01,,
22,3.64E+01,1.47E+00,,
23,5.41E+01,9.85E-01,,
24,3.32E+00,1.59E+01,,
25,2.04E+01,2.50E+00,,
26,6.16E+01,7.68E-01,,
27,8.71E+00,5.30E+00,,
28,6.36E+01,7.18E-01,,
29,8.71E+00,5.10E+00,,
30,6.74E+00,6.57E+00,,
31,3.50E+01,1.25E+00,,
32,5.31E+00,8.11E+00,,
33,4.79E+00,8.91E+00,,
34,2.65E+00,1.59E+01,,
35,2.88E+01,1.44E+00,,
36,2.06E+00,2.01E+01,,
37,2.87E+01,1.44E+00,,
38,6.16E+01,6.67E-01,,
39,5.97E+00,6.81E+00,,
40,2.04E+00,1.98E+01,,
41,3.41E+01,1.18E+00,,
42,2.73E+00,1.47E+01,,
43,8.75E+00,4.53E+00,,
44,2.05E+01,1.92E+00,,
45,3.64E+01,1.07E+00,,
46,8.57E+00,4.55E+00,,
47,1.24E+00,3.05E+01,,
48,1.18E+00,3.05E+01,,
49,1.90E+01,1.88E+00,,
50,5.43E+00,6.57E+00,,
51,1.41E+01,2.50E+00,,
52,1.24E+01,2.82E+00,,
53,2.60E+00,1.34E+01,,
54,3.50E+01,9.93E-01,,
55,2.95E+01,1.18E+00,,
56,6.65E+00,5.11E+00,,
57,5.41E+01,6.19E-01,,
58,8.01E+00,4.17E+00,,
59,2.60E+00,1.25E+01,,
60,3.27E+00,9.74E+00,,
61,6.69E+00,4.71E+00,,
62,3.64E+01,8.60E-01,,
63,1.21E+00,2.59E+01,,
64,3.50E+01,8.81E-01,,
65,5.06E+00,6.09E+00,,
66,8.57E+00,3.57E+00,,
67,3.50E+01,8.66E-01,,
68,1.61E+01,1.88E+00,,
69,6.38E+00,4.72E+00,,
70,2.30E+01,1.30E+00,,
71,6.59E+00,4.53E+00,,
72,1.15E+00,2.59E+01,,
73,1.14E+00,2.59E+01,,
74,1.70E+00,1.73E+01,,
75,8.01E+00,3.66E+00,,
76,3.57E+00,8.11E+00,,
77,1.22E+01,2.34E+00,,
78,6.69E+00,4.20E+00,,
79,3.50E+01,7.94E-01,,
80,3.50E+01,7.91E-01,,
81,2.30E+01,1.19E+00,,
82,2.82E+00,9.74E+00,,
83,3.64E+01,7.53E-01,,
84,1.36E+00,2.01E+01,,
85,6.38E+00,4.19E+00,,
86,8.55E+00,3.06E+00,,
87,1.82E+01,1.40E+00,,
88,1.37E+01,1.87E+00,,
89,1.12E+01,2.26E+00,,
90,3.02E+00,8.11E+00,,
91,2.05E+00,1.18E+01,,
92,1.06E+01,2.26E+00,,
93,1.68E+01,1.40E+00,,
94,1.57E+01,1.47E+00,,
95,1.21E+01,1.87E+00,,
96,1.70E+00,1.32E+01,,
97,3.68E+00,6.09E+00,,
98,3.67E+00,6.09E+00,,
99,2.05E+00,1.09E+01,,
100,7.18E+00,3.06E+00,,
