Reference,Height,Width,StripHeight,
1,5.02E+01,4.79E+01,100,
2,2.06E+01,8.11E+01,,
3,4.12E+01,3.08E+01,,
4,1.78E+01,4.79E+01,,
5,2.45E+01,3.08E+01,,
6,6.77E+01,1.10E+01,,
7,7.65E+01,6.80E+00,,
8,9.01E+00,4.79E+01,,
9,8.87E+00,3.08E+01,,
10,1.85E+01,1.10E+01,,
11,1.38E+01,1.10E+01,,
12,7.70E+01,1.15E+00,,
13,9.77E-01,8.11E+01,,
14,1.45E+00,5.45E+01,,
15,2.49E+00,3.08E+01,,
16,4.43E+01,1.21E+00,,
17,1.41E+01,3.50E+00,,
18,4.29E+01,1.11E+00,,
19,1.41E+01,3.30E+00,,
20,3.26E+01,1.21E+00,,
21,1.45E+00,2.66E+01,,
22,3.44E+01,1.11E+00,,
23,5.05E+00,6.80E+00,,
24,4.38E+00,6.80E+00,,
25,2.28E+01,1.11E+00,,
