reference,height,width,stripwidth,
1,7.89E+01,1.85E+01,100,
2,5.22E+01,1.87E+01,,
3,4.51E+01,1.61E+01,,
4,4.51E+01,1.30E+01,,
5,1.18E+01,4.47E+01,,
6,1.49E+01,3.28E+01,,
7,2.98E+01,1.55E+01,,
8,3.00E+01,1.32E+01,,
9,1.36E+01,2.42E+01,,
10,7.89E+01,3.94E+00,,
11,1.63E+01,1.87E+01,,
12,4.51E+01,6.20E+00,,
13,7.89E+01,3.49E+00,,
14,1.01E+01,2.64E+01,,
15,4.10E+00,4.47E+01,,
16,2.98E+01,5.98E+00,,
17,4.51E+01,3.71E+00,,
18,5.21E+00,2.88E+01,,
19,2.51E+01,5.24E+00,,
20,1.12E+01,1.17E+01,,
21,1.04E+01,1.11E+01,,
22,1.22E+01,8.85E+00,,
23,2.51E+01,4.05E+00,,
24,6.48E+00,1.51E+01,,
25,1.70E+01,5.65E+00,,
26,1.36E+01,7.05E+00,,
27,2.76E+00,3.28E+01,,
28,5.21E+00,1.59E+01,,
29,1.24E+01,6.48E+00,,
30,1.04E+01,7.64E+00,,
31,2.33E+00,2.64E+01,,
32,1.28E+01,4.19E+00,,
33,5.49E+01,9.32E-01,,
34,4.51E+01,1.08E+00,,
35,8.16E+00,5.65E+00,,
36,4.51E+01,1.01E+00,,
37,1.60E+01,2.40E+00,,
38,8.82E+00,4.37E+00,,
39,2.47E+00,1.51E+01,,
40,1.12E+01,3.33E+00,,
41,2.23E+00,1.51E+01,,
42,1.12E+01,2.69E+00,,
43,1.23E+01,2.29E+00,,
44,6.30E+00,4.37E+00,,
45,2.89E+00,8.85E+00,,
46,4.51E+01,5.49E-01,,
47,1.23E+01,1.90E+00,,
48,9.11E+00,2.40E+00,,
49,4.51E+01,4.83E-01,,
50,1.36E+01,1.56E+00,,
