Reference,Height,Width,Stripwidth,,,,,,
1,8.48E+01,1.10E+01,100,,,,,,
2,2.19E+01,3.86E+01,,,,,,,
3,3.27E+01,2.05E+01,,,,,,,
4,2.20E+01,1.89E+01,,,,,,,
5,1.00E+02,4.07E+00,,,,,,,
6,1.54E+01,2.59E+01,,,,,,,
7,8.48E+01,4.36E+00,,,,,,,
8,4.24E+01,8.66E+00,,,,,,,
9,1.55E+01,1.99E+01,,,,,,,
10,6.57E+00,4.35E+01,,,,,,,
11,9.23E+00,2.90E+01,,,,,,,
12,4.85E+01,5.14E+00,,,,,,,
13,1.12E+01,2.13E+01,,,,,,,
14,9.02E+01,2.63E+00,,,,,,,
15,4.85E+01,4.25E+00,,,,,,,
16,1.08E+01,1.89E+01,,,,,,,
17,9.34E+00,2.17E+01,,,,,,,
18,9.23E+00,2.17E+01,,,,,,,
19,1.01E+01,1.72E+01,,,,,,,
20,3.27E+01,4.13E+00,,,,,,,
21,4.85E+01,2.77E+00,,,,,,,
22,9.23E+00,1.45E+01,,,,,,,
23,2.42E+01,4.96E+00,,,,,,,
24,4.95E+01,2.41E+00,,,,,,,
25,2.52E+01,4.28E+00,,,,,,,
26,5.07E+00,1.72E+01,,,,,,,
27,2.04E+01,4.20E+00,,,,,,,
28,9.45E+00,8.36E+00,,,,,,,
29,3.94E+00,1.99E+01,,,,,,,
30,2.52E+01,2.97E+00,,,,,,,
31,1.57E+01,4.50E+00,,,,,,,
32,2.31E+00,2.59E+01,,,,,,,
33,9.63E+00,6.00E+00,,,,,,,
34,6.04E+01,9.40E-01,,,,,,,
35,4.35E+01,1.29E+00,,,,,,,
36,6.09E+00,8.66E+00,,,,,,,
37,5.96E+00,7.94E+00,,,,,,,
38,2.34E+00,2.00E+01,,,,,,,
39,2.11E+00,2.17E+01,,,,,,,
40,2.34E+00,1.86E+01,,,,,,,
41,1.80E+01,2.41E+00,,,,,,,
42,2.57E+01,1.54E+00,,,,,,,
43,3.02E+01,1.29E+00,,,,,,,
44,8.50E+00,4.20E+00,,,,,,,
45,1.57E+01,2.21E+00,,,,,,,
46,7.94E-01,4.35E+01,,,,,,,
47,3.96E+01,8.67E-01,,,,,,,
48,9.45E+00,3.51E+00,,,,,,,
49,7.41E-01,4.35E+01,,,,,,,
50,6.82E+00,4.63E+00,,,,,,,
51,3.82E+00,7.94E+00,,,,,,,
52,3.36E+01,8.86E-01,,,,,,,
53,2.57E+00,1.11E+01,,,,,,,
54,2.29E+00,1.20E+01,,,,,,,
55,1.57E+01,1.64E+00,,,,,,,
56,1.07E+01,2.41E+00,,,,,,,
57,9.77E+00,2.63E+00,,,,,,,
58,1.58E+00,1.58E+01,,,,,,,
59,2.52E+01,9.54E-01,,,,,,,
60,2.98E+01,8.02E-01,,,,,,,
61,2.52E+01,9.11E-01,,,,,,,
62,2.44E+01,9.40E-01,,,,,,,
63,9.50E+00,2.41E+00,,,,,,,
64,6.35E+00,3.51E+00,,,,,,,
65,1.01E+00,2.17E+01,,,,,,,
66,5.01E-01,4.35E+01,,,,,,,
67,2.52E+01,8.65E-01,,,,,,,
68,8.29E-01,2.59E+01,,,,,,,
69,4.40E+00,4.63E+00,,,,,,,
70,9.35E-01,2.17E+01,,,,,,,
71,2.28E+01,8.67E-01,,,,,,,
72,4.05E+01,4.84E-01,,,,,,,
73,1.24E+01,1.58E+00,,,,,,,
74,2.24E+01,8.67E-01,,,,,,,
75,2.28E+01,8.41E-01,,,,,,,
76,7.36E+00,2.60E+00,,,,,,,
77,1.19E+01,1.60E+00,,,,,,,
78,1.49E+01,1.27E+00,,,,,,,
79,7.71E+00,2.43E+00,,,,,,,
80,9.63E+00,1.94E+00,,,,,,,
81,1.40E+01,1.29E+00,,,,,,,
82,1.62E+01,1.10E+00,,,,,,,
83,1.62E+01,1.10E+00,,,,,,,
84,2.98E+01,5.75E-01,,,,,,,
85,4.76E+00,3.51E+00,,,,,,,
86,1.50E+01,1.10E+00,,,,,,,
87,2.98E+01,5.52E-01,,,,,,,
88,4.63E+00,3.51E+00,,,,,,,
89,2.28E+01,7.00E-01,,,,,,,
90,1.24E+01,1.29E+00,,,,,,,
91,2.57E+00,6.14E+00,,,,,,,
92,2.32E+01,6.12E-01,,,,,,,
93,7.71E+00,1.77E+00,,,,,,,
94,1.20E+01,1.10E+00,,,,,,,
95,3.36E+01,3.89E-01,,,,,,,
96,4.55E+00,2.60E+00,,,,,,,
97,2.57E+00,4.44E+00,,,,,,,
98,7.09E-01,1.58E+01,,,,,,,
99,1.73E+01,6.12E-01,,,,,,,
100,1.24E+01,8.32E-01,,,,,,,
,,,,,,,,,
,,,,,,,,,
