reference,height,width,stripwidth,
1,4.37E+01,5.90E+01,100,
2,1.66E+01,9.68E+01,,
3,1.13E+01,7.84E+01,,
4,3.08E+01,2.30E+01,,
5,3.51E+01,1.32E+01,,
6,4.64E+00,9.68E+01,,
7,4.31E+00,7.84E+01,,
8,1.29E+01,2.01E+01,,
9,2.92E+00,7.84E+01,,
10,2.51E+00,7.06E+01,,
11,1.71E+00,9.68E+01,,
12,3.96E+00,4.13E+01,,
13,1.10E+01,1.41E+01,,
14,1.28E+00,9.68E+01,,
15,3.96E+00,2.93E+01,,
16,1.85E+01,4.35E+00,,
17,9.64E-01,8.32E+01,,
18,1.77E+00,4.40E+01,,
19,5.63E+00,1.26E+01,,
20,1.56E+00,4.32E+01,,
21,4.38E+00,1.49E+01,,
22,4.61E+00,1.41E+01,,
23,6.52E+00,9.79E+00,,
24,4.52E+00,1.26E+01,,
25,3.94E+01,1.44E+00,,
26,5.44E+00,9.79E+00,,
27,3.38E+01,1.44E+00,,
28,1.20E+01,3.84E+00,,
29,6.62E+01,6.77E-01,,
30,1.14E+00,3.84E+01,,
31,4.13E+01,1.05E+00,,
32,2.96E+00,1.41E+01,,
33,2.68E+01,1.44E+00,,
34,8.46E-01,4.45E+01,,
35,1.29E+01,2.86E+00,,
36,1.14E+00,3.22E+01,,
37,1.34E+00,2.66E+01,,
38,7.70E-01,4.40E+01,,
39,8.46E-01,3.87E+01,,
40,2.17E+00,1.49E+01,,
41,1.20E+00,2.66E+01,,
42,3.51E+01,8.72E-01,,
43,2.02E+00,1.49E+01,,
44,1.73E+01,1.72E+00,,
45,1.56E+00,1.89E+01,,
46,1.65E+01,1.72E+00,,
47,1.56E+00,1.81E+01,,
48,3.51E+01,7.61E-01,,
49,2.50E+01,1.05E+00,,
50,1.56E+00,1.66E+01,,
