Reference,Height,Width,Stripwidth,
1,5.73E+01,4.41E+01,100,
2,8.67E+01,7.46E+00,,
3,1.67E+01,3.51E+01,,
4,1.38E+01,3.87E+01,,
5,8.44E+00,3.87E+01,,
6,1.21E+01,1.89E+01,,
7,2.24E+01,8.96E+00,,
8,2.88E+01,6.81E+00,,
9,8.67E+01,2.25E+00,,
10,1.24E+01,1.47E+01,,
11,6.89E+00,2.46E+01,,
12,9.77E+00,1.69E+01,,
13,1.95E+01,6.81E+00,,
14,4.30E+00,2.63E+01,,
15,2.19E+01,4.96E+00,,
16,8.91E+00,1.18E+01,,
17,1.39E+01,7.05E+00,,
18,2.24E+01,4.27E+00,,
19,5.95E+01,1.46E+00,,
20,5.49E+00,1.54E+01,,
21,2.19E+01,3.60E+00,,
22,8.67E+01,8.94E-01,,
23,2.16E+01,3.45E+00,,
24,2.24E+01,3.31E+00,,
25,3.15E+01,2.32E+00,,
26,3.44E+00,2.08E+01,,
27,4.25E+01,1.52E+00,,
28,3.00E+01,1.97E+00,,
29,2.16E+01,2.72E+00,,
30,4.96E+00,1.18E+01,,
31,1.32E+00,4.41E+01,,
32,4.30E+00,1.30E+01,,
33,5.49E+00,9.29E+00,,
34,3.75E+00,1.34E+01,,
35,2.36E+00,2.13E+01,,
36,1.41E+01,3.47E+00,,
37,5.11E+01,9.56E-01,,
38,1.25E+00,3.87E+01,,
39,1.07E+01,4.49E+00,,
40,3.30E+01,1.44E+00,,
41,2.19E+00,2.13E+01,,
42,4.55E+00,1.02E+01,,
43,5.04E+01,8.80E-01,,
44,6.20E+01,7.14E-01,,
45,4.83E+01,9.17E-01,,
46,1.14E+00,3.87E+01,,
47,2.62E+00,1.69E+01,,
48,1.67E+01,2.62E+00,,
49,4.83E+01,9.01E-01,,
50,2.19E+01,1.95E+00,,
51,7.52E+00,5.54E+00,,
52,1.07E+01,3.74E+00,,
53,4.83E+01,8.13E-01,,
54,7.76E+00,5.05E+00,,
55,1.68E+01,2.32E+00,,
56,8.00E+00,4.82E+00,,
57,5.99E+00,6.17E+00,,
58,6.63E+00,5.54E+00,,
59,2.49E+01,1.46E+00,,
60,1.83E+01,1.97E+00,,
61,4.55E+00,7.91E+00,,
62,9.19E-01,3.87E+01,,
63,7.36E+00,4.82E+00,,
64,1.07E+01,3.25E+00,,
65,1.99E+00,1.73E+01,,
66,1.44E+00,2.34E+01,,
67,3.80E+01,8.82E-01,,
68,3.44E+00,9.71E+00,,
69,5.32E+00,6.17E+00,,
70,3.63E+01,8.80E-01,,
71,3.33E+01,9.56E-01,,
72,4.83E+01,6.49E-01,,
73,5.01E+00,6.17E+00,,
74,9.07E+00,3.39E+00,,
75,4.15E+00,7.40E+00,,
76,2.92E+01,1.02E+00,,
77,1.44E+00,2.08E+01,,
78,1.95E+01,1.52E+00,,
79,1.76E+00,1.69E+01,,
80,2.58E+00,1.15E+01,,
81,4.83E+01,6.02E-01,,
82,7.49E-01,3.87E+01,,
83,2.78E+01,1.02E+00,,
84,3.44E+00,8.21E+00,,
85,4.00E+00,7.03E+00,,
86,1.05E+00,2.69E+01,,
87,2.74E+01,1.02E+00,,
88,1.58E+01,1.76E+00,,
89,8.06E+00,3.44E+00,,
90,8.06E+00,3.39E+00,,
91,1.15E+01,2.36E+00,,
92,3.61E+00,7.40E+00,,
93,1.67E+01,1.56E+00,,
94,7.53E+00,3.44E+00,,
95,2.19E+01,1.18E+00,,
96,1.58E+01,1.62E+00,,
97,1.08E+01,2.36E+00,,
98,4.00E+00,6.38E+00,,
99,2.19E+01,1.16E+00,,
100,9.44E-01,2.69E+01,,
