Reference,Height,Width,StripHeight,
1,1.00E+02,2.01E+01,100,
2,5.11E+01,3.86E+01,,
3,4.32E+01,3.83E+01,,
4,2.73E+01,3.83E+01,,
5,2.00E+01,3.83E+01,,
6,2.52E+01,2.20E+01,,
7,2.52E+01,1.70E+01,,
8,7.74E+00,3.86E+01,,
9,9.86E+00,2.35E+01,,
10,5.28E+00,3.50E+01,,
11,4.17E+00,3.86E+01,,
12,9.86E+00,1.55E+01,,
13,4.22E+00,2.14E+01,,
14,3.70E+01,1.62E+00,,
15,2.60E+01,2.08E+00,,
16,3.70E+01,1.33E+00,,
17,2.67E+01,1.70E+00,,
18,1.98E+00,2.26E+01,,
19,1.98E+00,1.64E+01,,
20,4.22E+00,7.62E+00,,
21,9.50E+00,3.37E+00,,
22,1.03E+01,2.57E+00,,
23,4.22E+00,5.99E+00,,
24,2.67E+01,8.78E-01,,
25,2.60E+01,8.74E-01,,
