Reference,Height,Width,StripHeight,
1,1.00E+02,3.30E+01,100,
2,1.00E+02,1.28E+01,,
3,6.43E+01,1.88E+01,,
4,1.00E+02,7.89E+00,,
5,1.00E+02,7.27E+00,,
6,3.57E+01,1.18E+01,,
7,5.37E+01,5.93E+00,,
8,4.63E+01,5.93E+00,,
9,3.57E+01,6.94E+00,,
10,2.37E+01,6.52E+00,,
11,1.00E+02,1.21E+00,,
12,3.93E+01,2.96E+00,,
13,3.70E+01,2.96E+00,,
14,5.41E+01,1.89E+00,,
15,6.13E+01,1.62E+00,,
16,6.32E+01,1.57E+00,,
17,6.01E+01,1.50E+00,,
18,4.59E+01,1.89E+00,,
19,7.63E+01,9.35E-01,,
20,7.63E+01,9.31E-01,,
21,7.63E+01,8.65E-01,,
22,7.63E+01,8.32E-01,,
23,3.87E+01,1.62E+00,,
24,3.99E+01,1.50E+00,,
25,3.68E+01,1.57E+00,,
