Reference,Height,Width,StripHeight,,,,,,
1,8.71E+01,3.53E+01,100,,,,,,
2,3.78E+01,2.94E+01,,,,,,,
3,3.78E+01,2.67E+01,,,,,,,
4,1.75E+01,5.61E+01,,,,,,,
5,2.48E+01,2.97E+01,,,,,,,
6,2.48E+01,1.92E+01,,,,,,,
7,9.76E+00,3.53E+01,,,,,,,
8,1.00E+02,3.35E+00,,,,,,,
9,1.59E+01,2.06E+01,,,,,,,
10,1.59E+01,1.93E+01,,,,,,,
11,1.00E+02,2.31E+00,,,,,,,
12,3.92E+00,4.53E+01,,,,,,,
13,7.75E+01,1.87E+00,,,,,,,
14,1.00E+02,1.12E+00,,,,,,,
15,3.15E+00,3.53E+01,,,,,,,
16,6.37E+00,1.62E+01,,,,,,,
17,1.29E+01,4.89E+00,,,,,,,
18,1.19E+01,4.89E+00,,,,,,,
19,2.48E+01,2.28E+00,,,,,,,
20,5.45E+00,9.01E+00,,,,,,,
21,3.92E+00,1.08E+01,,,,,,,
22,2.25E+01,1.87E+00,,,,,,,
23,4.06E+00,9.01E+00,,,,,,,
24,9.51E+00,3.84E+00,,,,,,,
25,9.51E+00,3.40E+00,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
