Reference,Height,Width,StripHeight,
1,9.51E+01,3.49E+01,100,
2,9.51E+01,2.47E+01,,
3,1.00E+02,7.80E+00,,
4,5.01E+01,9.02E+00,,
5,7.43E+01,5.92E+00,,
6,8.72E+01,4.32E+00,,
7,4.89E+00,6.85E+01,,
8,3.24E+01,9.02E+00,,
9,1.00E+02,2.34E+00,,
10,2.57E+01,6.99E+00,,
11,4.73E+01,2.59E+00,,
12,1.00E+02,1.21E+00,,
13,1.00E+02,1.19E+00,,
14,8.72E+01,1.34E+00,,
15,1.26E+01,9.02E+00,,
16,1.28E+01,8.31E+00,,
17,1.00E+02,1.03E+00,,
18,8.72E+01,1.06E+00,,
19,7.43E+01,1.07E+00,,
20,4.31E+01,1.59E+00,,
21,5.27E+01,1.23E+00,,
22,2.73E+01,1.36E+00,,
23,4.41E+01,8.33E-01,,
24,2.55E+01,1.36E+00,,
25,4.41E+01,7.56E-01,,
