Reference,Height,Width,StripHeight,
1,6.56E+01,3.71E+01,100,
2,1.00E+02,1.94E+01,,
3,6.34E+01,1.40E+01,,
4,9.72E+01,8.13E+00,,
5,6.52E+01,1.03E+01,,
6,3.66E+01,1.40E+01,,
7,3.44E+01,1.23E+01,,
8,3.23E+01,1.03E+01,,
9,3.44E+01,7.74E+00,,
10,9.72E+01,2.38E+00,,
11,9.72E+01,2.29E+00,,
12,5.19E+01,4.15E+00,,
13,3.44E+01,4.82E+00,,
14,1.17E+01,1.09E+01,,
15,1.56E+01,7.35E+00,,
16,4.47E+01,2.28E+00,,
17,2.28E+01,4.15E+00,,
18,2.26E+01,4.15E+00,,
19,7.13E+00,1.09E+01,,
20,5.25E+01,1.45E+00,,
21,1.56E+01,3.51E+00,,
22,2.82E+00,1.92E+01,,
23,3.44E+01,1.40E+00,,
24,5.25E+01,8.29E-01,,
25,2.46E+00,1.03E+01,,
