Reference,Height,Width,StripWidth,,,,,,
1,9.80E+01,1.64E+01,100,,,,,,
2,2.13E+01,2.41E+01,,,,,,,
3,9.17E+00,3.73E+01,,,,,,,
4,3.53E+01,7.93E+00,,,,,,,
5,5.02E+01,4.32E+00,,,,,,,
6,5.18E+00,3.73E+01,,,,,,,
7,2.13E+01,8.68E+00,,,,,,,
8,1.90E+01,8.88E+00,,,,,,,
9,1.12E+01,1.50E+01,,,,,,,
10,3.04E+01,4.32E+00,,,,,,,
11,1.34E+01,8.88E+00,,,,,,,
12,6.46E+00,1.78E+01,,,,,,,
13,1.27E+01,8.88E+00,,,,,,,
14,2.34E+01,4.61E+00,,,,,,,
15,2.18E+00,4.93E+01,,,,,,,
16,5.03E+00,2.10E+01,,,,,,,
17,1.23E+01,7.93E+00,,,,,,,
18,9.82E+00,9.60E+00,,,,,,,
19,2.28E+00,3.81E+01,,,,,,,
20,9.82E+00,8.78E+00,,,,,,,
21,1.84E+01,4.61E+00,,,,,,,
22,1.03E+01,7.17E+00,,,,,,,
23,8.28E+00,8.43E+00,,,,,,,
24,2.17E+00,2.90E+01,,,,,,,
25,3.84E+01,1.58E+00,,,,,,,
26,2.66E+00,2.23E+01,,,,,,,
27,1.49E+00,3.73E+01,,,,,,,
28,1.03E+01,5.32E+00,,,,,,,
29,5.03E+00,1.08E+01,,,,,,,
30,1.44E+00,3.77E+01,,,,,,,
31,4.29E+00,1.26E+01,,,,,,,
32,3.12E+01,1.68E+00,,,,,,,
33,6.68E+00,7.48E+00,,,,,,,
34,1.71E+00,2.90E+01,,,,,,,
35,7.13E+00,6.81E+00,,,,,,,
36,1.18E+01,4.07E+00,,,,,,,
37,7.32E+00,6.47E+00,,,,,,,
38,1.82E+01,2.59E+00,,,,,,,
39,1.23E+00,3.81E+01,,,,,,,
40,2.10E+01,2.22E+00,,,,,,,
41,5.79E+00,8.03E+00,,,,,,,
42,4.60E+01,1.01E+00,,,,,,,
43,1.51E+01,3.01E+00,,,,,,,
44,1.37E+01,3.15E+00,,,,,,,
45,6.54E+00,6.47E+00,,,,,,,
46,2.06E+01,2.02E+00,,,,,,,
47,2.69E+00,1.52E+01,,,,,,,
48,9.95E+00,4.11E+00,,,,,,,
49,8.64E+00,4.61E+00,,,,,,,
50,3.78E+00,1.03E+01,,,,,,,
51,1.02E+00,3.81E+01,,,,,,,
52,1.90E+00,2.03E+01,,,,,,,
53,1.32E+01,2.87E+00,,,,,,,
54,1.79E+00,2.09E+01,,,,,,,
55,2.95E+01,1.26E+00,,,,,,,
56,4.61E+00,8.03E+00,,,,,,,
57,2.06E+01,1.73E+00,,,,,,,
58,3.53E+01,1.01E+00,,,,,,,
59,2.34E+01,1.51E+00,,,,,,,
60,1.23E+01,2.87E+00,,,,,,,
61,3.09E+01,1.14E+00,,,,,,,
62,3.09E+01,1.13E+00,,,,,,,
63,3.78E+00,9.17E+00,,,,,,,
64,1.05E+01,3.30E+00,,,,,,,
65,1.03E+01,3.24E+00,,,,,,,
66,8.83E+00,3.77E+00,,,,,,,
67,1.18E+01,2.76E+00,,,,,,,
68,7.51E+00,4.29E+00,,,,,,,
69,1.72E+01,1.86E+00,,,,,,,
70,7.51E+00,4.27E+00,,,,,,,
71,2.68E+00,1.18E+01,,,,,,,
72,1.87E+01,1.70E+00,,,,,,,
73,1.10E+01,2.84E+00,,,,,,,
74,7.31E+00,4.27E+00,,,,,,,
75,1.03E+01,3.01E+00,,,,,,,
76,1.66E+01,1.86E+00,,,,,,,
77,1.55E+00,1.98E+01,,,,,,,
78,2.06E+01,1.48E+00,,,,,,,
79,5.05E+01,5.97E-01,,,,,,,
80,9.82E+00,3.06E+00,,,,,,,
81,1.37E+01,2.19E+00,,,,,,,
82,1.01E+00,2.96E+01,,,,,,,
83,2.43E+01,1.23E+00,,,,,,,
84,9.99E-01,2.96E+01,,,,,,,
85,1.22E+01,2.40E+00,,,,,,,
86,1.21E+01,2.40E+00,,,,,,,
87,3.01E+01,9.46E-01,,,,,,,
88,2.06E+01,1.37E+00,,,,,,,
89,1.03E+01,2.73E+00,,,,,,,
90,3.03E+01,9.27E-01,,,,,,,
91,6.15E+00,4.52E+00,,,,,,,
92,1.81E+01,1.54E+00,,,,,,,
93,6.43E+00,4.32E+00,,,,,,,
94,1.37E+01,2.01E+00,,,,,,,
95,5.03E+00,5.49E+00,,,,,,,
96,1.46E+01,1.86E+00,,,,,,,
97,2.43E+01,1.11E+00,,,,,,,
98,3.01E+00,8.88E+00,,,,,,,
99,5.34E-01,4.93E+01,,,,,,,
100,1.32E+01,1.97E+00,,,,,,,
101,3.08E+00,8.43E+00,,,,,,,
102,6.77E-01,3.81E+01,,,,,,,
103,1.62E+01,1.58E+00,,,,,,,
104,1.68E+01,1.51E+00,,,,,,,
105,1.55E+00,1.63E+01,,,,,,,
106,2.00E+01,1.26E+00,,,,,,,
107,6.10E+00,4.07E+00,,,,,,,
108,5.13E+00,4.84E+00,,,,,,,
109,6.37E-01,3.81E+01,,,,,,,
110,1.39E+01,1.75E+00,,,,,,,
111,7.56E+00,3.16E+00,,,,,,,
112,8.59E+00,2.78E+00,,,,,,,
113,1.17E+00,2.02E+01,,,,,,,
114,3.16E+00,7.48E+00,,,,,,,
115,1.50E+01,1.56E+00,,,,,,,
116,3.43E+00,6.81E+00,,,,,,,
117,1.54E+00,1.50E+01,,,,,,,
118,1.04E+00,2.20E+01,,,,,,,
119,1.51E+01,1.51E+00,,,,,,,
120,1.03E+01,2.22E+00,,,,,,,
121,1.96E+00,1.16E+01,,,,,,,
122,2.62E+01,8.70E-01,,,,,,,
123,9.97E+00,2.28E+00,,,,,,,
124,1.02E+01,2.22E+00,,,,,,,
125,4.46E+01,5.04E-01,,,,,,,
126,2.01E+00,1.12E+01,,,,,,,
127,2.42E+01,9.27E-01,,,,,,,
128,5.99E-01,3.73E+01,,,,,,,
129,4.46E+01,4.99E-01,,,,,,,
130,5.42E+00,4.07E+00,,,,,,,
131,3.77E+00,5.83E+00,,,,,,,
132,1.81E+01,1.20E+00,,,,,,,
133,1.07E+00,2.03E+01,,,,,,,
134,1.43E+01,1.51E+00,,,,,,,
135,2.52E+00,8.51E+00,,,,,,,
136,3.15E+00,6.81E+00,,,,,,,
137,1.39E+01,1.55E+00,,,,,,,
138,1.25E+01,1.70E+00,,,,,,,
139,1.32E+01,1.60E+00,,,,,,,
140,1.37E+01,1.54E+00,,,,,,,
141,1.84E+01,1.14E+00,,,,,,,
142,3.83E+00,5.49E+00,,,,,,,
143,1.17E+00,1.79E+01,,,,,,,
144,1.37E+01,1.53E+00,,,,,,,
145,1.84E+01,1.13E+00,,,,,,,
146,2.37E+00,8.81E+00,,,,,,,
147,6.92E+00,2.99E+00,,,,,,,
148,6.55E+00,3.16E+00,,,,,,,
149,2.68E+00,7.67E+00,,,,,,,
150,2.31E+00,8.88E+00,,,,,,,
151,1.55E+00,1.32E+01,,,,,,,
152,1.15E+01,1.75E+00,,,,,,,
153,2.37E+00,8.43E+00,,,,,,,
154,5.28E+00,3.77E+00,,,,,,,
155,1.32E+01,1.49E+00,,,,,,,
156,3.67E+01,5.37E-01,,,,,,,
157,5.22E-01,3.77E+01,,,,,,,
158,2.01E+00,9.76E+00,,,,,,,
159,2.90E+01,6.74E-01,,,,,,,
160,7.51E+00,2.61E+00,,,,,,,
161,1.65E+00,1.18E+01,,,,,,,
162,3.48E+00,5.49E+00,,,,,,,
163,1.15E+01,1.65E+00,,,,,,,
164,1.21E+01,1.56E+00,,,,,,,
165,7.29E+00,2.59E+00,,,,,,,
166,1.87E+01,1.01E+00,,,,,,,
167,4.08E+00,4.61E+00,,,,,,,
168,1.87E+01,1.00E+00,,,,,,,
169,3.62E+00,5.19E+00,,,,,,,
170,1.32E+01,1.42E+00,,,,,,,
171,4.90E-01,3.81E+01,,,,,,,
172,9.26E+00,2.01E+00,,,,,,,
173,9.15E-01,2.03E+01,,,,,,,
174,2.06E+01,8.83E-01,,,,,,,
175,3.58E+00,5.05E+00,,,,,,,
176,3.12E+01,5.76E-01,,,,,,,
177,8.59E+00,2.06E+00,,,,,,,
178,8.78E+00,2.01E+00,,,,,,,
179,1.18E+01,1.49E+00,,,,,,,
180,3.51E+00,5.00E+00,,,,,,,
181,3.21E+00,5.47E+00,,,,,,,
182,2.55E+01,6.74E-01,,,,,,,
183,2.57E+01,6.66E-01,,,,,,,
184,3.67E+01,4.67E-01,,,,,,,
185,1.18E+01,1.44E+00,,,,,,,
186,9.95E+00,1.71E+00,,,,,,,
187,1.92E+00,8.81E+00,,,,,,,
188,1.65E+00,1.02E+01,,,,,,,
189,3.34E+00,5.05E+00,,,,,,,
190,1.12E+00,1.50E+01,,,,,,,
191,3.06E+00,5.47E+00,,,,,,,
192,3.51E+00,4.75E+00,,,,,,,
193,8.92E+00,1.86E+00,,,,,,,
194,7.29E+00,2.28E+00,,,,,,,
195,1.75E+01,9.46E-01,,,,,,,
196,2.48E+01,6.66E-01,,,,,,,
197,3.62E+00,4.56E+00,,,,,,,
198,2.52E+00,6.51E+00,,,,,,,
199,1.10E+01,1.47E+00,,,,,,,
200,7.09E+00,2.28E+00,,,,,,,
,,,,,,,,,
,,,,,,,,,
