Reference,Height,Width,StripHeight,
1,1.00E+02,3.30E+01,100,
2,6.93E+01,2.51E+01,,
3,7.00E+01,1.61E+01,,
4,1.77E+01,6.08E+01,,
5,4.58E+01,1.22E+01,,
6,4.56E+01,7.36E+00,,
7,7.85E+01,4.12E+00,,
8,2.42E+01,1.22E+01,,
9,2.38E+01,7.36E+00,,
10,2.15E+01,6.25E+00,,
11,6.50E+00,1.56E+01,,
12,3.07E+00,2.94E+01,,
13,7.85E+01,1.12E+00,,
14,7.85E+01,1.01E+00,,
15,2.97E+00,2.16E+01,,
16,2.05E+00,2.83E+01,,
17,3.61E+00,1.60E+01,,
18,1.83E+00,3.14E+01,,
19,3.62E+00,1.58E+01,,
20,2.00E+00,2.83E+01,,
21,4.67E+00,1.09E+01,,
22,1.65E+00,2.94E+01,,
23,3.61E+00,1.33E+01,,
24,2.88E+00,1.58E+01,,
25,1.69E+00,2.16E+01,,
