Reference,Height,Width,StripHeight,
1,8.49E+01,6.39E+01,100,
2,2.01E+01,3.45E+01,,
3,5.16E+01,1.10E+01,,
4,2.85E+01,1.66E+01,,
5,9.44E+00,4.40E+01,,
6,7.79E+00,3.45E+01,,
7,5.64E+00,4.40E+01,,
8,2.84E+01,8.65E+00,,
9,2.91E+01,8.43E+00,,
10,2.84E+01,5.14E+00,,
11,1.52E+01,8.93E+00,,
12,1.51E+01,8.43E+00,,
13,1.51E+01,7.38E+00,,
14,1.27E+01,8.43E+00,,
15,1.52E+01,6.14E+00,,
16,7.68E+00,1.08E+01,,
17,2.84E+01,2.85E+00,,
18,7.54E+00,1.05E+01,,
19,1.51E+01,4.81E+00,,
20,4.31E+01,1.60E+00,,
21,7.54E+00,8.93E+00,,
22,7.68E+00,8.59E+00,,
23,1.51E+01,3.96E+00,,
24,5.29E+00,1.10E+01,,
25,1.51E+01,3.76E+00,,
