Reference,Height,Width,StripHeight,,,,,,
1,7.04E+01,3.32E+01,100,,,,,,
2,6.65E+01,1.94E+01,,,,,,,
3,2.96E+01,3.84E+01,,,,,,,
4,6.65E+01,1.29E+01,,,,,,,
5,2.63E+01,2.76E+01,,,,,,,
6,4.98E+01,1.45E+01,,,,,,,
7,4.10E+01,1.45E+01,,,,,,,
8,3.08E+01,1.64E+01,,,,,,,
9,6.65E+01,6.24E+00,,,,,,,
10,5.69E+01,5.21E+00,,,,,,,
11,6.65E+01,2.53E+00,,,,,,,
12,4.56E+00,2.76E+01,,,,,,,
13,2.63E+00,4.70E+01,,,,,,,
14,6.65E+01,1.61E+00,,,,,,,
15,9.15E+00,9.05E+00,,,,,,,
16,6.65E+01,1.21E+00,,,,,,,
17,1.35E+01,5.21E+00,,,,,,,
18,3.08E+01,1.79E+00,,,,,,,
19,9.15E+00,5.48E+00,,,,,,,
20,4.52E+01,1.11E+00,,,,,,,
21,6.65E+01,7.48E-01,,,,,,,
22,3.33E+01,1.32E+00,,,,,,,
23,3.32E+01,1.32E+00,,,,,,,
24,3.08E+01,1.21E+00,,,,,,,
25,2.13E+01,1.11E+00,,,,,,,
,,,,,,,,,
,,,,,,,,,
