Reference,Height,Width,StripHeight,
1,7.14E+01,5.19E+01,100,
2,2.86E+01,5.19E+01,,
3,9.24E+01,1.26E+01,,
4,7.19E+01,9.77E+00,,
5,6.80E+01,8.82E+00,,
6,6.63E+01,6.73E+00,,
7,2.44E+01,8.82E+00,,
8,7.57E+00,2.70E+01,,
9,2.05E+01,9.77E+00,,
10,2.62E+01,6.73E+00,,
11,4.65E+01,3.13E+00,,
12,4.59E+01,2.51E+00,,
13,4.32E+01,2.51E+00,,
14,3.65E+01,2.94E+00,,
15,3.46E+01,2.94E+00,,
16,1.09E+01,7.07E+00,,
17,2.15E+01,3.13E+00,,
18,6.54E+01,8.19E-01,,
19,1.80E+01,2.94E+00,,
20,6.54E+01,8.00E-01,,
21,3.19E+01,1.62E+00,,
22,3.19E+01,1.52E+00,,
23,3.87E+00,1.09E+01,,
24,3.70E+00,1.09E+01,,
25,2.37E+01,1.62E+00,,
