Reference,Height,Width,StripWidth,,,,,,
1,1.78E+01,4.55E+01,100,,,,,,
2,8.27E+01,8.16E+00,,,,,,,
3,4.77E+01,1.19E+01,,,,,,,
4,1.63E+01,2.97E+01,,,,,,,
5,4.77E+01,8.70E+00,,,,,,,
6,2.04E+01,1.75E+01,,,,,,,
7,1.75E+01,2.00E+01,,,,,,,
8,6.85E+00,4.98E+01,,,,,,,
9,1.51E+01,1.90E+01,,,,,,,
10,2.33E+01,1.03E+01,,,,,,,
11,2.40E+01,9.19E+00,,,,,,,
12,8.27E+01,2.41E+00,,,,,,,
13,7.90E+00,2.51E+01,,,,,,,
14,8.91E+00,1.90E+01,,,,,,,
15,1.15E+01,1.16E+01,,,,,,,
16,8.27E+01,1.58E+00,,,,,,,
17,3.61E+00,3.57E+01,,,,,,,
18,8.51E+00,1.47E+01,,,,,,,
19,3.11E+00,3.59E+01,,,,,,,
20,8.67E+00,1.16E+01,,,,,,,
21,7.74E+01,1.29E+00,,,,,,,
22,7.64E+00,1.16E+01,,,,,,,
23,1.82E+00,4.55E+01,,,,,,,
24,1.76E+00,4.55E+01,,,,,,,
25,2.71E+00,2.93E+01,,,,,,,
26,8.52E+00,9.16E+00,,,,,,,
27,5.81E+00,1.32E+01,,,,,,,
28,8.27E+01,8.35E-01,,,,,,,
29,5.47E+00,1.16E+01,,,,,,,
30,3.36E+01,1.86E+00,,,,,,,
31,4.12E+00,1.47E+01,,,,,,,
32,1.65E+00,3.57E+01,,,,,,,
33,4.56E+01,1.03E+00,,,,,,,
34,5.81E+00,7.91E+00,,,,,,,
35,5.94E+00,7.72E+00,,,,,,,
36,1.41E+00,3.22E+01,,,,,,,
37,5.11E+00,8.73E+00,,,,,,,
38,1.29E+01,3.30E+00,,,,,,,
39,1.86E+00,2.26E+01,,,,,,,
40,1.63E+01,2.55E+00,,,,,,,
41,3.55E+00,1.16E+01,,,,,,,
42,7.15E+00,5.63E+00,,,,,,,
43,2.52E+00,1.55E+01,,,,,,,
44,6.69E+00,5.81E+00,,,,,,,
45,8.19E-01,4.54E+01,,,,,,,
46,4.37E+00,8.12E+00,,,,,,,
47,2.40E+01,1.44E+00,,,,,,,
48,1.38E+00,2.51E+01,,,,,,,
49,1.39E+00,2.41E+01,,,,,,,
50,2.52E+00,1.27E+01,,,,,,,
51,1.63E+01,1.91E+00,,,,,,,
52,2.95E+00,1.02E+01,,,,,,,
53,2.63E+00,1.12E+01,,,,,,,
54,3.27E+01,8.99E-01,,,,,,,
55,8.55E+00,3.30E+00,,,,,,,
56,7.89E-01,3.57E+01,,,,,,,
57,6.69E+00,4.15E+00,,,,,,,
58,2.00E+00,1.39E+01,,,,,,,
59,2.02E+00,1.36E+01,,,,,,,
60,1.10E+01,2.49E+00,,,,,,,
61,1.08E+01,2.45E+00,,,,,,,
