Reference,Height,Width,StripHeight,
1,9.32E+01,3.32E+01,100,
2,4.33E+01,4.32E+01,,
3,9.32E+01,1.57E+01,,
4,3.22E+01,4.32E+01,,
5,1.36E+01,2.37E+01,,
6,6.77E+01,4.74E+00,,
7,9.67E+00,1.95E+01,,
8,3.92E+00,4.32E+01,,
9,6.77E+01,1.82E+00,,
10,6.82E+00,1.53E+01,,
11,4.94E+00,2.08E+01,,
12,6.82E+00,1.41E+01,,
13,2.06E+00,4.32E+01,,
14,1.34E+01,6.57E+00,,
15,3.92E+00,1.95E+01,,
16,9.53E+00,6.57E+00,,
17,9.45E+00,6.57E+00,,
18,4.94E+00,1.24E+01,,
19,6.82E+00,8.50E+00,,
20,4.38E+01,1.29E+00,,
21,4.94E+00,9.96E+00,,
22,6.82E+00,6.17E+00,,
23,5.62E+01,7.00E-01,,
24,6.82E+00,4.87E+00,,
25,5.62E+01,5.86E-01,,
