Reference,Height,Width,StripHeight,
1,7.38E+01,3.89E+01,100,
2,1.00E+02,1.61E+01,,
3,1.00E+02,1.48E+01,,
4,9.70E+01,1.03E+01,,
5,6.78E+01,1.13E+01,,
6,2.62E+01,2.11E+01,,
7,2.62E+01,1.35E+01,,
8,2.92E+01,9.22E+00,,
9,5.38E+01,2.88E+00,,
10,4.62E+01,2.88E+00,,
11,6.10E+01,1.87E+00,,
12,2.62E+01,4.32E+00,,
13,3.02E+00,2.15E+01,,
14,2.92E+01,2.05E+00,,
15,3.97E+01,1.31E+00,,
16,5.50E+01,9.18E-01,,
17,5.50E+01,8.94E-01,,
18,4.50E+01,1.08E+00,,
19,5.50E+01,7.82E-01,,
20,6.03E+01,6.93E-01,,
21,3.90E+01,1.05E+00,,
22,2.58E+01,1.52E+00,,
23,6.03E+01,6.22E-01,,
24,3.90E+01,8.17E-01,,
25,1.92E+01,1.52E+00,,
