Reference,Height,Width,StripHeight,
1,3.97E+01,5.38E+01,100,
2,2.04E+01,7.14E+01,,
3,1.75E+01,7.14E+01,,
4,1.52E+01,7.14E+01,,
5,5.12E+01,1.57E+01,,
6,3.72E+01,1.84E+01,,
7,3.71E+01,1.76E+01,,
8,6.18E+00,7.14E+01,,
9,6.58E+01,6.28E+00,,
10,3.42E+01,4.25E+00,,
11,5.72E+01,2.21E+00,,
12,5.12E+01,2.19E+00,,
13,6.03E+00,1.79E+01,,
14,3.72E+01,2.26E+00,,
15,1.11E+00,7.14E+01,,
16,3.55E+00,2.07E+01,,
17,3.42E+01,2.03E+00,,
18,2.56E+00,1.76E+01,,
19,2.57E+01,1.67E+00,,
20,2.00E+00,2.07E+01,,
21,3.89E+01,9.99E-01,,
22,5.72E+01,5.76E-01,,
23,3.54E+01,9.28E-01,,
24,3.54E+01,7.41E-01,,
25,3.89E+01,6.70E-01,,
