reference,height,width,stripwidth,,,,,,
1,1.00E+02,3.30E+01,100,,,,,,
2,6.93E+01,2.51E+01,,,,,,,
3,1.77E+01,6.08E+01,,,,,,,
4,4.72E+01,1.17E+01,,,,,,,
5,4.56E+01,7.36E+00,,,,,,,
6,2.27E+01,1.17E+01,,,,,,,
7,2.29E+01,9.08E+00,,,,,,,
8,3.12E+01,4.12E+00,,,,,,,
9,1.21E+01,9.08E+00,,,,,,,
10,1.24E+01,8.02E+00,,,,,,,
11,5.01E+01,1.96E+00,,,,,,,
12,7.85E+01,1.12E+00,,,,,,,
13,7.00E+01,1.12E+00,,,,,,,
14,1.84E+01,4.12E+00,,,,,,,
15,1.00E+01,7.36E+00,,,,,,,
16,2.15E+01,3.31E+00,,,,,,,
17,8.57E+00,8.29E+00,,,,,,,
18,1.08E+01,6.26E+00,,,,,,,
19,1.08E+01,5.94E+00,,,,,,,
20,2.97E+00,2.16E+01,,,,,,,
21,2.15E+01,2.95E+00,,,,,,,
22,6.50E+00,9.14E+00,,,,,,,
23,2.05E+00,2.83E+01,,,,,,,
24,3.61E+00,1.60E+01,,,,,,,
25,1.83E+00,3.14E+01,,,,,,,
26,3.62E+00,1.58E+01,,,,,,,
27,2.00E+00,2.83E+01,,,,,,,
28,3.49E+01,1.61E+00,,,,,,,
29,7.55E+00,7.36E+00,,,,,,,
30,3.49E+01,1.52E+00,,,,,,,
31,1.24E+01,4.18E+00,,,,,,,
32,4.67E+00,1.09E+01,,,,,,,
33,1.21E+01,4.12E+00,,,,,,,
34,3.07E+00,1.59E+01,,,,,,,
35,1.65E+00,2.94E+01,,,,,,,
36,3.70E+01,1.31E+00,,,,,,,
37,3.61E+00,1.33E+01,,,,,,,
38,6.20E+00,7.36E+00,,,,,,,
39,2.88E+00,1.58E+01,,,,,,,
40,4.49E+01,1.01E+00,,,,,,,
41,3.30E+01,1.31E+00,,,,,,,
42,6.50E+00,6.46E+00,,,,,,,
43,3.07E+00,1.35E+01,,,,,,,
44,3.24E+00,1.22E+01,,,,,,,
45,1.99E+01,1.96E+00,,,,,,,
46,1.69E+00,2.16E+01,,,,,,,
47,1.69E+01,2.12E+00,,,,,,,
48,3.36E+01,1.01E+00,,,,,,,
49,1.69E+01,2.01E+00,,,,,,,
50,8.57E+00,3.91E+00,,,,,,,
,,,,,,,,,
,,,,,,,,,
