Reference,Height,Width,StripHeight,
1,4.05E+01,7.54E+01,100,
2,3.13E+01,8.23E+01,,
3,2.82E+01,8.23E+01,,
4,5.07E+01,5.80E+00,,
5,1.60E+01,1.05E+01,,
6,1.33E+01,1.05E+01,,
7,3.26E+01,3.40E+00,,
8,4.93E+01,2.08E+00,,
9,1.47E+01,6.65E+00,,
10,1.60E+01,6.10E+00,,
11,2.67E+01,3.41E+00,,
12,2.86E+01,3.09E+00,,
13,2.67E+01,3.24E+00,,
14,1.66E+01,5.03E+00,,
15,4.05E+01,1.93E+00,,
16,1.60E+01,4.45E+00,,
17,1.40E+01,5.03E+00,,
18,4.93E+01,1.38E+00,,
19,5.07E+01,1.33E+00,,
20,2.07E+01,3.09E+00,,
21,5.48E+00,1.05E+01,,
22,1.66E+01,3.40E+00,,
23,4.93E+01,1.07E+00,,
24,7.85E+00,6.65E+00,,
25,9.85E+00,5.03E+00,,
