Reference,Height,Width,StripWidth,
1,3.31E+01,2.23E+01,100,
2,1.85E+01,3.14E+01,,
3,1.74E+01,3.29E+01,,
4,1.65E+01,3.29E+01,,
5,2.92E+01,1.75E+01,,
6,4.97E+01,9.81E+00,,
7,5.37E+00,5.69E+01,,
8,1.07E+01,2.28E+01,,
9,2.23E+01,1.00E+01,,
10,8.33E+01,2.28E+00,,
11,2.57E+01,5.80E+00,,
12,4.97E+01,2.88E+00,,
13,4.09E+01,3.38E+00,,
14,2.38E+01,5.15E+00,,
15,6.96E+00,1.60E+01,,
16,3.37E+00,3.29E+01,,
17,5.67E+00,1.94E+01,,
18,5.88E+01,1.81E+00,,
19,6.81E+00,1.51E+01,,
20,5.12E+00,1.94E+01,,
21,2.36E+01,3.97E+00,,
22,1.07E+01,8.67E+00,,
23,3.05E+01,2.98E+00,,
24,1.73E+01,5.15E+00,,
25,9.47E+00,9.38E+00,,
26,2.83E+01,2.98E+00,,
27,1.65E+01,4.84E+00,,
28,1.61E+01,4.73E+00,,
29,3.80E+00,1.94E+01,,
30,5.05E+00,1.40E+01,,
31,8.36E+01,8.41E-01,,
32,8.15E+00,8.56E+00,,
33,4.56E+01,1.47E+00,,
34,5.92E+01,1.11E+00,,
35,4.97E+01,1.32E+00,,
36,1.31E+01,4.73E+00,,
37,2.60E+01,2.28E+00,,
38,6.86E+00,8.56E+00,,
39,4.35E+00,1.29E+01,,
40,2.38E+01,2.28E+00,,
41,5.56E+00,9.49E+00,,
42,3.72E+00,1.40E+01,,
43,5.88E+01,8.82E-01,,
44,4.27E+00,1.21E+01,,
45,9.47E+00,5.46E+00,,
46,9.47E+00,5.18E+00,,
47,1.42E+00,3.29E+01,,
48,1.86E+01,2.50E+00,,
49,2.92E+01,1.52E+00,,
50,6.96E+00,6.33E+00,,
51,4.97E+01,8.80E-01,,
52,8.27E+00,5.15E+00,,
53,5.88E+01,7.19E-01,,
54,9.87E+00,3.97E+00,,
55,1.20E+00,3.25E+01,,
56,7.08E+00,5.48E+00,,
57,1.14E+00,3.29E+01,,
58,4.97E+01,7.54E-01,,
59,9.86E+00,3.57E+00,,
60,5.57E+00,6.08E+00,,
61,9.81E+00,3.45E+00,,
62,3.32E+00,1.00E+01,,
63,1.06E+01,3.06E+00,,
64,4.27E+00,7.05E+00,,
65,3.41E+00,8.56E+00,,
66,2.14E+00,1.36E+01,,
67,2.70E+00,1.06E+01,,
68,2.87E+01,9.81E-01,,
69,5.27E+00,5.21E+00,,
70,2.77E+01,9.81E-01,,
71,5.79E-01,4.64E+01,,
72,8.46E+00,3.18E+00,,
73,7.55E+00,3.38E+00,,
74,5.56E+00,4.49E+00,,
75,3.11E+01,7.99E-01,,
76,5.30E-01,4.64E+01,,
77,9.47E+00,2.53E+00,,
78,2.77E+01,7.99E-01,,
79,8.87E+00,2.48E+00,,
80,4.20E+00,5.21E+00,,
81,7.08E+00,3.09E+00,,
82,8.87E+00,2.36E+00,,
83,7.35E+00,2.83E+00,,
84,4.08E+01,5.04E-01,,
85,2.92E+01,6.99E-01,,
86,3.72E+00,5.38E+00,,
87,1.31E+00,1.52E+01,,
88,1.41E+01,1.39E+00,,
89,3.91E+00,4.93E+00,,
90,6.36E-01,3.02E+01,,
91,1.19E+01,1.55E+00,,
92,7.99E+00,2.28E+00,,
93,7.88E-01,2.31E+01,,
94,4.35E+00,4.16E+00,,
95,1.58E+01,1.14E+00,,
96,6.81E+00,2.50E+00,,
97,3.44E+00,4.93E+00,,
98,5.41E-01,3.12E+01,,
99,3.94E+00,4.27E+00,,
100,2.65E+01,6.06E-01,,
101,2.02E+01,7.74E-01,,
102,2.92E+01,5.31E-01,,
103,4.65E+00,3.18E+00,,
104,4.26E+00,3.45E+00,,
105,3.72E+00,3.95E+00,,
106,3.41E+00,4.27E+00,,
107,1.88E+01,7.74E-01,,
108,3.20E+00,4.54E+00,,
109,1.67E+01,8.64E-01,,
110,1.64E+01,8.64E-01,,
111,1.03E+00,1.36E+01,,
112,1.13E+00,1.24E+01,,
113,1.46E+00,9.52E+00,,
114,5.57E+00,2.49E+00,,
115,1.62E+00,8.56E+00,,
116,1.06E+01,1.29E+00,,
117,8.70E+00,1.58E+00,,
118,3.17E+00,4.30E+00,,
119,1.58E+01,8.59E-01,,
120,4.35E+00,3.12E+00,,
121,1.40E+01,9.69E-01,,
122,2.72E+00,4.95E+00,,
123,1.56E+00,8.56E+00,,
124,2.72E+01,4.92E-01,,
125,1.52E+00,8.80E+00,,
126,2.72E+01,4.89E-01,,
127,2.46E+00,5.29E+00,,
128,4.16E-01,3.12E+01,,
129,2.92E+01,4.43E-01,,
130,3.20E+00,4.02E+00,,
131,1.84E+01,6.95E-01,,
132,2.53E+01,4.99E-01,,
133,2.43E+00,5.20E+00,,
134,7.35E+00,1.69E+00,,
135,7.90E-01,1.58E+01,,
136,6.81E+00,1.82E+00,,
137,4.35E+00,2.85E+00,,
138,4.78E+00,2.58E+00,,
139,6.43E-01,1.92E+01,,
140,2.75E+01,4.44E-01,,
141,4.68E+00,2.58E+00,,
142,1.37E+01,8.66E-01,,
143,7.90E-01,1.48E+01,,
144,2.58E+01,4.53E-01,,
145,2.75E+01,4.22E-01,,
146,1.06E+01,1.09E+00,,
147,1.74E+01,6.59E-01,,
148,5.98E-01,1.92E+01,,
149,1.19E+01,9.57E-01,,
150,1.30E+01,8.78E-01,,
151,9.52E+00,1.19E+00,,
152,1.72E+01,6.59E-01,,
153,1.62E+01,6.95E-01,,
154,1.13E+00,9.93E+00,,
155,7.11E+00,1.58E+00,,
156,2.26E+00,4.85E+00,,
157,1.13E+01,9.69E-01,,
158,3.50E-01,3.12E+01,,
159,1.88E+01,5.80E-01,,
160,9.06E+00,1.19E+00,,
161,1.22E+01,8.78E-01,,
162,7.90E-01,1.35E+01,,
163,2.58E+01,4.11E-01,,
164,2.26E+00,4.67E+00,,
165,3.30E+00,3.18E+00,,
166,8.77E+00,1.19E+00,,
167,1.18E+00,8.80E+00,,
168,1.19E+01,8.70E-01,,
169,7.78E-01,1.33E+01,,
170,6.36E-01,1.61E+01,,
171,6.90E+00,1.47E+00,,
172,7.90E-01,1.28E+01,,
173,8.68E+00,1.16E+00,,
174,5.16E-01,1.92E+01,,
175,2.72E+00,3.61E+00,,
176,8.68E+00,1.12E+00,,
177,1.68E+01,5.80E-01,,
178,1.83E+00,5.20E+00,,
179,1.79E+00,5.29E+00,,
180,7.86E+00,1.19E+00,,
181,6.35E+00,1.47E+00,,
182,3.53E+00,2.64E+00,,
183,4.65E-01,1.92E+01,,
184,3.53E+00,2.51E+00,,
185,1.03E+00,8.56E+00,,
186,4.56E-01,1.92E+01,,
187,1.43E+01,6.06E-01,,
188,3.45E+00,2.50E+00,,
189,6.14E-01,1.39E+01,,
190,9.47E+00,8.99E-01,,
191,1.76E+00,4.84E+00,,
192,5.86E-01,1.39E+01,,
193,3.24E+00,2.50E+00,,
194,2.52E+01,3.16E-01,,
195,9.47E+00,8.28E-01,,
196,4.06E-01,1.92E+01,,
197,1.34E+01,5.80E-01,,
198,9.47E+00,8.16E-01,,
199,9.95E+00,7.74E-01,,
200,7.78E-01,9.78E+00,,
