reference,height,width,stripwidth,,,,,,
1,4.20E+01,4.35E+01,100,,,,,,
2,8.48E+01,1.54E+01,,,,,,,
3,2.42E+01,4.35E+01,,,,,,,
4,4.85E+01,1.57E+01,,,,,,,
5,1.00E+02,6.70E+00,,,,,,,
6,1.54E+01,2.59E+01,,,,,,,
7,1.94E+01,1.99E+01,,,,,,,
8,6.57E+00,4.35E+01,,,,,,,
9,1.29E+01,2.17E+01,,,,,,,
10,1.52E+01,1.72E+01,,,,,,,
11,4.85E+01,5.14E+00,,,,,,,
12,1.12E+01,2.13E+01,,,,,,,
13,4.85E+01,4.20E+00,,,,,,,
14,9.23E+00,2.17E+01,,,,,,,
15,4.95E+01,2.41E+00,,,,,,,
16,9.45E+00,1.19E+01,,,,,,,
17,2.52E+01,4.28E+00,,,,,,,
18,1.57E+01,6.70E+00,,,,,,,
19,2.52E+01,3.89E+00,,,,,,,
20,6.98E+01,1.29E+00,,,,,,,
21,3.14E+00,2.59E+01,,,,,,,
22,9.79E+00,7.94E+00,,,,,,,
23,9.63E+00,7.94E+00,,,,,,,
24,2.86E+01,2.41E+00,,,,,,,
25,5.95E+01,1.10E+00,,,,,,,
26,6.04E+01,9.40E-01,,,,,,,
27,1.57E+01,3.51E+00,,,,,,,
28,1.24E+00,4.35E+01,,,,,,,
29,2.19E+01,2.41E+00,,,,,,,
30,2.52E+01,1.82E+00,,,,,,,
31,2.11E+00,2.17E+01,,,,,,,
32,3.36E+01,1.27E+00,,,,,,,
33,2.57E+01,1.54E+00,,,,,,,
34,4.52E+01,8.67E-01,,,,,,,
35,3.02E+01,1.29E+00,,,,,,,
36,2.29E+00,1.58E+01,,,,,,,
37,2.28E+01,1.54E+00,,,,,,,
38,7.94E-01,4.35E+01,,,,,,,
39,3.96E+01,8.67E-01,,,,,,,
40,2.98E+01,1.13E+00,,,,,,,
41,6.82E+00,4.63E+00,,,,,,,
42,2.29E+00,1.20E+01,,,,,,,
43,1.57E+01,1.64E+00,,,,,,,
44,4.05E+01,6.12E-01,,,,,,,
45,2.98E+01,8.02E-01,,,,,,,
46,2.44E+01,9.40E-01,,,,,,,
47,4.40E+00,4.63E+00,,,,,,,
48,9.35E-01,2.17E+01,,,,,,,
49,4.05E+01,4.84E-01,,,,,,,
50,1.49E+01,1.27E+00,,,,,,,
,,,,,,,,,
,,,,,,,,,
