reference,height,width,stripwidth,
1,9.49E+01,2.00E+01,100,
2,9.49E+01,1.47E+01,,
3,9.49E+01,1.07E+01,,
4,9.49E+01,9.24E+00,,
5,4.99E+01,1.66E+01,,
6,4.50E+01,1.66E+01,,
7,4.15E+01,9.22E+00,,
8,9.49E+01,4.00E+00,,
9,9.49E+01,3.07E+00,,
10,3.62E+01,4.31E+00,,
11,5.84E+01,2.45E+00,,
12,1.66E+00,7.84E+01,,
13,6.88E+01,1.56E+00,,
14,5.84E+01,1.81E+00,,
15,7.36E+00,1.43E+01,,
16,2.34E+01,4.31E+00,,
17,2.58E+00,3.61E+01,,
18,8.75E-01,7.84E+01,,
19,1.40E+01,4.73E+00,,
20,2.82E+00,2.16E+01,,
21,2.58E+00,2.21E+01,,
22,7.36E+00,7.29E+00,,
23,2.58E+00,2.02E+01,,
24,5.84E+01,8.78E-01,,
25,3.56E+01,1.35E+00,,
26,3.32E+01,1.35E+00,,
27,4.93E+00,8.83E+00,,
28,9.20E+00,4.71E+00,,
29,1.84E+00,2.16E+01,,
30,5.95E+00,6.57E+00,,
31,4.27E+00,8.83E+00,,
32,1.63E+00,2.16E+01,,
33,5.03E+00,6.96E+00,,
34,4.88E+00,6.96E+00,,
35,7.39E+00,4.53E+00,,
36,2.25E+00,1.35E+01,,
37,1.38E+00,2.16E+01,,
38,9.56E+00,2.90E+00,,
39,3.36E+00,8.04E+00,,
40,1.05E+01,2.58E+00,,
41,1.05E+01,2.56E+00,,
42,2.38E+00,1.12E+01,,
43,4.18E+00,6.32E+00,,
44,3.95E+00,6.57E+00,,
45,7.39E+00,3.51E+00,,
46,8.60E+00,2.90E+00,,
47,2.38E+00,1.04E+01,,
48,3.02E+00,8.04E+00,,
49,1.40E+01,1.59E+00,,
50,1.61E+00,1.35E+01,,
