Rererence,Height,Width,StripWidth,
1,1.19E+01,3.69E+01,100,
2,1.69E+01,1.81E+01,,
3,8.72E+00,3.36E+01,,
4,1.32E+01,1.59E+01,,
5,6.41E+00,3.11E+01,,
6,1.87E+01,1.06E+01,,
7,7.10E+00,2.70E+01,,
8,1.88E+01,1.00E+01,,
9,1.14E+01,1.49E+01,,
10,4.32E+01,3.53E+00,,
11,1.02E+01,1.27E+01,,
12,8.72E+00,1.43E+01,,
13,1.70E+01,7.34E+00,,
14,4.25E+00,2.92E+01,,
15,7.25E+00,1.68E+01,,
16,4.06E+00,2.75E+01,,
17,7.28E+00,1.50E+01,,
18,7.27E+00,1.43E+01,,
19,9.75E+00,9.59E+00,,
20,2.64E+00,3.48E+01,,
21,1.70E+01,5.18E+00,,
22,1.36E+01,6.50E+00,,
23,4.53E+00,1.88E+01,,
24,1.24E+01,6.80E+00,,
25,1.23E+01,6.80E+00,,
26,5.79E+00,1.44E+01,,
27,2.37E+00,3.48E+01,,
28,4.53E+00,1.81E+01,,
29,9.77E-01,8.11E+01,,
30,2.01E+00,3.84E+01,,
31,2.50E+01,2.92E+00,,
32,1.51E+01,4.77E+00,,
33,1.29E+01,5.50E+00,,
34,1.70E+01,3.80E+00,,
35,7.74E+00,8.08E+00,,
36,4.32E+01,1.44E+00,,
37,5.89E+00,1.04E+01,,
38,8.79E+00,6.63E+00,,
39,2.74E+00,2.03E+01,,
40,4.99E+00,1.11E+01,,
41,1.88E+00,2.78E+01,,
42,7.40E+00,6.80E+00,,
43,1.46E+00,3.35E+01,,
44,1.36E+01,3.59E+00,,
45,3.06E+00,1.58E+01,,
46,2.31E+00,2.09E+01,,
47,1.73E+00,2.78E+01,,
48,4.45E+00,1.07E+01,,
49,2.60E+00,1.79E+01,,
50,9.75E+00,4.67E+00,,
51,7.66E+00,5.50E+00,,
52,1.09E+01,3.81E+00,,
53,6.77E+00,5.81E+00,,
54,2.74E+00,1.43E+01,,
55,1.11E+00,3.49E+01,,
56,1.10E+00,3.48E+01,,
57,1.70E+01,2.24E+00,,
58,5.45E+00,6.80E+00,,
59,2.74E+00,1.33E+01,,
60,9.00E-01,3.92E+01,,
61,1.06E+01,3.24E+00,,
62,1.16E+01,2.92E+00,,
