Rererence,Height,Width,StripWidth,
1,7.18E+01,6.05E+00,100,
2,1.44E+01,2.41E+01,,
3,1.61E+01,1.65E+01,,
4,2.52E+01,1.03E+01,,
5,7.18E+01,2.99E+00,,
6,4.53E+01,4.33E+00,,
7,6.65E+01,2.63E+00,,
8,9.05E+01,1.89E+00,,
9,8.14E+01,1.95E+00,,
10,2.52E+01,6.05E+00,,
11,3.85E+01,3.78E+00,,
12,3.86E+01,3.57E+00,,
13,6.33E+01,2.12E+00,,
14,8.76E+01,1.48E+00,,
15,7.66E+01,1.59E+00,,
16,2.35E+01,4.99E+00,,
17,1.41E+01,7.50E+00,,
18,4.95E+00,2.14E+01,,
19,7.44E+00,1.23E+01,,
20,5.64E+00,1.57E+01,,
21,1.90E+01,4.51E+00,,
22,7.07E+01,1.16E+00,,
23,7.58E+01,1.01E+00,,
24,2.39E+01,3.15E+00,,
25,7.18E+01,1.04E+00,,
26,7.58E+01,9.87E-01,,
27,5.78E+00,1.27E+01,,
28,2.52E+01,2.86E+00,,
29,9.42E+00,7.13E+00,,
30,2.34E+00,2.43E+01,,
31,2.42E+00,2.14E+01,,
32,1.41E+01,3.61E+00,,
33,3.43E+01,1.47E+00,,
34,5.27E+00,9.45E+00,,
35,4.89E+00,1.01E+01,,
36,2.19E+00,2.14E+01,,
37,3.96E+01,1.15E+00,,
38,3.69E+01,1.15E+00,,
39,6.67E+00,6.30E+00,,
40,1.49E+01,2.63E+00,,
41,4.70E+00,8.26E+00,,
42,1.81E+00,2.14E+01,,
43,2.23E+00,1.68E+01,,
44,3.97E+00,9.35E+00,,
45,1.04E+01,3.51E+00,,
46,3.86E+01,9.42E-01,,
47,9.38E+00,3.85E+00,,
48,1.22E+01,2.94E+00,,
49,2.52E+01,1.39E+00,,
50,3.40E+00,9.81E+00,,
51,1.29E+00,2.56E+01,,
52,3.33E+00,9.45E+00,,
53,6.87E+00,4.51E+00,,
54,5.06E+01,6.11E-01,,
55,3.14E+00,9.81E+00,,
56,1.41E+01,2.18E+00,,
57,2.52E+01,1.22E+00,,
58,2.91E+00,1.04E+01,,
59,2.14E+00,1.40E+01,,
60,4.53E+01,6.56E-01,,
61,5.61E+00,5.26E+00,,
62,1.35E+00,2.14E+01,,
63,4.71E+00,6.01E+00,,
64,1.33E+01,2.12E+00,,
65,5.06E+01,5.46E-01,,
66,1.94E+00,1.40E+01,,
67,3.13E+00,8.59E+00,,
68,1.49E+00,1.78E+01,,
69,5.66E+00,4.64E+00,,
70,1.90E+00,1.35E+01,,
71,4.43E+00,5.45E+00,,
72,2.08E+01,1.16E+00,,
73,1.00E+00,2.41E+01,,
74,5.78E+00,4.10E+00,,
75,1.18E+01,2.00E+00,,
76,4.86E+00,4.74E+00,,
77,1.46E+00,1.57E+01,,
78,1.98E+01,1.16E+00,,
79,1.35E+00,1.68E+01,,
80,3.19E+01,6.91E-01,,
81,1.69E+01,1.30E+00,,
82,1.22E+01,1.78E+00,,
83,1.68E+01,1.30E+00,,
84,8.72E-01,2.41E+01,,
85,1.93E+01,1.06E+00,,
86,4.30E+00,4.47E+00,,
87,1.61E+01,1.17E+00,,
88,4.16E+00,4.51E+00,,
89,2.52E+01,7.12E-01,,
90,1.01E+01,1.78E+00,,
91,7.24E-01,2.41E+01,,
92,7.82E+00,2.22E+00,,
93,2.51E+00,6.88E+00,,
94,6.07E+00,2.80E+00,,
95,2.30E+01,7.32E-01,,
96,7.40E+00,2.23E+00,,
97,3.89E+00,4.14E+00,,
98,1.66E+00,9.66E+00,,
99,3.55E+01,4.53E-01,,
100,1.70E+00,9.45E+00,,
101,1.14E+00,1.40E+01,,
102,5.66E+00,2.82E+00,,
103,1.68E+00,9.45E+00,,
104,2.84E+01,5.39E-01,,
105,1.20E+01,1.27E+00,,
106,2.39E+01,6.30E-01,,
107,1.66E+01,9.07E-01,,
108,9.38E+00,1.60E+00,,
109,9.94E+00,1.51E+00,,
110,4.71E+00,3.15E+00,,
111,3.13E+00,4.70E+00,,
112,4.32E+00,3.40E+00,,
113,2.05E+01,7.06E-01,,
114,1.85E+00,7.76E+00,,
115,4.08E+00,3.51E+00,,
116,6.15E+00,2.31E+00,,
117,3.48E+01,4.08E-01,,
118,1.16E+01,1.22E+00,,
119,1.36E+00,1.04E+01,,
120,1.55E+00,9.10E+00,,
121,4.71E+00,2.97E+00,,
122,4.90E+00,2.83E+00,,
123,4.45E+00,3.11E+00,,
124,1.67E+00,8.28E+00,,
125,1.13E+00,1.21E+01,,
126,5.69E-01,2.41E+01,,
127,2.93E+00,4.64E+00,,
128,1.96E+01,6.91E-01,,
129,2.85E+00,4.75E+00,,
130,8.27E+00,1.63E+00,,
131,5.61E-01,2.41E+01,,
132,8.62E-01,1.56E+01,,
133,2.95E+00,4.56E+00,,
134,1.64E+00,8.22E+00,,
135,1.20E+01,1.11E+00,,
136,6.74E-01,1.97E+01,,
137,1.27E+01,1.04E+00,,
138,4.03E+00,3.27E+00,,
139,1.04E+00,1.26E+01,,
140,2.40E+01,5.46E-01,,
141,1.71E+00,7.56E+00,,
142,1.96E+01,6.59E-01,,
143,2.91E+00,4.44E+00,,
144,3.95E+00,3.25E+00,,
145,5.99E-01,2.14E+01,,
146,5.96E-01,2.14E+01,,
147,7.11E+00,1.79E+00,,
148,1.79E+01,7.12E-01,,
149,2.70E+01,4.69E-01,,
150,2.52E+01,5.03E-01,,
151,1.44E+00,8.80E+00,,
152,3.62E+00,3.49E+00,,
153,2.90E+00,4.35E+00,,
154,1.78E+01,7.06E-01,,
155,5.58E+00,2.24E+00,,
156,1.67E+00,7.47E+00,,
157,1.41E+01,8.88E-01,,
158,3.48E+01,3.57E-01,,
159,6.67E+00,1.86E+00,,
160,3.34E+00,3.71E+00,,
161,1.93E+00,6.39E+00,,
162,4.42E+00,2.79E+00,,
163,3.34E+00,3.69E+00,,
164,1.20E+01,1.02E+00,,
165,1.68E+00,7.30E+00,,
166,1.61E+01,7.59E-01,,
