Reference,Height,Width,StripHeight,,,,,,,
1,4.20E+01,4.35E+01,100,,,,,,,
2,3.28E+01,4.35E+01,,,,,,,,
3,8.48E+01,1.54E+01,,,,,,,,
4,4.85E+01,2.08E+01,,,,,,,,
5,1.00E+02,6.70E+00,,,,,,,,
6,1.94E+01,2.78E+01,,,,,,,,
7,1.86E+01,2.59E+01,,,,,,,,
8,4.85E+01,7.01E+00,,,,,,,,
9,1.12E+01,2.59E+01,,,,,,,,
10,1.29E+01,2.17E+01,,,,,,,,
11,1.52E+01,1.72E+01,,,,,,,,
12,2.52E+01,9.98E+00,,,,,,,,
13,1.02E+01,2.17E+01,,,,,,,,
14,7.14E+01,2.41E+00,,,,,,,,
15,8.48E+01,1.81E+00,,,,,,,,
16,1.00E+02,1.29E+00,,,,,,,,
17,9.45E+00,1.19E+01,,,,,,,,
18,1.57E+01,6.70E+00,,,,,,,,
19,1.57E+01,5.16E+00,,,,,,,,
20,2.86E+01,2.41E+00,,,,,,,,
21,5.95E+01,1.10E+00,,,,,,,,
22,2.29E+00,2.78E+01,,,,,,,,
23,2.98E+01,1.93E+00,,,,,,,,
24,2.11E+00,2.17E+01,,,,,,,,
25,4.05E+01,1.10E+00,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
