Reference,Height,Width,Stripwidth,
1,1.00E+02,1.26E+01,100,
2,5.48E+01,1.50E+01,,
3,7.72E+01,1.05E+01,,
4,5.14E+01,1.00E+01,,
5,3.14E+01,1.50E+01,,
6,1.00E+02,3.65E+00,,
7,4.98E+01,7.20E+00,,
8,3.99E+01,8.94E+00,,
9,1.88E+01,1.77E+01,,
10,3.14E+01,9.11E+00,,
11,5.14E+01,5.38E+00,,
12,3.99E+01,6.87E+00,,
13,3.14E+01,8.59E+00,,
14,4.61E+01,5.47E+00,,
15,2.28E+01,1.05E+01,,
16,1.00E+02,2.39E+00,,
17,9.01E+01,2.10E+00,,
18,4.67E+01,3.75E+00,,
19,6.81E+00,2.01E+01,,
20,3.83E+01,3.40E+00,,
21,1.05E+01,1.23E+01,,
22,3.99E+01,3.11E+00,,
23,4.61E+01,2.40E+00,,
24,7.34E+01,1.42E+00,,
25,4.80E+01,1.83E+00,,
26,2.75E+01,2.64E+00,,
27,6.66E+01,1.08E+00,,
28,2.49E+01,2.42E+00,,
29,3.43E+01,1.60E+00,,
30,3.23E+00,1.50E+01,,
31,3.99E+01,1.14E+00,,
32,8.66E+00,4.93E+00,,
33,2.66E+01,1.42E+00,,
34,5.50E+00,6.59E+00,,
35,1.37E+01,2.64E+00,,
36,1.84E+01,1.96E+00,,
37,1.06E+01,3.37E+00,,
38,2.90E+01,1.08E+00,,
39,2.96E+01,1.06E+00,,
40,2.49E+01,1.24E+00,,
41,3.27E+01,9.30E-01,,
42,3.69E+00,7.86E+00,,
43,1.21E+01,2.35E+00,,
44,1.97E+00,1.32E+01,,
45,8.94E+00,2.85E+00,,
46,4.64E+00,4.93E+00,,
47,8.60E+00,2.64E+00,,
48,1.33E+01,1.65E+00,,
49,1.15E+01,1.83E+00,,
50,9.88E+00,2.10E+00,,
51,3.20E+01,6.18E-01,,
52,1.80E+01,1.08E+00,,
53,1.53E+01,1.26E+00,,
54,1.84E+01,1.03E+00,,
55,1.89E+01,1.00E+00,,
56,1.84E+01,1.01E+00,,
57,2.90E+01,6.31E-01,,
58,7.81E+00,2.27E+00,,
59,4.67E+00,3.75E+00,,
60,1.02E+01,1.71E+00,,
61,1.87E+01,9.30E-01,,
62,1.40E+01,1.21E+00,,
63,1.54E+01,1.08E+00,,
64,1.53E+01,1.09E+00,,
65,4.41E+00,3.74E+00,,
66,1.84E+01,8.93E-01,,
67,9.62E+00,1.68E+00,,
68,9.23E+00,1.71E+00,,
69,9.19E+00,1.71E+00,,
70,1.70E+01,9.21E-01,,
71,1.70E+01,9.06E-01,,
72,4.47E+00,3.34E+00,,
73,1.02E+01,1.46E+00,,
74,6.55E+00,2.27E+00,,
75,8.08E+00,1.83E+00,,
76,8.73E+00,1.68E+00,,
77,2.49E+01,5.89E-01,,
78,1.54E+01,9.49E-01,,
79,4.47E+00,3.25E+00,,
80,5.36E+00,2.70E+00,,
81,8.45E+00,1.71E+00,,
82,2.49E+01,5.68E-01,,
83,1.02E+01,1.39E+00,,
84,1.11E+01,1.27E+00,,
85,1.11E+01,1.27E+00,,
86,3.20E+01,4.37E-01,,
87,5.17E+00,2.70E+00,,
88,2.49E+01,5.58E-01,,
89,1.44E+01,9.49E-01,,
90,1.97E+00,6.91E+00,,
91,1.89E+01,7.14E-01,,
92,3.61E+00,3.74E+00,,
93,1.54E+01,8.77E-01,,
94,1.11E+01,1.20E+00,,
95,1.09E+01,1.21E+00,,
96,1.50E+01,8.65E-01,,
97,3.43E+01,3.73E-01,,
98,3.43E+01,3.72E-01,,
99,3.76E+00,3.37E+00,,
100,1.50E+01,8.44E-01,,
