Reference,Height,Width,Stripwidth,
1,4.61E+01,4.08E+01,100,
2,3.01E+01,4.08E+01,,
3,3.34E+01,3.37E+01,,
4,1.10E+01,3.37E+01,,
5,2.71E+01,9.73E+00,,
6,1.04E+01,2.21E+01,,
7,5.83E+01,3.65E+00,,
8,6.24E+00,3.37E+01,,
9,5.02E+00,3.04E+01,,
10,2.92E+01,5.06E+00,,
11,1.55E+01,8.13E+00,,
12,3.76E+01,3.01E+00,,
13,2.74E+00,3.37E+01,,
14,4.53E+00,1.95E+01,,
15,1.28E+01,6.30E+00,,
16,4.85E+01,1.66E+00,,
17,3.75E+00,2.09E+01,,
18,1.06E+01,6.97E+00,,
19,1.13E+01,5.69E+00,,
20,4.47E+00,1.38E+01,,
21,5.21E+00,1.19E+01,,
22,6.35E+00,9.62E+00,,
23,5.12E+00,1.18E+01,,
24,5.76E+00,1.04E+01,,
25,2.80E+01,2.13E+00,,
26,2.80E+01,2.12E+00,,
27,9.45E+00,6.07E+00,,
28,5.83E+00,9.73E+00,,
29,1.88E+01,3.01E+00,,
30,6.47E+00,8.70E+00,,
31,1.21E+01,4.61E+00,,
32,5.87E+00,9.42E+00,,
33,1.85E+01,2.90E+00,,
34,2.38E+00,2.21E+01,,
35,8.29E+00,6.26E+00,,
36,1.13E+01,4.50E+00,,
37,2.80E+01,1.82E+00,,
38,3.10E+00,1.63E+01,,
39,3.66E+01,1.37E+00,,
40,1.68E+01,2.97E+00,,
41,4.37E+00,1.11E+01,,
42,9.68E+00,4.90E+00,,
43,7.71E+00,6.07E+00,,
44,2.58E+00,1.78E+01,,
45,4.61E+00,9.85E+00,,
46,7.22E+00,6.20E+00,,
47,2.12E+00,2.09E+01,,
48,7.48E-01,5.92E+01,,
49,1.30E+00,3.37E+01,,
50,1.13E+01,3.77E+00,,
51,1.21E+01,3.52E+00,,
52,1.30E+01,3.26E+00,,
53,1.57E+00,2.70E+01,,
54,2.17E+00,1.95E+01,,
55,4.84E+00,8.70E+00,,
56,4.35E+00,9.62E+00,,
57,3.00E+00,1.38E+01,,
58,7.42E+00,5.54E+00,,
59,4.14E+00,9.85E+00,,
60,1.13E+01,3.55E+00,,
61,7.22E+00,5.53E+00,,
62,2.00E+00,1.95E+01,,
63,2.00E+00,1.95E+01,,
64,7.01E+00,5.54E+00,,
65,1.13E+01,3.42E+00,,
66,2.81E+00,1.38E+01,,
67,6.14E+00,6.26E+00,,
68,1.02E+01,3.65E+00,,
69,2.81E+00,1.32E+01,,
70,6.92E+00,5.28E+00,,
71,6.17E-01,5.92E+01,,
72,1.06E+01,3.43E+00,,
73,1.21E+01,3.01E+00,,
74,2.01E+00,1.79E+01,,
75,3.66E+00,9.73E+00,,
76,1.05E+00,3.37E+01,,
77,9.68E+00,3.59E+00,,
78,1.23E+01,2.81E+00,,
79,1.07E+01,3.20E+00,,
80,1.04E+01,3.26E+00,,
81,1.10E+00,3.04E+01,,
82,6.59E+00,5.05E+00,,
83,2.00E+01,1.66E+00,,
84,3.10E+00,1.06E+01,,
85,2.58E+00,1.26E+01,,
86,1.08E+01,2.97E+00,,
87,9.68E+00,3.31E+00,,
88,6.59E+00,4.80E+00,,
89,1.07E+01,2.95E+00,,
90,3.19E+00,9.85E+00,,
91,5.21E+00,6.03E+00,,
92,5.90E+00,5.28E+00,,
93,1.07E+01,2.90E+00,,
94,1.11E+01,2.81E+00,,
95,1.81E+00,1.56E+01,,
96,1.81E+00,1.47E+01,,
97,8.54E-01,3.13E+01,,
98,1.07E+01,2.25E+00,,
99,8.54E-01,2.80E+01,,
100,1.07E+01,1.99E+00,,
