Reference,Height,Width,StripHeight,,,,,,
1,8.22E+01,4.16E+01,100,,,,,,
2,9.70E+01,2.78E+01,,,,,,,
3,4.88E+01,1.19E+01,,,,,,,
4,1.10E+01,5.24E+01,,,,,,,
5,6.83E+00,6.31E+01,,,,,,,
6,8.22E+01,4.89E+00,,,,,,,
7,4.18E+01,9.05E+00,,,,,,,
8,2.52E+01,1.19E+01,,,,,,,
9,1.10E+01,1.07E+01,,,,,,,
10,2.97E+00,3.69E+01,,,,,,,
11,8.12E+00,1.19E+01,,,,,,,
12,2.76E+01,3.46E+00,,,,,,,
13,6.68E+01,1.25E+00,,,,,,,
14,3.93E+01,2.08E+00,,,,,,,
15,1.09E+01,7.37E+00,,,,,,,
16,1.43E+01,5.37E+00,,,,,,,
17,1.54E+01,4.71E+00,,,,,,,
18,1.43E+01,4.61E+00,,,,,,,
19,3.93E+01,1.38E+00,,,,,,,
20,3.17E+01,1.68E+00,,,,,,,
21,9.20E+00,5.37E+00,,,,,,,
22,6.55E+00,7.37E+00,,,,,,,
23,1.25E+01,3.68E+00,,,,,,,
24,1.10E+01,3.68E+00,,,,,,,
25,1.43E+01,2.76E+00,,,,,,,
,,,,,,,,,
,,,,,,,,,
