Rererence,Height,Width,StripWidth,
1,7.15E+01,6.37E+00,100,
2,7.15E+01,5.31E+00,,
3,6.10E+01,5.58E+00,,
4,1.81E+01,1.28E+01,,
5,4.79E+01,4.15E+00,,
6,8.71E+01,2.00E+00,,
7,2.08E+01,8.07E+00,,
8,3.92E+01,4.15E+00,,
9,1.09E+01,1.25E+01,,
10,1.03E+01,1.17E+01,,
11,2.54E+01,4.66E+00,,
12,8.71E+01,1.34E+00,,
13,7.73E+01,1.50E+00,,
14,2.28E+01,4.59E+00,,
15,8.71E+01,1.16E+00,,
16,1.39E+01,6.80E+00,,
17,6.65E+01,1.27E+00,,
18,1.22E+01,6.80E+00,,
19,3.85E+01,2.08E+00,,
20,2.63E+01,2.92E+00,,
21,7.58E+00,9.99E+00,,
22,6.10E+01,1.23E+00,,
23,2.11E+01,3.26E+00,,
24,1.23E+01,5.41E+00,,
25,3.45E+01,1.79E+00,,
26,9.96E+00,6.20E+00,,
27,4.70E+00,1.25E+01,,
28,4.80E+01,1.22E+00,,
29,6.57E+00,8.07E+00,,
30,6.38E+00,8.06E+00,,
31,7.21E+00,6.40E+00,,
32,1.14E+01,4.05E+00,,
33,1.56E+01,2.92E+00,,
34,9.96E+00,4.24E+00,,
35,1.01E+01,4.12E+00,,
36,1.50E+01,2.74E+00,,
37,1.75E+01,2.34E+00,,
38,1.75E+01,2.32E+00,,
39,1.88E+01,2.11E+00,,
40,1.06E+01,3.56E+00,,
41,5.90E+01,6.37E-01,,
42,6.98E+00,5.29E+00,,
43,3.70E+00,9.94E+00,,
44,1.21E+01,2.92E+00,,
45,1.19E+01,2.96E+00,,
46,7.30E+00,4.62E+00,,
47,1.88E+01,1.78E+00,,
48,1.43E+01,2.26E+00,,
49,3.85E+01,8.24E-01,,
50,1.53E+01,1.84E+00,,
51,1.14E+01,2.48E+00,,
52,1.72E+01,1.63E+00,,
53,2.72E+01,1.02E+00,,
54,2.03E+01,1.37E+00,,
55,5.05E+00,5.41E+00,,
56,7.49E+00,3.57E+00,,
57,4.80E+00,5.41E+00,,
58,2.62E+00,9.73E+00,,
59,7.21E+00,3.53E+00,,
60,4.72E+00,5.39E+00,,
61,3.07E+00,8.26E+00,,
62,1.21E+01,2.08E+00,,
63,1.76E+00,1.44E+01,,
64,4.71E+00,5.29E+00,,
65,4.66E+00,5.33E+00,,
66,3.45E+01,7.06E-01,,
67,2.09E+00,1.17E+01,,
68,1.13E+01,2.12E+00,,
69,2.50E+01,9.15E-01,,
70,1.52E+01,1.49E+00,,
71,1.56E+01,1.45E+00,,
72,1.88E+01,1.19E+00,,
73,2.95E+00,7.49E+00,,
74,3.85E+00,5.73E+00,,
75,4.69E+00,4.59E+00,,
76,1.88E+01,1.14E+00,,
77,1.49E+01,1.42E+00,,
78,8.06E+00,2.58E+00,,
79,2.53E+01,8.10E-01,,
80,1.54E+01,1.33E+00,,
81,5.82E+00,3.50E+00,,
82,7.85E+00,2.58E+00,,
83,1.59E+00,1.25E+01,,
84,4.86E+00,4.09E+00,,
85,3.57E+00,5.56E+00,,
86,3.82E+01,5.05E-01,,
87,1.58E+01,1.22E+00,,
88,9.77E+00,1.97E+00,,
89,7.75E+00,2.48E+00,,
90,1.31E+01,1.46E+00,,
91,2.62E+00,7.22E+00,,
92,2.03E+00,9.33E+00,,
93,2.28E+00,8.26E+00,,
94,2.60E+00,7.18E+00,,
95,2.51E+01,7.40E-01,,
96,8.56E-01,2.17E+01,,
97,3.89E+00,4.76E+00,,
98,2.58E+00,7.18E+00,,
99,1.84E+00,9.99E+00,,
100,6.14E+00,2.98E+00,,
101,6.60E+00,2.74E+00,,
102,1.27E+01,1.42E+00,,
103,1.91E+01,9.48E-01,,
104,1.85E+00,9.67E+00,,
105,2.50E+01,7.14E-01,,
106,5.09E+00,3.50E+00,,
107,7.18E+00,2.48E+00,,
108,8.65E+00,2.05E+00,,
109,1.09E+01,1.62E+00,,
110,2.99E+01,5.92E-01,,
111,2.36E+01,7.45E-01,,
112,6.72E+00,2.62E+00,,
