Reference,Height,Width,StripWidth,,,,,,
1,1.93E+01,5.31E+01,100,,,,,,
2,1.71E+01,5.31E+01,,,,,,,
3,1.76E+01,5.06E+01,,,,,,,
4,1.22E+01,3.34E+01,,,,,,,
5,6.96E+00,5.06E+01,,,,,,,
6,2.48E+01,1.33E+01,,,,,,,
7,3.72E+01,6.89E+00,,,,,,,
8,1.22E+01,1.97E+01,,,,,,,
9,4.27E+00,5.31E+01,,,,,,,
10,3.75E+00,5.06E+01,,,,,,,
11,9.20E+00,1.62E+01,,,,,,,
12,2.04E+01,3.89E+00,,,,,,,
13,1.64E+01,4.14E+00,,,,,,,
14,6.46E+00,1.02E+01,,,,,,,
15,4.05E+00,1.62E+01,,,,,,,
16,1.51E+01,3.96E+00,,,,,,,
17,1.49E+01,3.88E+00,,,,,,,
18,5.38E+00,1.02E+01,,,,,,,
19,8.88E+00,6.10E+00,,,,,,,
20,1.52E+01,3.50E+00,,,,,,,
21,1.16E+00,4.40E+01,,,,,,,
22,9.74E+00,5.17E+00,,,,,,,
23,9.95E+00,4.93E+00,,,,,,,
24,1.40E+00,3.45E+01,,,,,,,
25,1.07E+00,4.40E+01,,,,,,,
26,1.39E+00,3.35E+01,,,,,,,
27,6.81E+00,6.75E+00,,,,,,,
28,1.65E+01,2.74E+00,,,,,,,
29,1.48E+00,2.96E+01,,,,,,,
30,1.30E+00,3.35E+01,,,,,,,
31,2.84E+01,1.54E+00,,,,,,,
32,5.85E+00,7.38E+00,,,,,,,
33,1.61E+01,2.64E+00,,,,,,,
34,2.84E+01,1.49E+00,,,,,,,
35,2.84E+01,1.48E+00,,,,,,,
36,4.94E+00,8.04E+00,,,,,,,
37,1.50E+00,2.65E+01,,,,,,,
38,1.14E+00,3.45E+01,,,,,,,
39,1.71E+00,2.28E+01,,,,,,,
40,4.80E+00,8.04E+00,,,,,,,
41,2.84E+01,1.36E+00,,,,,,,
42,2.88E+00,1.33E+01,,,,,,,
43,1.01E+01,3.76E+00,,,,,,,
44,4.33E+00,8.59E+00,,,,,,,
45,5.04E+00,7.38E+00,,,,,,,
46,1.27E+01,2.92E+00,,,,,,,
47,7.44E+00,4.93E+00,,,,,,,
48,1.51E+01,2.42E+00,,,,,,,
49,2.84E+01,1.28E+00,,,,,,,
50,5.23E+00,6.89E+00,,,,,,,
51,2.84E+01,1.27E+00,,,,,,,
52,1.51E+01,2.38E+00,,,,,,,
53,2.98E+00,1.21E+01,,,,,,,
54,1.27E+01,2.82E+00,,,,,,,
55,1.54E+01,2.32E+00,,,,,,,
56,7.50E+00,4.78E+00,,,,,,,
57,2.84E+01,1.26E+00,,,,,,,
58,7.54E+00,4.68E+00,,,,,,,
59,9.05E+00,3.88E+00,,,,,,,
60,2.05E+00,1.71E+01,,,,,,,
61,7.54E+00,4.64E+00,,,,,,,
62,2.60E+00,1.33E+01,,,,,,,
63,7.82E-01,4.40E+01,,,,,,,
64,1.30E+01,2.64E+00,,,,,,,
65,9.95E-01,3.45E+01,,,,,,,
66,1.27E+01,2.68E+00,,,,,,,
67,3.15E+00,1.08E+01,,,,,,,
68,3.13E+00,1.08E+01,,,,,,,
69,9.74E+00,3.43E+00,,,,,,,
70,4.31E+01,7.64E-01,,,,,,,
71,2.05E+01,1.59E+00,,,,,,,
72,4.32E+00,7.47E+00,,,,,,,
73,2.13E+00,1.51E+01,,,,,,,
74,6.34E-01,5.06E+01,,,,,,,
75,7.54E+00,4.25E+00,,,,,,,
76,1.60E+00,1.99E+01,,,,,,,
77,1.51E+01,2.08E+00,,,,,,,
78,4.19E+00,7.38E+00,,,,,,,
79,2.94E+00,1.05E+01,,,,,,,
80,1.02E+01,3.00E+00,,,,,,,
81,2.76E+00,1.10E+01,,,,,,,
82,2.86E+00,1.05E+01,,,,,,,
83,3.28E+00,8.93E+00,,,,,,,
84,8.37E-01,3.45E+01,,,,,,,
85,3.34E+00,8.59E+00,,,,,,,
86,2.80E+00,1.02E+01,,,,,,,
87,1.49E+01,1.91E+00,,,,,,,
88,8.27E-01,3.45E+01,,,,,,,
89,2.98E+00,9.20E+00,,,,,,,
90,8.42E+00,3.21E+00,,,,,,,
91,1.41E+01,1.91E+00,,,,,,,
92,6.08E-01,4.40E+01,,,,,,,
93,2.84E+01,9.09E-01,,,,,,,
94,7.37E-01,3.47E+01,,,,,,,
95,1.08E+01,2.37E+00,,,,,,,
96,5.06E+00,4.94E+00,,,,,,,
97,6.39E+00,3.89E+00,,,,,,,
98,1.61E+00,1.52E+01,,,,,,,
99,1.55E+01,1.55E+00,,,,,,,
100,1.51E+01,1.58E+00,,,,,,,
101,1.41E+01,1.65E+00,,,,,,,
102,1.34E+00,1.74E+01,,,,,,,
103,1.60E+00,1.45E+01,,,,,,,
104,2.94E+00,7.89E+00,,,,,,,
105,2.76E+01,8.41E-01,,,,,,,
106,7.54E+00,3.07E+00,,,,,,,
107,2.98E+00,7.66E+00,,,,,,,
108,6.60E-01,3.45E+01,,,,,,,
109,8.71E-01,2.60E+01,,,,,,,
110,5.29E+00,4.26E+00,,,,,,,
111,1.32E+01,1.67E+00,,,,,,,
112,3.63E+00,6.10E+00,,,,,,,
113,4.96E-01,4.40E+01,,,,,,,
114,4.53E+00,4.78E+00,,,,,,,
115,1.32E+01,1.61E+00,,,,,,,
116,1.48E+00,1.44E+01,,,,,,,
117,3.73E+00,5.70E+00,,,,,,,
118,2.38E+00,8.93E+00,,,,,,,
119,3.09E+00,6.76E+00,,,,,,,
120,8.87E+00,2.33E+00,,,,,,,
121,8.80E+00,2.33E+00,,,,,,,
122,7.75E+00,2.64E+00,,,,,,,
123,1.22E+00,1.66E+01,,,,,,,
124,1.41E+01,1.44E+00,,,,,,,
125,1.33E+00,1.52E+01,,,,,,,
126,5.06E+00,3.99E+00,,,,,,,
127,8.40E+00,2.40E+00,,,,,,,
128,1.32E+01,1.52E+00,,,,,,,
129,6.46E+00,3.10E+00,,,,,,,
130,1.29E+01,1.55E+00,,,,,,,
131,5.11E+00,3.88E+00,,,,,,,
132,7.46E+00,2.64E+00,,,,,,,
133,1.77E+01,1.11E+00,,,,,,,
134,6.34E+00,3.08E+00,,,,,,,
135,2.40E+00,8.10E+00,,,,,,,
136,7.86E+00,2.47E+00,,,,,,,
137,6.46E+00,3.00E+00,,,,,,,
138,2.40E+00,8.07E+00,,,,,,,
139,7.86E+00,2.46E+00,,,,,,,
140,4.95E+00,3.76E+00,,,,,,,
141,1.10E+00,1.66E+01,,,,,,,
142,3.21E+00,5.70E+00,,,,,,,
143,1.77E+00,1.02E+01,,,,,,,
144,3.04E+00,5.70E+00,,,,,,,
145,1.57E+00,1.10E+01,,,,,,,
146,4.23E+00,4.03E+00,,,,,,,
147,4.49E+00,3.77E+00,,,,,,,
148,4.89E-01,3.45E+01,,,,,,,
149,2.84E+01,5.84E-01,,,,,,,
150,1.08E+01,1.52E+00,,,,,,,
151,8.71E-01,1.80E+01,,,,,,,
152,4.86E+00,3.21E+00,,,,,,,
153,1.05E+01,1.49E+00,,,,,,,
154,5.13E+00,3.01E+00,,,,,,,
155,1.47E+00,1.05E+01,,,,,,,
156,4.32E+00,3.55E+00,,,,,,,
157,6.55E+00,2.32E+00,,,,,,,
158,2.65E+00,5.70E+00,,,,,,,
159,1.39E+00,1.08E+01,,,,,,,
160,2.20E+00,6.76E+00,,,,,,,
161,6.39E+00,2.32E+00,,,,,,,
162,1.64E+01,9.01E-01,,,,,,,
163,4.21E-01,3.45E+01,,,,,,,
164,3.03E+00,4.78E+00,,,,,,,
165,1.32E+01,1.08E+00,,,,,,,
166,4.73E+00,3.01E+00,,,,,,,
167,4.08E-01,3.45E+01,,,,,,,
168,4.04E-01,3.45E+01,,,,,,,
169,1.30E+00,1.05E+01,,,,,,,
170,3.93E-01,3.45E+01,,,,,,,
171,5.92E-01,2.28E+01,,,,,,,
172,1.55E+01,8.41E-01,,,,,,,
173,8.48E-01,1.51E+01,,,,,,,
174,9.60E-01,1.33E+01,,,,,,,
175,8.40E+00,1.50E+00,,,,,,,
176,7.88E+00,1.59E+00,,,,,,,
177,3.60E-01,3.45E+01,,,,,,,
178,7.07E-01,1.74E+01,,,,,,,
179,9.25E-01,1.33E+01,,,,,,,
180,3.51E+00,3.48E+00,,,,,,,
181,1.50E+00,8.03E+00,,,,,,,
182,3.49E-01,3.45E+01,,,,,,,
183,3.51E+00,3.42E+00,,,,,,,
184,3.93E+00,3.00E+00,,,,,,,
185,2.28E+00,5.16E+00,,,,,,,
186,1.64E+01,7.14E-01,,,,,,,
187,7.37E-01,1.59E+01,,,,,,,
188,2.01E+00,5.70E+00,,,,,,,
189,2.21E+00,5.16E+00,,,,,,,
190,4.83E-01,2.28E+01,,,,,,,
191,3.52E+00,3.08E+00,,,,,,,
192,7.22E+00,1.49E+00,,,,,,,
193,1.64E+01,6.50E-01,,,,,,,
194,7.54E+00,1.41E+00,,,,,,,
195,4.66E-01,2.28E+01,,,,,,,
196,1.86E+00,5.70E+00,,,,,,,
197,1.32E+01,7.90E-01,,,,,,,
198,2.59E+00,4.03E+00,,,,,,,
199,3.22E+00,3.21E+00,,,,,,,
200,7.54E+00,1.37E+00,,,,,,,
,,,,,,,,,
,,,,,,,,,
