reference,height,width,stripwidth,,,,,,
1,3.41E+01,6.14E+01,100,,,,,,
2,3.10E+01,6.14E+01,,,,,,,
3,3.49E+01,3.22E+01,,,,,,,
4,2.84E+01,1.87E+01,,,,,,,
5,3.97E+01,1.32E+01,,,,,,,
6,1.67E+01,2.92E+01,,,,,,,
7,1.37E+01,2.92E+01,,,,,,,
8,1.14E+01,1.87E+01,,,,,,,
9,2.17E+01,7.84E+00,,,,,,,
10,3.88E+00,3.19E+01,,,,,,,
11,2.22E+01,5.48E+00,,,,,,,
12,7.89E+01,1.41E+00,,,,,,,
13,7.89E+01,1.38E+00,,,,,,,
14,2.11E+01,4.87E+00,,,,,,,
15,1.79E+01,5.48E+00,,,,,,,
16,2.49E+01,3.86E+00,,,,,,,
17,2.89E+00,2.92E+01,,,,,,,
18,2.62E+00,3.19E+01,,,,,,,
19,2.49E+01,3.35E+00,,,,,,,
20,7.58E+00,1.04E+01,,,,,,,
21,4.90E+01,1.54E+00,,,,,,,
22,2.52E+01,2.91E+00,,,,,,,
23,3.47E+01,2.08E+00,,,,,,,
24,4.72E+00,1.52E+01,,,,,,,
25,4.90E+01,1.44E+00,,,,,,,
26,2.38E+01,2.91E+00,,,,,,,
27,6.49E+00,1.04E+01,,,,,,,
28,4.90E+01,1.28E+00,,,,,,,
29,2.17E+01,2.55E+00,,,,,,,
30,6.05E+00,8.84E+00,,,,,,,
31,6.05E+00,8.84E+00,,,,,,,
32,2.44E+01,2.08E+00,,,,,,,
33,5.55E+00,8.84E+00,,,,,,,
34,8.91E+00,5.48E+00,,,,,,,
35,4.65E+00,1.04E+01,,,,,,,
36,2.53E+01,1.87E+00,,,,,,,
37,4.46E+00,1.04E+01,,,,,,,
38,1.56E+00,2.92E+01,,,,,,,
39,4.17E+00,1.04E+01,,,,,,,
40,1.98E+01,2.08E+00,,,,,,,
41,4.72E+00,8.63E+00,,,,,,,
42,2.49E+01,1.63E+00,,,,,,,
43,4.72E+00,8.03E+00,,,,,,,
44,4.84E+01,7.36E-01,,,,,,,
45,3.60E+00,8.84E+00,,,,,,,
46,2.50E+01,1.13E+00,,,,,,,
47,2.34E+01,1.13E+00,,,,,,,
48,2.91E+00,8.84E+00,,,,,,,
49,2.64E+01,9.34E-01,,,,,,,
50,2.64E+01,9.33E-01,,,,,,,
,,,,,,,,,
,,,,,,,,,
