reference,height,width,stripwidth,
1,4.37E+01,4.95E+01,100,
2,2.76E+01,4.95E+01,,
3,2.35E+01,4.80E+01,,
4,4.86E+01,1.26E+01,,
5,6.80E+01,8.82E+00,,
6,4.38E+01,1.26E+01,,
7,5.73E+01,6.73E+00,,
8,7.19E+01,4.62E+00,,
9,7.19E+01,3.74E+00,,
10,7.57E+00,2.70E+01,,
11,3.26E+00,4.37E+01,,
12,2.44E+01,4.76E+00,,
13,4.32E+01,2.51E+00,,
14,1.06E+01,9.77E+00,,
15,1.53E+01,6.73E+00,,
16,7.14E+01,1.21E+00,,
17,1.91E+00,4.37E+01,,
18,7.14E+01,1.16E+00,,
19,5.64E+01,1.41E+00,,
20,1.09E+01,7.07E+00,,
21,1.08E+01,6.73E+00,,
22,3.65E+01,1.92E+00,,
23,2.15E+01,3.13E+00,,
24,1.59E+01,4.06E+00,,
25,4.65E+01,1.33E+00,,
26,4.59E+01,1.33E+00,,
27,3.46E+01,1.74E+00,,
28,8.92E+00,6.73E+00,,
29,2.86E+01,2.04E+00,,
30,2.86E+01,1.89E+00,,
31,6.54E+01,8.19E-01,,
32,1.80E+01,2.94E+00,,
33,6.54E+01,8.00E-01,,
34,5.12E+00,9.77E+00,,
35,3.19E+01,1.52E+00,,
36,4.82E+00,9.77E+00,,
37,4.65E+01,9.14E-01,,
38,3.87E+00,1.09E+01,,
39,3.46E+01,1.20E+00,,
40,4.65E+01,8.91E-01,,
41,3.70E+00,1.09E+01,,
42,2.37E+01,1.62E+00,,
43,3.65E+01,1.02E+00,,
44,8.55E+00,4.06E+00,,
45,4.59E+01,6.58E-01,,
46,3.19E+01,8.47E-01,,
47,3.19E+01,7.69E-01,,
48,4.59E+01,5.19E-01,,
49,5.17E+00,4.30E+00,,
50,1.55E+01,1.41E+00,,
