reference,height,width,stripwidth,,,,,,
1,7.38E+01,3.89E+01,100,,,,,,
2,1.00E+02,1.17E+01,,,,,,,
3,6.78E+01,1.13E+01,,,,,,,
4,3.90E+01,1.51E+01,,,,,,,
5,2.62E+01,2.11E+01,,,,,,,
6,2.52E+01,1.51E+01,,,,,,,
7,2.02E+01,1.51E+01,,,,,,,
8,3.51E+01,7.94E+00,,,,,,,
9,1.50E+01,1.35E+01,,,,,,,
10,1.91E+01,1.03E+01,,,,,,,
11,1.58E+01,1.03E+01,,,,,,,
12,2.37E+01,6.81E+00,,,,,,,
13,1.00E+02,1.61E+00,,,,,,,
14,5.38E+01,2.88E+00,,,,,,,
15,1.34E+01,1.03E+01,,,,,,,
16,1.57E+01,6.76E+00,,,,,,,
17,1.12E+01,9.21E+00,,,,,,,
18,9.13E+00,1.03E+01,,,,,,,
19,6.12E+01,1.49E+00,,,,,,,
20,4.62E+01,1.97E+00,,,,,,,
21,8.43E+01,1.03E+00,,,,,,,
22,1.57E+01,5.25E+00,,,,,,,
23,2.62E+01,2.78E+00,,,,,,,
24,1.57E+01,4.10E+00,,,,,,,
25,2.92E+01,2.05E+00,,,,,,,
26,6.10E+01,9.61E-01,,,,,,,
27,3.88E+01,1.49E+00,,,,,,,
28,6.10E+01,9.08E-01,,,,,,,
29,3.97E+01,1.31E+00,,,,,,,
30,5.50E+01,9.18E-01,,,,,,,
31,5.50E+01,8.94E-01,,,,,,,
32,1.12E+01,4.32E+00,,,,,,,
33,4.50E+01,1.08E+00,,,,,,,
34,4.51E+00,1.03E+01,,,,,,,
35,1.85E+01,2.34E+00,,,,,,,
36,5.50E+01,7.82E-01,,,,,,,
37,4.62E+01,9.08E-01,,,,,,,
38,6.03E+01,6.93E-01,,,,,,,
39,2.92E+01,1.42E+00,,,,,,,
40,3.90E+01,1.05E+00,,,,,,,
41,2.62E+01,1.54E+00,,,,,,,
42,2.58E+01,1.52E+00,,,,,,,
43,1.67E+01,2.34E+00,,,,,,,
44,6.03E+01,6.22E-01,,,,,,,
45,5.49E+00,6.81E+00,,,,,,,
46,1.56E+00,2.15E+01,,,,,,,
47,3.90E+01,8.17E-01,,,,,,,
48,1.46E+00,2.15E+01,,,,,,,
49,1.92E+01,1.52E+00,,,,,,,
50,2.92E+01,9.90E-01,,,,,,,
,,,,,,,,,
,,,,,,,,,
