Reference,Height,Width,Stripwidth,,,,,,
1,8.14E+01,1.86E+01,100,,,,,,
2,7.18E+01,1.01E+01,,,,,,,
3,9.05E+01,6.75E+00,,,,,,,
4,2.52E+01,2.14E+01,,,,,,,
5,9.05E+01,5.26E+00,,,,,,,
6,2.19E+01,2.14E+01,,,,,,,
7,9.05E+01,4.64E+00,,,,,,,
8,1.88E+01,2.14E+01,,,,,,,
9,1.44E+01,2.41E+01,,,,,,,
10,1.05E+01,2.14E+01,,,,,,,
11,9.34E+00,2.41E+01,,,,,,,
12,8.14E+01,2.47E+00,,,,,,,
13,8.66E+00,2.14E+01,,,,,,,
14,7.37E+00,2.41E+01,,,,,,,
15,1.45E+01,1.21E+01,,,,,,,
16,6.15E+00,2.41E+01,,,,,,,
17,1.22E+01,1.19E+01,,,,,,,
18,1.32E+01,9.81E+00,,,,,,,
19,8.27E+00,1.45E+01,,,,,,,
20,1.20E+01,9.45E+00,,,,,,,
21,9.05E+01,1.16E+00,,,,,,,
22,7.40E+00,1.32E+01,,,,,,,
23,9.52E+00,1.01E+01,,,,,,,
24,3.50E+00,2.41E+01,,,,,,,
25,3.22E+00,2.41E+01,,,,,,,
26,4.30E+01,1.78E+00,,,,,,,
27,4.45E+00,1.65E+01,,,,,,,
28,3.34E+00,2.14E+01,,,,,,,
29,5.66E+00,1.26E+01,,,,,,,
30,2.34E+00,2.43E+01,,,,,,,
31,3.78E+01,1.36E+00,,,,,,,
32,5.58E+00,9.10E+00,,,,,,,
33,1.29E+00,3.77E+01,,,,,,,
34,2.91E+00,1.57E+01,,,,,,,
35,2.27E+00,1.74E+01,,,,,,,
36,3.77E+01,1.04E+00,,,,,,,
37,8.27E+00,4.57E+00,,,,,,,
38,2.10E+00,1.78E+01,,,,,,,
39,7.07E+00,5.29E+00,,,,,,,
40,1.64E+00,2.14E+01,,,,,,,
41,1.45E+00,2.41E+01,,,,,,,
42,1.41E+00,2.41E+01,,,,,,,
43,7.40E+00,4.56E+00,,,,,,,
44,7.04E+00,4.74E+00,,,,,,,
45,8.50E-01,3.77E+01,,,,,,,
46,1.49E+00,2.14E+01,,,,,,,
47,2.91E+00,1.08E+01,,,,,,,
48,2.34E+00,1.35E+01,,,,,,,
49,2.84E+00,1.10E+01,,,,,,,
50,3.05E+01,1.02E+00,,,,,,,
51,2.97E+01,1.02E+00,,,,,,,
52,2.91E+00,1.04E+01,,,,,,,
53,2.84E+00,1.04E+01,,,,,,,
54,1.73E+01,1.69E+00,,,,,,,
55,1.19E+00,2.41E+01,,,,,,,
56,1.42E+00,2.00E+01,,,,,,,
57,4.35E+01,6.34E-01,,,,,,,
58,1.14E+00,2.41E+01,,,,,,,
59,6.03E-01,4.53E+01,,,,,,,
60,2.30E+01,1.17E+00,,,,,,,
61,4.32E+00,6.20E+00,,,,,,,
62,2.25E+00,1.19E+01,,,,,,,
63,4.90E+00,5.29E+00,,,,,,,
64,2.42E+01,1.04E+00,,,,,,,
65,2.85E+00,8.80E+00,,,,,,,
66,2.81E+00,8.80E+00,,,,,,,
67,3.95E+00,6.20E+00,,,,,,,
68,2.69E+00,9.10E+00,,,,,,,
69,2.91E+00,8.35E+00,,,,,,,
70,1.20E+01,2.02E+00,,,,,,,
71,4.35E+01,5.38E-01,,,,,,,
72,4.93E+00,4.74E+00,,,,,,,
73,2.29E+00,1.01E+01,,,,,,,
74,8.27E+00,2.80E+00,,,,,,,
75,8.27E+00,2.79E+00,,,,,,,
76,8.27E+00,2.73E+00,,,,,,,
77,8.27E+00,2.62E+00,,,,,,,
78,3.99E+01,5.12E-01,,,,,,,
79,3.99E+01,5.12E-01,,,,,,,
80,3.12E+01,6.49E-01,,,,,,,
81,1.72E+01,1.17E+00,,,,,,,
82,3.07E+01,6.49E-01,,,,,,,
83,1.64E+01,1.17E+00,,,,,,,
84,5.07E-01,3.77E+01,,,,,,,
85,7.34E-01,2.54E+01,,,,,,,
86,1.10E+01,1.69E+00,,,,,,,
87,1.92E+01,9.16E-01,,,,,,,
88,2.31E+00,7.60E+00,,,,,,,
89,6.86E-01,2.54E+01,,,,,,,
90,4.46E-01,3.77E+01,,,,,,,
91,2.29E+00,7.30E+00,,,,,,,
92,1.92E+01,8.68E-01,,,,,,,
93,9.78E+00,1.69E+00,,,,,,,
94,2.14E+00,7.60E+00,,,,,,,
95,3.78E+01,4.23E-01,,,,,,,
96,6.52E-01,2.41E+01,,,,,,,
97,1.20E+01,1.29E+00,,,,,,,
98,1.20E+01,1.27E+00,,,,,,,
99,8.70E-01,1.74E+01,,,,,,,
100,6.29E-01,2.41E+01,,,,,,,
,,,,,,,,,
,,,,,,,,,
