Reference,Height,Width,StripHeight,,,,,,
1,9.22E+01,4.75E+01,100,,,,,,
2,9.22E+01,1.87E+01,,,,,,,
3,1.00E+02,1.03E+01,,,,,,,
4,9.22E+01,1.03E+01,,,,,,,
5,4.99E+00,4.78E+01,,,,,,,
6,6.23E+01,2.02E+00,,,,,,,
7,2.83E+00,4.33E+01,,,,,,,
8,3.26E+01,3.15E+00,,,,,,,
9,3.55E+01,2.83E+00,,,,,,,
10,1.44E+01,6.92E+00,,,,,,,
11,2.83E+00,3.47E+01,,,,,,,
12,3.77E+01,2.44E+00,,,,,,,
13,3.77E+01,2.41E+00,,,,,,,
14,4.99E+00,1.69E+01,,,,,,,
15,5.36E+01,1.51E+00,,,,,,,
16,1.17E+01,6.92E+00,,,,,,,
17,1.16E+01,6.92E+00,,,,,,,
18,6.23E+01,1.28E+00,,,,,,,
19,6.23E+01,1.28E+00,,,,,,,
20,2.68E+01,2.83E+00,,,,,,,
21,6.23E+01,1.21E+00,,,,,,,
22,4.99E+00,1.32E+01,,,,,,,
23,3.86E+01,1.51E+00,,,,,,,
24,1.54E+01,3.15E+00,,,,,,,
25,1.43E+01,3.15E+00,,,,,,,
,,,,,,,,,
,,,,,,,,,
