reference,height,width,stripwidth,
1,7.03E+01,3.45E+01,100,
2,7.42E+01,2.26E+01,,
3,2.58E+01,2.26E+01,,
4,1.08E+01,5.04E+01,,
5,4.12E+01,1.25E+01,,
6,1.67E+01,2.97E+01,,
7,9.31E+00,5.04E+01,,
8,2.97E+01,1.42E+01,,
9,3.07E+01,1.08E+01,,
10,4.12E+01,7.66E+00,,
11,5.56E+00,3.61E+01,,
12,7.03E+01,2.44E+00,,
13,5.54E+00,2.22E+01,,
14,1.88E+01,6.03E+00,,
15,2.00E+00,5.04E+01,,
16,7.60E+00,1.08E+01,,
17,7.55E+00,1.06E+01,,
18,1.30E+01,6.03E+00,,
19,2.97E+01,2.63E+00,,
20,3.11E+01,2.35E+00,,
21,2.00E+00,3.61E+01,,
22,2.91E+00,2.21E+01,,
23,5.54E+00,9.88E+00,,
24,2.97E+01,1.74E+00,,
25,4.22E+01,1.12E+00,,
26,2.08E+01,2.23E+00,,
27,3.24E+01,1.38E+00,,
28,4.12E+01,1.03E+00,,
29,1.67E+01,2.38E+00,,
30,2.97E+01,1.25E+00,,
31,1.97E+01,1.75E+00,,
32,3.92E+01,8.73E-01,,
33,3.66E+01,9.35E-01,,
34,1.32E+00,2.58E+01,,
35,1.31E+00,2.58E+01,,
36,1.31E+00,2.58E+01,,
37,1.50E+01,2.23E+00,,
38,2.97E+01,1.11E+00,,
39,2.24E+01,1.47E+00,,
40,1.84E+01,1.75E+00,,
41,2.89E+00,1.08E+01,,
42,3.16E+01,9.35E-01,,
43,2.60E+01,1.12E+00,,
44,2.91E+00,9.92E+00,,
45,7.55E+00,3.70E+00,,
46,3.24E+01,8.49E-01,,
47,1.57E+01,1.75E+00,,
48,1.44E+01,1.75E+00,,
49,1.68E+01,1.47E+00,,
50,3.95E+00,6.24E+00,,
