reference,height,width,stripwidth,,,,,,
1,2.22E+01,8.62E+01,100,,,,,,
2,1.86E+01,8.62E+01,,,,,,,
3,1.56E+01,4.46E+01,,,,,,,
4,1.60E+01,3.41E+01,,,,,,,
5,1.12E+01,3.84E+01,,,,,,,
6,4.44E+00,8.62E+01,,,,,,,
7,7.10E+00,5.30E+01,,,,,,,
8,1.12E+01,3.32E+01,,,,,,,
9,2.50E+01,1.26E+01,,,,,,,
10,9.01E+00,3.41E+01,,,,,,,
11,7.10E+00,3.32E+01,,,,,,,
12,7.50E+01,3.00E+00,,,,,,,
13,2.44E+00,8.62E+01,,,,,,,
14,2.29E+00,8.62E+01,,,,,,,
15,3.66E+00,5.13E+01,,,,,,,
16,4.85E+00,3.70E+01,,,,,,,
17,5.10E+00,3.49E+01,,,,,,,
18,4.56E+00,3.70E+01,,,,,,,
19,6.32E+01,2.32E+00,,,,,,,
20,7.50E+01,1.72E+00,,,,,,,
21,1.12E+01,7.28E+00,,,,,,,
22,2.50E+01,3.04E+00,,,,,,,
23,1.45E+00,5.13E+01,,,,,,,
24,4.85E+01,1.52E+00,,,,,,,
25,1.50E+00,4.54E+01,,,,,,,
26,4.22E+01,1.60E+00,,,,,,,
27,1.50E+00,4.07E+01,,,,,,,
28,5.53E+01,1.02E+00,,,,,,,
29,4.94E+01,8.88E-01,,,,,,,
30,6.32E+01,6.53E-01,,,,,,,
31,2.65E+01,1.52E+00,,,,,,,
32,2.34E+01,1.60E+00,,,,,,,
33,3.21E+01,1.11E+00,,,,,,,
34,1.18E+01,2.97E+00,,,,,,,
35,1.12E+01,3.06E+00,,,,,,,
36,2.10E+01,1.60E+00,,,,,,,
37,4.01E+00,7.58E+00,,,,,,,
38,1.39E+01,2.03E+00,,,,,,,
39,1.29E+01,2.08E+00,,,,,,,
40,2.55E+01,1.02E+00,,,,,,,
41,1.22E+01,2.08E+00,,,,,,,
42,1.12E+01,2.23E+00,,,,,,,
43,2.55E+01,9.79E-01,,,,,,,
44,1.12E+01,2.03E+00,,,,,,,
45,1.12E+01,1.99E+00,,,,,,,
46,1.34E+01,1.60E+00,,,,,,,
47,5.40E+00,3.84E+00,,,,,,,
48,5.40E+00,3.74E+00,,,,,,,
49,1.97E+01,1.02E+00,,,,,,,
50,1.73E+01,1.11E+00,,,,,,,
,,,,,,,,,
,,,,,,,,,
