Reference,Height,Width,StripHeight,
1,8.14E+01,3.11E+01,100,
2,9.05E+01,1.78E+01,,
3,6.76E+01,2.14E+01,,
4,3.60E+01,2.41E+01,,
5,2.19E+01,2.14E+01,,
6,1.70E+01,2.41E+01,,
7,8.27E+00,4.53E+01,,
8,1.45E+01,2.41E+01,,
9,1.00E+02,2.96E+00,,
10,1.05E+01,2.14E+01,,
11,9.34E+00,2.41E+01,,
12,1.00E+02,1.69E+00,,
13,2.91E+00,4.53E+01,,
14,7.40E+00,1.78E+01,,
15,1.32E+01,9.81E+00,,
16,3.10E+00,3.77E+01,,
17,2.02E+00,4.53E+01,,
18,2.34E+00,3.77E+01,,
19,4.45E+00,1.65E+01,,
20,6.95E+01,1.02E+00,,
21,3.16E+00,1.74E+01,,
22,2.27E+00,1.74E+01,,
23,2.10E+00,1.78E+01,,
24,4.45E+00,7.60E+00,,
25,3.05E+01,1.02E+00,,
