Rererence,Height,Width,StripWidth,,,,,,
1,1.76E+01,3.19E+01,100,,,,,,
2,2.70E+01,2.05E+01,,,,,,,
3,3.20E+01,8.66E+00,,,,,,,
4,1.13E+01,1.99E+01,,,,,,,
5,8.48E+01,2.32E+00,,,,,,,
6,2.05E+01,9.58E+00,,,,,,,
7,5.52E+01,3.55E+00,,,,,,,
8,9.76E+00,1.76E+01,,,,,,,
9,4.11E+01,3.97E+00,,,,,,,
10,5.91E+01,2.63E+00,,,,,,,
11,9.23E+00,1.53E+01,,,,,,,
12,3.11E+01,3.97E+00,,,,,,,
13,5.70E+00,2.05E+01,,,,,,,
14,4.85E+01,2.25E+00,,,,,,,
15,2.49E+01,4.36E+00,,,,,,,
16,2.52E+01,4.28E+00,,,,,,,
17,6.57E+00,1.56E+01,,,,,,,
18,4.85E+01,2.04E+00,,,,,,,
19,2.69E+01,3.55E+00,,,,,,,
20,8.20E+01,1.15E+00,,,,,,,
21,1.12E+01,8.33E+00,,,,,,,
22,1.04E+01,8.66E+00,,,,,,,
23,3.32E+01,2.41E+00,,,,,,,
24,5.68E+00,1.39E+01,,,,,,,
25,7.48E+01,1.01E+00,,,,,,,
26,5.73E+00,1.29E+01,,,,,,,
27,1.57E+01,4.50E+00,,,,,,,
28,4.89E+00,1.45E+01,,,,,,,
29,3.92E+00,1.67E+01,,,,,,,
30,3.32E+01,1.95E+00,,,,,,,
31,5.03E+00,1.29E+01,,,,,,,
32,1.54E+01,4.13E+00,,,,,,,
33,1.89E+01,3.35E+00,,,,,,,
34,2.51E+01,2.41E+00,,,,,,,
35,5.68E+00,1.01E+01,,,,,,,
36,1.08E+01,5.16E+00,,,,,,,
37,1.27E+01,4.13E+00,,,,,,,
38,4.66E+01,1.08E+00,,,,,,,
39,5.58E+01,8.84E-01,,,,,,,
40,4.53E+00,1.07E+01,,,,,,,
41,1.61E+01,2.97E+00,,,,,,,
42,1.01E+01,4.32E+00,,,,,,,
43,2.19E+00,1.99E+01,,,,,,,
44,1.36E+01,3.12E+00,,,,,,,
45,1.48E+00,2.64E+01,,,,,,,
46,3.02E+01,1.29E+00,,,,,,,
47,8.56E+00,4.36E+00,,,,,,,
48,4.85E+01,7.28E-01,,,,,,,
49,1.72E+00,2.00E+01,,,,,,,
50,3.08E+00,1.07E+01,,,,,,,
51,2.05E+01,1.56E+00,,,,,,,
52,2.05E+00,1.54E+01,,,,,,,
53,1.52E+00,1.99E+01,,,,,,,
54,3.94E+00,7.39E+00,,,,,,,
55,1.80E+01,1.62E+00,,,,,,,
56,4.32E+01,6.45E-01,,,,,,,
57,6.90E+00,3.97E+00,,,,,,,
58,2.52E+00,1.05E+01,,,,,,,
59,6.13E+00,4.25E+00,,,,,,,
60,7.46E+00,3.46E+00,,,,,,,
61,5.93E+00,4.25E+00,,,,,,,
62,8.04E+00,3.12E+00,,,,,,,
63,1.20E+01,2.08E+00,,,,,,,
64,2.63E+00,9.43E+00,,,,,,,
65,3.31E+01,7.47E-01,,,,,,,
66,2.17E+01,1.13E+00,,,,,,,
67,2.54E+00,9.61E+00,,,,,,,
68,5.03E+00,4.78E+00,,,,,,,
69,9.08E+00,2.63E+00,,,,,,,
70,4.35E+01,5.40E-01,,,,,,,
71,8.70E+00,2.63E+00,,,,,,,
72,2.11E+01,1.08E+00,,,,,,,
73,4.74E+00,4.78E+00,,,,,,,
74,2.81E+00,7.97E+00,,,,,,,
75,2.54E+00,8.76E+00,,,,,,,
76,2.27E+00,9.07E+00,,,,,,,
77,2.29E+00,8.66E+00,,,,,,,
78,1.52E+00,1.30E+01,,,,,,,
79,5.65E+00,3.46E+00,,,,,,,
80,1.20E+01,1.62E+00,,,,,,,
81,4.32E+01,4.49E-01,,,,,,,
82,2.35E+00,7.94E+00,,,,,,,
83,9.63E+00,1.94E+00,,,,,,,
84,1.69E+00,1.11E+01,,,,,,,
85,3.48E+00,5.35E+00,,,,,,,
86,2.81E+00,6.50E+00,,,,,,,
87,2.63E+00,6.77E+00,,,,,,,
88,6.77E+00,2.63E+00,,,,,,,
89,1.71E+01,1.03E+00,,,,,,,
90,1.72E+01,1.02E+00,,,,,,,
91,2.62E+00,6.67E+00,,,,,,,
92,3.38E+00,5.01E+00,,,,,,,
93,1.95E+01,8.67E-01,,,,,,,
94,3.26E+01,5.17E-01,,,,,,,
95,1.45E+00,1.11E+01,,,,,,,
96,2.63E+00,5.95E+00,,,,,,,
97,1.57E+00,9.75E+00,,,,,,,
98,8.46E+00,1.75E+00,,,,,,,
99,1.68E+00,8.66E+00,,,,,,,
100,3.62E+00,3.97E+00,,,,,,,
101,7.67E-01,1.86E+01,,,,,,,
102,1.76E+01,8.02E-01,,,,,,,
103,1.29E+01,1.09E+00,,,,,,,
104,1.72E+01,8.17E-01,,,,,,,
105,7.71E+00,1.77E+00,,,,,,,
106,1.52E+01,8.86E-01,,,,,,,
107,1.58E+01,8.37E-01,,,,,,,
108,1.01E+00,1.31E+01,,,,,,,
109,1.20E+01,1.10E+00,,,,,,,
110,1.22E+00,1.07E+01,,,,,,,
111,2.52E+01,5.17E-01,,,,,,,
112,1.18E+01,1.09E+00,,,,,,,
113,4.92E+00,2.63E+00,,,,,,,
114,3.65E+00,3.51E+00,,,,,,,
115,3.10E+00,4.12E+00,,,,,,,
116,1.15E+00,1.11E+01,,,,,,,
117,5.95E+00,2.15E+00,,,,,,,
118,5.01E-01,2.52E+01,,,,,,,
119,7.54E+00,1.66E+00,,,,,,,
120,2.20E+01,5.68E-01,,,,,,,
121,1.12E+01,1.10E+00,,,,,,,
122,1.77E+00,6.89E+00,,,,,,,
123,1.42E+01,8.53E-01,,,,,,,
124,4.91E+00,2.45E+00,,,,,,,
125,1.24E+01,9.71E-01,,,,,,,
126,3.99E-01,3.02E+01,,,,,,,
127,7.43E+00,1.60E+00,,,,,,,
128,4.55E+00,2.60E+00,,,,,,,
129,2.88E+01,4.11E-01,,,,,,,
130,1.20E+00,9.75E+00,,,,,,,
131,2.40E+01,4.84E-01,,,,,,,
132,1.01E+01,1.15E+00,,,,,,,
133,2.64E+00,4.36E+00,,,,,,,
134,2.57E+00,4.44E+00,,,,,,,
135,7.71E+00,1.47E+00,,,,,,,
136,5.30E+00,2.13E+00,,,,,,,
137,1.94E+01,5.81E-01,,,,,,,
138,7.39E+00,1.52E+00,,,,,,,
139,6.40E+00,1.76E+00,,,,,,,
140,7.09E-01,1.58E+01,,,,,,,
141,2.42E+00,4.63E+00,,,,,,,
142,1.31E+01,8.53E-01,,,,,,,
143,4.32E-01,2.59E+01,,,,,,,
144,1.09E+00,1.03E+01,,,,,,,
145,3.21E+01,3.47E-01,,,,,,,
146,1.28E+00,8.66E+00,,,,,,,
147,9.11E-01,1.21E+01,,,,,,,
148,4.97E+00,2.21E+00,,,,,,,
149,2.49E+01,4.39E-01,,,,,,,
150,2.28E+01,4.78E-01,,,,,,,
151,2.90E+00,3.76E+00,,,,,,,
152,2.20E+01,4.95E-01,,,,,,,
153,1.62E+01,6.70E-01,,,,,,,
154,1.76E+00,6.15E+00,,,,,,,
155,1.17E+00,9.27E+00,,,,,,,
156,9.83E+00,1.10E+00,,,,,,,
157,8.46E+00,1.28E+00,,,,,,,
158,2.54E+00,4.25E+00,,,,,,,
159,1.30E+00,8.31E+00,,,,,,,
160,1.02E+00,1.05E+01,,,,,,,
161,2.25E+00,4.78E+00,,,,,,,
162,1.07E+01,1.00E+00,,,,,,,
163,4.14E-01,2.59E+01,,,,,,,
164,2.59E+00,4.13E+00,,,,,,,
165,2.30E+00,4.64E+00,,,,,,,
166,5.68E+00,1.88E+00,,,,,,,
167,8.54E+00,1.25E+00,,,,,,,
168,4.41E+00,2.41E+00,,,,,,,
169,1.58E+01,6.73E-01,,,,,,,
170,2.50E+00,4.25E+00,,,,,,,
171,2.90E+00,3.66E+00,,,,,,,
172,1.22E+01,8.67E-01,,,,,,,
