reference,height,width,stripwidth,,,,,,
1,5.37E+01,7.39E+01,100,,,,,,
2,6.62E+01,1.09E+01,,,,,,,
3,8.52E+00,7.39E+01,,,,,,,
4,4.41E+01,9.17E+00,,,,,,,
5,1.66E+01,2.18E+01,,,,,,,
6,1.33E+01,2.49E+01,,,,,,,
7,3.74E+01,5.99E+00,,,,,,,
8,9.36E+00,2.24E+01,,,,,,,
9,1.71E+01,1.09E+01,,,,,,,
10,1.23E+01,1.20E+01,,,,,,,
11,2.38E+01,5.99E+00,,,,,,,
12,4.36E+00,3.10E+01,,,,,,,
13,1.23E+01,1.07E+01,,,,,,,
14,1.14E+01,1.09E+01,,,,,,,
15,3.12E+00,3.58E+01,,,,,,,
16,1.23E+01,8.35E+00,,,,,,,
17,8.88E+00,1.08E+01,,,,,,,
18,5.86E+00,1.53E+01,,,,,,,
19,3.44E+00,2.40E+01,,,,,,,
20,2.28E+00,3.58E+01,,,,,,,
21,1.14E+01,6.92E+00,,,,,,,
22,7.95E+00,9.43E+00,,,,,,,
23,9.36E+00,7.98E+00,,,,,,,
24,1.83E+00,4.04E+01,,,,,,,
25,2.87E+00,2.45E+01,,,,,,,
26,9.75E+00,6.92E+00,,,,,,,
27,2.92E+01,2.31E+00,,,,,,,
28,7.17E+00,9.17E+00,,,,,,,
29,1.77E+01,3.68E+00,,,,,,,
30,5.08E+00,1.28E+01,,,,,,,
31,1.56E+00,4.04E+01,,,,,,,
32,1.51E+00,4.04E+01,,,,,,,
33,5.08E+00,1.17E+01,,,,,,,
34,6.43E+00,9.17E+00,,,,,,,
35,5.86E+00,1.01E+01,,,,,,,
36,9.68E+00,5.99E+00,,,,,,,
37,5.31E+00,1.09E+01,,,,,,,
38,7.95E+00,6.53E+00,,,,,,,
39,1.26E+00,4.04E+01,,,,,,,
40,4.43E+00,1.08E+01,,,,,,,
41,1.99E+00,2.40E+01,,,,,,,
42,5.86E+00,8.04E+00,,,,,,,
43,7.28E+00,6.34E+00,,,,,,,
44,1.14E+00,4.04E+01,,,,,,,
45,1.85E+00,2.40E+01,,,,,,,
46,1.22E+00,3.58E+01,,,,,,,
47,1.15E+01,3.68E+00,,,,,,,
48,1.18E+00,3.58E+01,,,,,,,
49,4.56E+00,9.17E+00,,,,,,,
50,5.86E+00,7.07E+00,,,,,,,
,,,,,,,,,
,,,,,,,,,
